Club;Elo
Liverpool;1993
Arsenal;1993
Manchester City;1960
Chelsea;1903
Aston Villa;1873
Newcastle;1869
Crystal Palace;1835
Brighton;1827
Brentford;1811
Bournemouth;1808
Forest;1803
Manchester United;1799
Everton;1794
Fulham;1782
Tottenham;1774
West Ham;1750
Burnley;1730
Leeds;1722
Sheffield United;1622
Sunderland;1547
Coventry;1546
West Brom;1538
Middlesbrough;1531
Millwall;1525
Bristol City;1523
Swansea;1513
Blackburn;1513
Norwich;1507
Luton;1498
QPR;1493
Hull;1492
Sheffield Weds;1488
Portsmouth;1479
Stoke;1476
Watford;1472
Preston;1469
Derby;1468
Oxford;1461
Plymouth;1443
Cardiff;1434
Paris SG;1975
Lille;1782
Monaco;1762
Marseille;1757
Lyon;1745
Nice;1721
Strasbourg;1707
Lens;1693
Brest;1679
Rennes;1663
Toulouse;1654
Auxerre;1629
Reims;1590
Nantes;1587
Le Havre;1554
Angers;1538
Saint-Étienne;1533
Montpellier;1490
Barcelona;1945
Real Madrid;1936
Atlético;1855
Bilbao;1789
Villarreal;1786
Betis;1742
Osasuna;1697
Celta;1689
Valencia;1679
Real Sociedad;1667
Rayo Vallecano;1658
Alavés;1644
Mallorca;1641
Sevilla;1637
Girona;1637
Espanyol;1635
Getafe;1626
Leganes;1599
Las Palmas;1564
Valladolid;1467
Inter;1933
Atalanta;1842
Napoli;1838
Roma;1820
Juventus;1806
Milan;1787
Lazio;1770
Fiorentina;1757
Bologna;1751
Torino;1675
Genoa;1664
Como;1648
Udinese;1620
Parma;1603
Cagliari;1602
Verona;1595
Lecce;1583
Empoli;1578
Venezia;1558
Monza;1519
Bayern;1919
Leverkusen;1849
Dortmund;1818
Frankfurt;1746
Stuttgart;1719
RB Leipzig;1716
Mainz;1706
Freiburg;1684
Werder;1677
Wolfsburg;1646
Gladbach;1632
Augsburg;1619
Union Berlin;1617
Hoffenheim;1606
St. Pauli;1577
Heidenheim;1559
Bochum;1540
Holstein;1537
PSV;1797
Feyenoord;1738
Ajax;1664
Alkmaar;1626
Utrecht;1585
Twente;1577
Nijmegen;1505
Go Ahead Eagles;1499
Sparta Rotterdam;1494
Zwolle;1463
Heerenveen;1445
Sittard;1421
Groningen;1410
Heracles;1409
Waalwijk;1378
Breda;1351
Almere;1349
Willem II;1324
Benfica;1791
Sporting;1789
Porto;1678
Braga;1651
Guimarães;1576
Famalicão;1511
Santa Clara;1485
Arouca;1472
Estoril;1470
Moreirense;1460
Casa Pia;1460
Rio Ave;1450
Gil Vicente;1433
Nacional;1410
Farense;1389
Estrela Amadora;1368
AVS Futebol;1354
Boavista;1345
Club Brugge;1747
Union SG;1731
Genk;1635
Anderlecht;1587
Antwerp;1539
Charleroi;1526
Mechelen;1485
Gent;1483
Westerlo;1470
Cercle Brugge;1452
Saint-Truiden;1446
Standard Liège;1434
OH Leuven;1432
Dender;1402
Kortrijk;1391
Beerschot Wilrijk;1335
Flamengo;1683
Cruzeiro;1550
Red Bull Bragantino;1565
Palmeiras;1718
Bahia;1507
Fluminense;1568
Mirassol Futebol Clube;1465
Botafogo (RJ);1565
Atlético Mineiro;1533
Ceara;1474
Corinthians;1583
Grêmio;1511
São Paulo;1570
Inernacional;1597
Vasco da Gama;1461
Vitória;1464
Fortaleza;1502
Santos;1419
Juventude;1393
Sport Recife;1373
