Player,Birthdate,League,Club,Footed,Nationality,Position,Minutes,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shots Total,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),xA: Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Offside,Passes Blocked,Shot-Creating Actions,SCA (Live-ball Pass),SCA (Dead-ball Pass),SCA (Take-On),SCA (Shot),SCA (Fouls Drawn),SCA (Defensive Action),Goal-Creating Actions,GCA (Live-ball Pass),GCA (Dead-ball Pass),GCA (Take-On),GCA (Shot),GCA (Fouls Drawn),GCA (Defensive Action),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Interceptions,Tkl+Int,Clearances,Errors,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Take-Ons Attempted,Successful Take-Ons,Successful Take-On %,Times Tackled During Take-On,Tackled During Take-On Percentage,Carries,Total Carrying Distance,Progressive Carrying Distance,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Elo,Age,Rating,Potential,Cluster,Cluster Name
Matteo Politano,1993-08-03,SerieA,Napoli,Left,Italy,Att Mid / Wingers,2804,0.1,0.13,0.22,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.15,0.25,4.33,4.14,8.92,1.8,0.45,25.0,0.05,0.21,19.5,0.03,0.06,0.0,0.0,28.02,40.47,69.2,472.79,153.62,13.9,15.92,87.3,10.91,15.18,71.9,2.47,6.07,40.7,0.17,1.8,2.09,1.77,0.74,36.3,3.95,0.58,0.03,0.32,7.35,0.83,2.5,2.12,0.1,0.03,0.22,1.83,3.37,2.34,0.64,0.16,0.13,0.1,0.0,0.32,0.26,0.03,0.0,0.0,0.03,0.0,0.93,0.48,0.55,0.35,0.03,0.48,1.38,34.9,0.9,0.67,0.03,0.42,1.35,1.6,0.03,50.1,1.57,7.48,17.11,25.81,2.89,50.1,2.57,1.03,40.0,1.16,45.0,29.53,205.87,104.76,1.83,1.22,1.51,0.77,36.49,0.0,0.45,1.0,0.19,0.03,0.0,0.0,3.05,0.19,0.64,23.1,1838,32.0,78.03268128033267,78.03268128033267,0,Hybrid Orchestrators
Khvicha Kvaratskhelia,2001-02-12,SerieA,Paris Saint-Germain,Right,Georgia,Att Mid / Wingers,1178,0.38,0.23,0.61,0.31,0.08,0.08,0.08,0.0,0.31,0.26,0.28,0.53,5.65,4.35,6.8,3.74,1.22,32.7,0.08,0.25,19.4,0.23,0.07,0.07,0.05,26.89,35.22,76.4,457.26,135.15,14.29,16.2,88.2,8.86,10.85,81.7,3.13,5.73,54.7,0.23,2.14,2.37,1.76,0.31,30.64,4.28,1.07,0.53,0.38,3.9,0.84,2.29,1.53,0.38,0.0,0.31,1.07,4.35,3.06,0.76,0.15,0.15,0.23,0.0,0.46,0.38,0.0,0.08,0.0,0.0,0.0,1.15,0.69,0.31,0.76,0.08,0.31,1.15,26.7,0.84,0.99,0.0,0.31,1.45,0.53,0.0,50.35,0.15,4.2,21.01,26.13,5.65,50.27,5.5,1.45,26.4,3.21,58.3,30.94,251.51,146.08,3.9,2.83,1.91,1.6,35.98,0.0,0.92,2.52,0.0,0.0,0.0,0.0,3.44,0.31,0.38,44.4,1975,24.0,80.53942953994049,83.8890816553631,4,World-Class Wingers
David Neres,1997-03-03,SerieA,Napoli,Left,Brazil,Att Mid / Wingers,1283,0.14,0.28,0.42,0.14,0.0,0.0,0.07,0.0,0.19,0.19,0.25,0.43,5.12,2.24,10.03,2.03,0.49,24.1,0.07,0.29,18.1,0.0,0.09,-0.05,-0.05,29.46,38.93,75.7,429.8,108.59,16.13,18.03,89.5,9.96,12.56,79.3,1.61,4.14,39.0,0.22,1.82,1.61,1.47,0.98,35.35,3.44,0.28,0.21,0.0,6.45,0.63,2.46,0.7,1.33,0.07,0.14,1.4,4.14,2.74,0.49,0.7,0.14,0.07,0.0,0.63,0.35,0.07,0.14,0.0,0.07,0.0,1.47,0.77,0.7,0.28,0.49,0.7,1.05,66.7,0.35,0.49,0.0,0.49,1.96,0.28,0.0,50.79,0.56,5.12,20.13,27.22,4.21,50.79,5.26,2.31,44.0,2.53,48.0,31.08,266.63,133.49,2.6,2.1,2.67,1.61,35.99,0.0,0.98,0.7,0.28,0.0,0.0,0.0,3.65,0.21,0.7,23.1,1838,28.0,76.51336378209508,76.51336378209508,4,World-Class Wingers
Giacomo Raspadori,2000-02-18,SerieA,Napoli,Right,Italy,Att Mid / Wingers,1103,0.49,0.08,0.57,0.49,0.0,0.0,0.08,0.0,0.33,0.33,0.2,0.52,1.47,3.43,4.65,3.43,1.14,33.3,0.14,0.43,16.0,0.16,0.1,0.16,0.16,22.85,33.45,68.3,412.71,112.11,10.77,13.22,81.5,8.98,12.08,74.3,2.69,5.79,46.5,0.18,2.28,2.2,0.57,0.24,27.82,5.55,1.22,0.16,0.16,5.47,0.08,3.18,2.04,0.82,0.0,0.08,1.47,4.16,2.37,0.98,0.16,0.49,0.16,0.0,0.33,0.16,0.0,0.0,0.0,0.16,0.0,1.47,0.73,0.49,0.82,0.16,0.65,0.98,66.7,0.33,0.82,0.16,0.24,1.71,1.06,0.0,44.8,0.82,5.06,20.07,20.15,4.41,44.8,1.14,0.73,64.3,0.24,21.4,21.46,105.34,40.96,0.49,0.41,2.04,0.73,27.99,0.0,0.98,1.63,0.08,0.0,0.0,0.0,3.51,0.41,0.9,31.3,1838,25.0,78.75326719456828,79.40167573169333,2,Secondary Attackers
Michael Folorunsho,1998-02-07,SerieA,Fiorentina,Right,Italy,Att Mid / Wingers,685,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.16,0.16,0.08,0.24,1.71,2.76,4.6,1.31,0.39,30.0,0.0,0.0,13.6,0.0,0.12,-0.16,-0.16,24.7,34.95,70.7,384.96,108.39,11.56,13.66,84.6,9.72,13.01,74.7,1.97,3.94,50.0,0.07,0.39,1.71,0.79,0.26,31.8,3.02,0.92,0.0,0.0,2.76,1.97,0.13,0.13,0.0,0.0,0.13,1.45,1.84,1.18,0.0,0.26,0.13,0.13,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,2.89,1.84,1.18,1.18,0.53,1.31,3.15,41.7,1.84,1.18,0.13,0.66,3.55,1.45,0.13,48.35,0.79,9.72,23.78,15.77,2.23,48.35,2.76,1.18,42.9,1.18,42.9,25.75,142.82,57.68,0.66,0.66,1.84,1.18,29.69,0.0,2.23,3.15,0.0,0.0,0.0,0.0,4.07,2.37,1.71,58.1,1757,27.0,67.82271531607432,67.82271531607432,2,Secondary Attackers
Gianluca Gaetano,2000-05-05,SerieA,Cagliari,Right,Italy,Att Mid / Wingers,1009,0.18,0.36,0.54,0.18,0.0,0.0,0.0,0.0,0.44,0.44,0.2,0.63,0.98,3.66,7.31,2.68,0.54,20.0,0.07,0.33,17.2,0.18,0.16,-0.26,-0.26,23.01,31.84,72.3,376.32,105.43,12.22,15.34,79.7,7.23,10.08,71.7,2.77,4.1,67.4,0.21,1.96,2.41,1.16,0.0,29.79,2.05,0.45,0.27,0.45,2.14,0.27,0.89,0.27,0.62,0.0,0.0,0.98,4.28,2.59,0.54,0.36,0.54,0.27,0.0,0.45,0.45,0.0,0.0,0.0,0.0,0.0,0.98,0.71,0.36,0.54,0.09,0.45,1.34,33.3,0.89,0.71,0.0,0.54,1.52,0.71,0.0,43.71,0.89,3.92,20.07,19.98,3.84,43.71,2.41,1.25,51.9,1.16,48.1,26.49,117.56,38.8,1.34,0.62,2.77,1.43,31.75,0.0,1.43,1.16,0.36,0.0,0.0,0.0,3.03,0.89,1.78,33.3,1602,25.0,72.7535543082153,72.7535543082153,0,Hybrid Orchestrators
Ademola Lookman,1997-10-20,SerieA,Atalanta,Right,Nigeria,Att Mid / Wingers,2247,0.6,0.2,0.8,0.56,0.04,0.04,0.16,0.0,0.41,0.38,0.28,0.67,5.69,2.92,12.66,3.24,1.28,39.5,0.17,0.44,14.7,0.0,0.12,0.19,0.18,27.4,37.81,72.5,387.0,106.5,17.46,20.11,86.9,7.13,10.25,69.5,1.68,3.85,43.8,0.32,2.44,1.16,1.72,0.52,33.73,3.89,0.16,0.12,0.04,4.97,0.36,3.36,1.56,0.92,0.04,0.2,1.4,5.41,3.0,1.0,0.68,0.6,0.08,0.04,0.6,0.4,0.0,0.12,0.04,0.04,0.0,1.28,0.6,0.36,0.6,0.32,0.44,0.76,57.9,0.32,0.76,0.0,0.12,1.4,0.2,0.04,51.03,0.04,2.72,16.02,33.0,7.97,50.99,4.17,1.48,35.6,2.56,61.5,33.12,218.45,126.97,2.8,3.24,2.88,2.04,39.01,0.0,1.24,0.8,1.04,0.0,0.0,0.0,2.76,0.68,0.52,56.7,1842,28.0,80.43872513940427,80.43872513940427,4,World-Class Wingers
Charles De Ketelaere,2001-03-10,SerieA,Atalanta,Left,Belgium,Att Mid / Wingers,2070,0.3,0.3,0.61,0.3,0.0,0.0,0.04,0.0,0.32,0.32,0.26,0.57,4.7,6.09,9.17,2.09,0.87,41.7,0.15,0.35,12.2,0.0,0.15,-0.01,-0.01,32.78,43.26,75.8,487.26,134.3,18.96,22.35,84.8,10.83,14.17,76.4,2.0,3.35,59.7,0.21,1.7,3.52,2.3,0.39,40.52,2.43,0.48,0.61,0.22,2.43,1.13,0.09,0.04,0.0,0.0,0.3,1.13,3.83,3.17,0.0,0.22,0.3,0.13,0.0,0.61,0.48,0.0,0.04,0.09,0.0,0.0,0.57,0.39,0.09,0.39,0.09,0.17,0.65,26.7,0.48,0.61,0.13,0.13,0.7,0.39,0.04,53.83,0.43,3.26,23.04,28.57,5.87,53.83,4.13,1.87,45.3,1.96,47.4,36.17,246.0,131.43,3.26,1.78,2.26,2.17,43.83,0.0,0.96,1.7,0.09,0.0,0.0,0.0,3.39,1.57,1.65,48.6,1842,24.0,80.30115126865407,82.33446482371356,4,World-Class Wingers
Marco Brescianini,2000-01-20,SerieA,Atalanta,Left,Italy,Att Mid / Wingers,991,0.36,0.18,0.54,0.36,0.0,0.0,0.09,0.0,0.28,0.28,0.09,0.37,4.18,3.27,6.27,1.82,0.73,40.0,0.2,0.5,13.4,0.0,0.16,0.08,0.08,30.33,38.14,79.5,431.93,96.27,18.89,21.34,88.5,10.08,12.44,81.0,0.73,2.0,36.4,0.06,0.64,2.45,0.82,0.18,37.24,0.82,0.18,0.36,0.18,1.63,0.45,0.18,0.09,0.0,0.0,0.09,1.27,2.36,2.0,0.0,0.18,0.18,0.0,0.0,0.54,0.36,0.0,0.0,0.18,0.0,0.0,1.63,1.0,0.45,0.82,0.36,0.73,0.91,80.0,0.18,1.36,0.18,0.18,1.82,0.54,0.0,49.68,0.73,6.18,23.7,20.52,3.45,49.68,2.36,0.73,30.8,1.36,57.7,32.24,212.24,110.71,2.72,1.18,2.54,1.73,37.87,0.0,2.0,0.82,0.18,0.0,0.0,0.0,4.54,1.09,0.91,54.5,1842,25.0,77.93112214788393,78.61027547283713,1,Direct Dribbling Threats
Lazar Samardzic,2002-02-24,SerieA,Atalanta,Left,Serbia,Att Mid / Wingers,1169,0.15,0.08,0.23,0.15,0.0,0.0,0.23,0.0,0.15,0.15,0.22,0.38,4.16,7.08,7.62,2.54,0.92,36.4,0.06,0.17,19.6,0.23,0.06,0.0,0.0,41.5,53.28,77.9,723.85,176.84,20.94,23.94,87.5,14.55,18.71,77.8,5.24,8.31,63.0,0.31,2.69,4.62,2.31,0.23,49.35,3.62,0.62,0.46,1.15,4.62,0.08,2.85,2.23,0.38,0.0,0.31,0.62,5.93,3.85,0.92,0.62,0.46,0.0,0.08,0.46,0.38,0.0,0.0,0.08,0.0,0.0,1.62,1.15,0.38,0.54,0.69,0.92,1.92,48.0,1.0,0.69,0.08,0.15,1.77,0.46,0.0,66.75,0.46,4.7,27.18,35.34,4.16,66.75,4.62,2.08,45.0,2.46,53.3,44.11,278.08,127.19,3.08,1.62,2.77,1.46,50.66,0.0,1.46,0.77,0.08,0.0,0.0,0.0,3.85,0.31,1.77,14.8,1842,23.0,80.32297551789078,83.7708738403452,3,Elite Technicians
