Player,Birthdate,League,Club,Footed,Nationality,Position,Minutes,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shots Total,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),xA: Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Offside,Passes Blocked,Shot-Creating Actions,SCA (Live-ball Pass),SCA (Dead-ball Pass),SCA (Take-On),SCA (Shot),SCA (Fouls Drawn),SCA (Defensive Action),Goal-Creating Actions,GCA (Live-ball Pass),GCA (Dead-ball Pass),GCA (Take-On),GCA (Shot),GCA (Fouls Drawn),GCA (Defensive Action),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Interceptions,Tkl+Int,Clearances,Errors,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Take-Ons Attempted,Successful Take-Ons,Successful Take-On %,Times Tackled During Take-On,Tackled During Take-On Percentage,Carries,Total Carrying Distance,Progressive Carrying Distance,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Elo,Age,Rating,Potential,Cluster,Cluster Name
Zak Vyner,1997-05-14,EFLChampionship,Bristol City,Right,Kenya,Center Backs,4140,0.02,0.0,0.02,0.02,0.0,0.0,0.07,0.0,0.06,0.06,0.02,0.08,0.43,4.26,0.74,0.33,0.02,6.7,0.07,1.0,12.6,0.0,0.19,-0.04,-0.04,50.59,64.61,78.3,966.09,408.39,18.3,20.07,91.2,26.63,31.02,85.8,5.15,11.72,44.0,0.04,0.26,5.07,0.43,0.11,56.96,7.57,1.39,0.04,0.57,0.76,6.17,0.0,0.0,0.0,0.0,0.09,0.74,1.11,0.98,0.09,0.0,0.02,0.02,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.0,1.46,1.11,0.89,0.52,0.04,0.74,1.26,58.6,0.52,1.26,0.8,0.96,2.41,4.39,0.04,74.0,4.98,28.72,38.41,7.24,0.52,74.0,0.07,0.04,66.7,0.02,33.3,39.39,129.78,62.85,0.5,0.02,0.22,0.11,46.46,0.0,0.76,0.2,0.02,0.0,0.0,0.0,3.91,1.59,1.48,51.8,1523,28.0,74.36194239902234,74.36194239902234,0,Dominant Anchors
Dominic Hyam,1995-12-20,EFLChampionship,Blackburn Rovers,Right,Scotland,Center Backs,4140,0.04,0.04,0.09,0.04,0.0,0.0,0.11,0.0,0.06,0.06,0.02,0.08,0.17,1.46,0.13,0.43,0.07,15.0,0.1,0.67,8.3,0.0,0.14,-0.02,-0.02,43.09,52.33,82.3,882.09,273.43,13.04,15.04,86.7,23.87,26.98,88.5,5.85,9.0,65.0,0.03,0.22,2.02,0.11,0.0,49.15,3.07,1.41,0.0,0.46,0.07,0.09,0.0,0.0,0.0,0.0,0.11,0.43,0.63,0.5,0.0,0.0,0.07,0.04,0.02,0.07,0.04,0.0,0.0,0.0,0.02,0.0,1.0,0.61,0.63,0.33,0.04,0.63,0.93,67.4,0.3,1.15,0.74,0.54,1.54,7.65,0.07,64.48,11.17,39.7,22.76,2.24,1.07,64.48,0.11,0.07,60.0,0.04,40.0,30.17,125.61,55.24,0.07,0.0,0.48,0.04,37.39,0.0,0.61,0.5,0.13,0.02,0.02,0.0,2.83,3.76,2.5,60.1,1513,29.0,74.22078705418237,74.22078705418237,6,No-Nonsense Guardians
Joe Rodon,1997-10-22,EFLChampionship,Leeds United,Right,Wales,Center Backs,4135,0.02,0.0,0.02,0.02,0.0,0.0,0.11,0.0,0.03,0.03,0.02,0.05,1.22,6.33,0.11,0.46,0.04,9.5,0.05,0.5,10.3,0.0,0.06,0.0,0.0,75.48,81.86,92.2,1407.77,486.59,25.29,26.66,94.9,44.18,46.45,95.1,5.44,7.36,74.0,0.05,0.3,5.44,0.09,0.0,79.77,1.92,1.18,0.15,0.02,0.02,0.3,0.0,0.0,0.0,0.0,0.17,0.24,1.22,1.11,0.0,0.02,0.09,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.91,0.54,0.59,0.26,0.07,0.37,0.48,77.3,0.11,0.67,0.44,0.63,1.55,5.16,0.04,91.02,5.62,38.46,49.89,2.92,0.81,91.02,0.13,0.09,66.7,0.02,16.7,57.59,298.36,179.83,0.48,0.0,0.26,0.07,69.93,0.0,0.63,0.74,0.0,0.0,0.04,0.0,4.03,2.59,1.76,59.5,1722,28.0,80.131867877117,80.131867877117,7,World-Class Hybrid Leaders
Maxime Estève,2002-05-26,EFLChampionship,Burnley,Left,France,Center Backs,4055,0.02,0.0,0.02,0.02,0.0,0.0,0.07,0.0,0.02,0.02,0.0,0.02,0.42,3.11,0.04,0.16,0.02,14.3,0.14,1.0,16.1,0.0,0.13,0.0,0.0,61.9,68.56,90.3,1163.7,330.3,20.57,21.95,93.7,36.47,38.13,95.6,4.33,7.19,60.2,0.01,0.04,2.95,0.02,0.0,65.61,2.84,1.51,0.02,0.44,0.11,0.09,0.0,0.0,0.0,0.0,0.11,0.36,0.55,0.53,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,1.07,0.64,0.75,0.27,0.04,0.53,0.8,66.7,0.27,1.29,0.91,0.82,1.89,5.19,0.04,78.46,9.19,40.26,36.73,1.75,0.31,78.46,0.2,0.16,77.8,0.04,22.2,45.88,196.6,112.13,0.29,0.02,0.6,0.18,54.51,0.0,0.4,0.42,0.0,0.0,0.0,0.0,3.75,2.06,1.27,62.0,1730,23.0,78.11459985679816,80.37913401954846,6,No-Nonsense Guardians
Shane Duffy,1992-01-01,EFLChampionship,Norwich City,Right,Republic of Ireland,Center Backs,4040,0.09,0.0,0.09,0.09,0.0,0.0,0.09,0.0,0.07,0.07,0.03,0.11,0.36,2.65,0.18,0.8,0.2,25.0,0.11,0.44,10.2,0.0,0.09,0.02,0.02,67.68,76.26,88.8,1225.2,438.86,26.2,27.74,94.5,35.71,38.56,92.6,5.12,8.35,61.3,0.03,0.22,2.38,0.16,0.02,72.8,3.34,1.76,0.0,0.65,0.09,0.49,0.0,0.0,0.0,0.0,0.11,0.4,0.76,0.67,0.0,0.0,0.07,0.02,0.0,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.82,0.47,0.6,0.2,0.02,0.42,0.76,55.9,0.33,1.25,1.0,0.71,1.54,5.3,0.07,86.75,14.77,49.7,34.62,2.58,1.4,86.75,0.18,0.09,50.0,0.04,25.0,49.97,190.76,101.52,0.2,0.0,0.31,0.16,63.82,0.0,0.6,0.36,0.16,0.0,0.02,0.0,2.87,3.36,1.27,72.6,1507,33.0,74.88959003436594,74.88959003436594,6,No-Nonsense Guardians
Ben Cabango,2000-05-30,EFLChampionship,Swansea City,Right,Wales,Center Backs,4032,0.04,0.02,0.07,0.04,0.0,0.0,0.2,0.0,0.06,0.06,0.02,0.07,0.69,4.78,0.29,0.51,0.09,17.4,0.09,0.5,8.9,0.0,0.11,-0.01,-0.01,63.68,74.0,86.1,1232.25,459.44,21.52,23.21,92.7,35.76,38.17,93.7,6.12,11.45,53.4,0.03,0.31,4.98,0.18,0.0,69.2,4.51,1.88,0.04,0.36,0.09,0.63,0.0,0.0,0.0,0.0,0.29,0.36,0.8,0.69,0.02,0.0,0.09,0.0,0.0,0.07,0.04,0.0,0.0,0.02,0.0,0.0,1.88,1.27,1.29,0.51,0.07,0.74,1.14,64.7,0.4,1.14,0.74,0.92,2.79,6.14,0.07,86.07,10.18,46.29,37.5,2.66,0.94,86.07,0.25,0.16,63.6,0.09,36.4,50.07,228.82,124.73,0.4,0.0,0.58,0.13,59.04,0.0,0.71,0.45,0.0,0.0,0.0,0.02,4.31,2.95,1.67,63.8,1513,25.0,75.56501691215537,75.56501691215537,0,Dominant Anchors
Luke O'Nien,1994-11-21,EFLChampionship,Sunderland,Right,England,Center Backs,3934,0.07,0.02,0.09,0.07,0.0,0.02,0.21,0.0,0.08,0.06,0.02,0.08,1.03,5.24,0.59,0.37,0.11,31.3,0.19,0.6,17.1,0.0,0.16,-0.01,0.01,55.55,64.35,86.3,1126.28,418.45,18.23,19.88,91.7,28.83,30.72,93.8,7.64,11.71,65.2,0.02,0.41,5.26,0.21,0.05,59.14,4.99,2.63,0.07,0.76,0.43,1.49,0.02,0.02,0.0,0.0,0.23,0.76,1.17,0.98,0.05,0.0,0.07,0.05,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,1.12,0.71,0.62,0.39,0.11,0.64,0.89,71.8,0.25,1.12,0.69,1.03,2.15,4.12,0.05,73.6,8.56,35.16,34.66,4.07,0.71,73.57,0.21,0.14,66.7,0.02,11.1,40.65,228.32,132.09,0.71,0.09,0.53,0.32,47.49,0.0,0.8,1.17,0.09,0.0,0.02,0.05,3.55,1.62,0.98,62.3,1547,31.0,76.40789844549475,76.40789844549475,7,World-Class Hybrid Leaders
CJ Egan-Riley,2003-01-02,EFLChampionship,Burnley,Right,England,Center Backs,3601,0.03,0.03,0.05,0.03,0.0,0.0,0.18,0.03,0.03,0.03,0.02,0.04,0.65,3.22,0.22,0.37,0.08,20.0,0.07,0.33,18.3,0.05,0.07,0.0,0.0,61.46,71.28,86.2,1241.71,454.37,20.52,21.74,94.4,33.29,35.29,94.3,7.15,12.97,55.1,0.02,0.35,5.07,0.15,0.05,68.98,2.22,1.87,0.08,1.02,0.08,0.27,0.0,0.0,0.0,0.0,0.08,0.3,1.02,0.9,0.05,0.03,0.03,0.0,0.03,0.08,0.05,0.03,0.0,0.0,0.0,0.0,1.5,1.02,0.97,0.42,0.1,0.85,0.92,91.9,0.08,0.97,0.72,0.9,2.4,4.97,0.05,81.05,9.1,41.11,38.31,2.27,0.5,81.05,0.42,0.27,64.7,0.15,35.3,51.46,264.85,153.98,0.3,0.0,0.32,0.2,58.53,0.0,0.42,0.72,0.0,0.0,0.03,0.0,4.62,1.8,1.85,49.3,1730,22.0,77.3086035263553,80.9768728002009,0,Dominant Anchors
Japhet Tanganga,1999-03-31,EFLChampionship,Millwall,Right,England,Center Backs,3552,0.05,0.0,0.05,0.05,0.0,0.0,0.15,0.0,0.06,0.06,0.02,0.08,0.38,2.1,0.35,1.11,0.23,20.5,0.05,0.22,12.5,0.0,0.06,-0.01,-0.01,26.78,34.64,77.3,563.26,181.55,6.82,8.49,80.3,16.17,18.4,87.9,3.47,6.46,53.7,0.02,0.13,1.67,0.2,0.05,33.6,0.91,0.41,0.05,0.33,0.15,0.51,0.0,0.0,0.0,0.0,0.13,0.43,0.68,0.48,0.03,0.0,0.1,0.08,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,1.42,0.94,0.91,0.48,0.03,0.53,0.79,67.7,0.25,0.99,0.61,0.91,2.33,5.57,0.05,47.51,6.21,24.68,19.13,4.13,1.6,47.51,0.58,0.28,47.8,0.28,47.8,22.63,114.58,48.04,0.3,0.08,0.84,0.46,24.17,0.0,0.91,1.14,0.08,0.0,0.03,0.0,3.85,3.07,1.75,63.7,1525,26.0,72.88747706336629,72.88747706336629,2,Classical Defenders
Calum Chambers,1995-01-20,EFLChampionship,Cardiff City,Right,England,Center Backs,3513,0.05,0.03,0.08,0.05,0.0,0.0,0.21,0.03,0.04,0.04,0.04,0.07,0.33,4.15,0.92,0.77,0.21,26.7,0.07,0.25,17.6,0.0,0.05,0.01,0.01,43.71,54.01,80.9,804.54,294.26,17.16,19.62,87.5,22.03,25.29,87.1,4.02,7.25,55.5,0.05,0.61,3.74,0.46,0.18,52.06,1.67,0.85,0.05,0.13,0.51,0.51,0.03,0.0,0.0,0.0,0.28,0.67,1.18,1.0,0.03,0.0,0.1,0.0,0.05,0.13,0.08,0.0,0.0,0.03,0.0,0.03,1.9,1.23,0.87,0.87,0.15,0.82,1.26,65.3,0.44,1.23,0.67,1.33,3.23,3.79,0.1,65.3,6.79,28.03,30.69,6.87,1.26,65.3,0.59,0.33,56.5,0.26,43.5,34.87,128.74,56.03,0.41,0.03,0.92,0.51,39.61,0.0,1.36,0.36,0.08,0.0,0.03,0.03,4.48,2.23,1.49,60.0,1434,30.0,72.665625912283,72.665625912283,1,Mobile Front-Foot Defenders
