Player,Birthdate,League,Club,Footed,Nationality,Position,Minutes,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shots Total,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),xA: Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Offside,Passes Blocked,Shot-Creating Actions,SCA (Live-ball Pass),SCA (Dead-ball Pass),SCA (Take-On),SCA (Shot),SCA (Fouls Drawn),SCA (Defensive Action),Goal-Creating Actions,GCA (Live-ball Pass),GCA (Dead-ball Pass),GCA (Take-On),GCA (Shot),GCA (Fouls Drawn),GCA (Defensive Action),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Interceptions,Tkl+Int,Clearances,Errors,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Take-Ons Attempted,Successful Take-Ons,Successful Take-On %,Times Tackled During Take-On,Tackled During Take-On Percentage,Carries,Total Carrying Distance,Progressive Carrying Distance,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Elo,Age,Rating,Potential,Cluster,Cluster Name
Jimmy Dunne,1997-10-19,EFLChampionship,Queens Park Rangers,Right,Republic of Ireland,Fullbacks,4050,0.11,0.04,0.16,0.11,0.0,0.0,0.2,0.0,0.11,0.11,0.06,0.17,1.24,2.89,1.47,1.22,0.38,30.9,0.09,0.29,12.3,0.0,0.09,0.0,0.0,39.31,53.82,73.0,684.38,258.89,17.78,21.29,83.5,17.51,22.2,78.9,3.51,8.44,41.6,0.07,0.53,2.44,0.22,0.11,45.13,8.49,1.22,0.0,0.04,0.89,7.11,0.0,0.0,0.0,0.0,0.2,0.64,1.47,1.11,0.09,0.07,0.13,0.04,0.02,0.16,0.11,0.0,0.02,0.02,0.0,0.0,2.51,1.56,1.56,0.71,0.24,1.38,1.82,75.6,0.44,1.42,0.53,1.02,3.53,5.78,0.0,68.0,6.13,30.22,26.49,11.84,2.8,68.0,0.93,0.49,52.4,0.38,40.5,30.22,140.78,69.49,0.87,0.04,1.04,0.44,36.8,0.0,1.07,0.69,0.16,0.0,0.0,0.02,3.42,4.67,2.6,64.2,1538,28.0,72.2295899912996,72.2295899912996,3,Robust Wide Stoppers
Connor Ogilvie,1996-02-14,EFLChampionship,Portsmouth,Left,England,Fullbacks,4028,0.09,0.02,0.11,0.09,0.0,0.0,0.11,0.0,0.1,0.1,0.04,0.14,0.65,3.28,1.41,0.87,0.2,23.1,0.1,0.44,13.0,0.0,0.11,-0.01,-0.01,27.1,41.67,65.0,510.77,234.99,10.23,12.69,80.6,13.18,19.04,69.2,3.2,8.49,37.6,0.04,0.67,2.68,0.54,0.25,31.06,10.48,0.65,0.02,0.07,1.23,9.72,0.0,0.0,0.0,0.0,0.13,0.6,1.61,1.21,0.13,0.02,0.07,0.11,0.07,0.07,0.04,0.02,0.0,0.0,0.0,0.0,0.98,0.6,0.29,0.54,0.16,0.63,0.92,68.3,0.29,0.87,0.56,1.3,2.28,4.04,0.0,52.64,3.87,16.94,24.09,11.91,1.45,52.64,0.49,0.18,36.4,0.2,40.9,17.47,77.04,37.36,0.6,0.04,0.6,0.16,21.18,0.0,0.67,1.23,0.11,0.0,0.02,0.02,2.26,3.73,2.48,60.1,1479,29.0,70.41091174083162,70.41091174083162,3,Robust Wide Stoppers
Milan van Ewijk,2000-09-08,EFLChampionship,Coventry City,Right,Netherlands,Fullbacks,4010,0.04,0.04,0.09,0.04,0.0,0.0,0.02,0.0,0.05,0.05,0.13,0.18,2.22,3.39,4.65,0.65,0.18,27.6,0.07,0.25,20.3,0.07,0.07,0.0,0.0,39.57,51.85,76.3,658.91,206.73,19.3,21.88,88.2,15.85,19.77,80.1,3.3,7.38,44.7,0.13,1.21,2.54,0.88,0.52,42.06,9.72,0.54,0.02,0.22,2.94,9.18,0.0,0.0,0.0,0.0,0.07,1.19,2.45,1.95,0.25,0.07,0.09,0.04,0.04,0.16,0.11,0.02,0.0,0.02,0.0,0.0,2.06,1.48,1.19,0.7,0.18,0.72,1.41,50.8,0.7,0.83,0.2,1.21,3.28,2.85,0.02,63.11,2.4,16.47,29.99,17.35,1.41,63.11,1.64,0.56,34.2,1.03,63.0,31.83,160.0,76.56,1.75,0.43,1.64,0.61,34.38,0.0,0.83,0.9,0.07,0.0,0.0,0.0,4.47,0.74,0.72,50.8,1546,25.0,73.23987529866925,73.23987529866925,1,Dynamic Engines
Josh Tymon,1999-05-22,EFLChampionship,Swansea City,Left,England,Fullbacks,3940,0.05,0.16,0.21,0.05,0.0,0.02,0.16,0.0,0.06,0.05,0.23,0.28,3.13,3.93,5.14,0.53,0.21,39.1,0.09,0.22,22.3,0.0,0.09,-0.02,0.0,44.79,56.67,79.0,720.25,203.62,23.46,26.11,89.9,17.09,20.79,82.2,3.36,7.45,45.1,0.21,1.85,2.92,1.14,0.64,43.36,13.18,1.96,0.0,0.05,6.08,8.79,2.42,1.03,1.03,0.02,0.14,0.82,2.95,1.76,0.98,0.05,0.05,0.09,0.02,0.16,0.11,0.05,0.0,0.0,0.0,0.0,1.07,0.66,0.62,0.3,0.16,0.66,1.17,56.9,0.5,0.69,0.14,1.35,2.42,1.92,0.07,65.03,2.22,15.42,31.0,19.6,1.05,65.01,1.3,0.75,57.9,0.5,38.6,32.48,181.37,99.3,2.1,0.25,1.35,0.71,37.26,0.0,0.41,0.62,0.07,0.0,0.0,0.02,4.64,0.48,1.44,25.0,1513,26.0,72.74824549395893,72.74824549395893,1,Dynamic Engines
Jayden Bogle,2000-07-27,EFLChampionship,Leeds United,Right,England,Fullbacks,3824,0.14,0.09,0.24,0.14,0.0,0.0,0.28,0.0,0.12,0.12,0.16,0.29,2.89,4.54,6.21,1.11,0.33,29.8,0.13,0.43,14.4,0.0,0.11,0.02,0.02,42.08,54.91,76.6,655.28,224.08,22.03,24.88,88.6,17.06,21.68,78.7,2.0,5.11,39.2,0.14,0.87,3.53,1.08,0.24,43.26,11.56,1.32,0.14,0.05,2.07,10.21,0.02,0.0,0.0,0.0,0.09,1.67,2.61,1.84,0.07,0.21,0.26,0.14,0.09,0.31,0.21,0.02,0.02,0.05,0.0,0.0,2.31,1.46,1.15,0.8,0.35,1.13,1.98,57.1,0.85,0.85,0.05,0.87,3.18,2.14,0.02,66.32,1.62,16.55,31.56,18.99,3.04,66.32,2.35,1.11,47.0,1.15,49.0,34.06,194.8,103.16,1.91,0.64,1.44,0.73,38.62,0.0,1.22,1.37,0.14,0.02,0.02,0.0,3.7,1.06,0.99,51.7,1722,25.0,76.51888153512108,76.51888153512108,1,Dynamic Engines
Trai Hume,2002-03-18,EFLChampionship,Sunderland,Right,Northern Ireland,Fullbacks,3810,0.07,0.14,0.21,0.07,0.0,0.0,0.26,0.02,0.05,0.05,0.17,0.22,1.49,5.13,3.28,0.69,0.21,31.0,0.1,0.33,17.9,0.02,0.07,0.02,0.02,44.83,58.61,76.5,745.56,275.65,20.81,24.14,86.2,19.04,22.87,83.3,3.5,7.44,47.0,0.18,1.39,4.13,1.2,0.59,47.57,10.94,2.03,0.12,0.21,3.28,8.43,0.47,0.33,0.07,0.0,0.09,1.77,2.46,2.13,0.24,0.05,0.02,0.0,0.02,0.26,0.21,0.02,0.0,0.0,0.0,0.02,2.81,1.75,1.49,1.02,0.31,1.46,2.65,55.4,1.18,1.18,0.43,1.06,3.87,3.52,0.0,69.94,3.45,21.19,34.09,15.24,1.75,69.94,0.73,0.28,38.7,0.45,61.3,32.39,144.52,69.28,0.97,0.17,1.04,0.31,38.43,0.0,1.02,0.76,0.07,0.0,0.0,0.0,4.09,2.27,1.68,57.5,1547,23.0,74.12642500780932,74.58750833675334,0,Inverted Facilitators
Lewie Coyle,1995-10-15,EFLChampionship,Hull City,Right,England,Fullbacks,3717,0.02,0.05,0.07,0.02,0.0,0.0,0.15,0.0,0.02,0.02,0.09,0.11,2.66,4.48,2.66,0.75,0.15,19.4,0.03,0.17,22.4,0.0,0.03,0.0,0.0,47.22,61.31,77.0,828.35,276.3,21.57,24.07,89.6,20.94,26.78,78.2,4.07,8.43,48.3,0.13,0.82,4.0,1.28,0.8,48.77,12.32,1.72,0.07,0.27,4.02,10.61,0.0,0.0,0.0,0.0,0.22,1.07,1.96,1.55,0.17,0.05,0.02,0.1,0.07,0.15,0.15,0.0,0.0,0.0,0.0,0.0,2.37,1.55,1.67,0.56,0.15,1.4,2.23,63.0,0.82,0.85,0.48,0.63,3.0,3.95,0.07,72.62,5.06,25.76,31.48,16.15,1.02,72.62,1.04,0.48,46.5,0.39,37.2,37.19,219.25,108.69,1.79,0.24,0.9,0.48,41.77,0.0,0.97,1.77,0.05,0.0,0.05,0.0,4.65,1.21,1.36,47.2,1492,30.0,72.68174441735052,72.68174441735052,0,Inverted Facilitators
Darnell Furlong,1995-10-31,EFLChampionship,West Bromwich Albion,Right,England,Fullbacks,3706,0.02,0.07,0.1,0.02,0.0,0.0,0.19,0.02,0.07,0.07,0.11,0.19,1.6,4.47,3.3,0.97,0.15,15.0,0.03,0.17,13.7,0.0,0.08,-0.05,-0.05,38.47,52.41,73.4,705.55,253.34,15.69,18.43,85.1,18.38,23.36,78.7,3.81,8.35,45.6,0.11,1.0,3.59,0.87,0.39,42.28,9.98,0.9,0.15,0.17,2.02,9.08,0.0,0.0,0.0,0.0,0.15,0.87,2.45,1.87,0.29,0.02,0.1,0.15,0.02,0.41,0.34,0.07,0.0,0.0,0.0,0.0,1.04,0.53,0.61,0.29,0.15,0.56,0.95,59.0,0.39,0.92,0.39,0.73,1.77,3.96,0.05,63.19,3.74,18.82,29.21,15.37,1.8,63.19,0.85,0.32,37.1,0.46,54.3,29.92,135.0,72.13,0.83,0.22,1.04,0.34,37.01,0.0,1.12,1.75,0.05,0.0,0.0,0.02,2.7,3.23,1.51,68.2,1538,30.0,72.23931580855724,72.23931580855724,3,Robust Wide Stoppers
Kaine Kesler-Hayden,2002-10-23,EFLChampionship,Preston North End,Right,England,Fullbacks,3670,0.05,0.07,0.12,0.05,0.0,0.0,0.15,0.0,0.07,0.07,0.07,0.14,3.11,3.31,4.73,0.98,0.27,27.5,0.05,0.18,18.7,0.0,0.07,-0.02,-0.02,28.1,36.91,76.1,445.41,128.23,14.57,16.95,86.0,11.33,14.2,79.8,1.59,3.48,45.8,0.09,0.59,2.01,0.59,0.12,32.4,4.34,0.54,0.05,0.17,1.2,3.8,0.0,0.0,0.0,0.0,0.17,1.05,1.84,1.28,0.05,0.15,0.15,0.22,0.0,0.2,0.15,0.0,0.0,0.05,0.0,0.0,1.67,1.15,0.83,0.74,0.1,0.66,1.1,60.0,0.44,1.01,0.32,0.52,2.18,3.34,0.02,50.03,3.26,14.96,21.65,14.32,2.08,50.03,2.75,1.05,38.4,1.42,51.8,27.96,190.74,92.31,1.69,0.88,2.26,0.91,27.83,0.0,0.56,1.77,0.15,0.0,0.02,0.0,5.59,1.77,1.25,58.5,1469,23.0,70.20978573203219,70.20978573203219,3,Robust Wide Stoppers
Connor Roberts,1995-09-23,EFLChampionship,Burnley,Right,Wales,Fullbacks,3636,0.05,0.07,0.12,0.05,0.0,0.0,0.1,0.0,0.06,0.06,0.06,0.12,1.21,5.89,2.43,0.64,0.12,19.2,0.08,0.4,19.8,0.0,0.1,-0.01,-0.01,53.39,64.58,82.7,994.38,308.81,21.49,23.17,92.7,24.6,28.44,86.5,6.56,11.09,59.2,0.07,0.69,5.12,0.84,0.3,53.96,10.5,1.96,0.07,0.4,1.91,8.29,0.25,0.05,0.05,0.0,0.12,0.64,1.88,1.49,0.15,0.05,0.1,0.07,0.02,0.25,0.22,0.0,0.0,0.02,0.0,0.0,1.14,0.77,0.5,0.47,0.17,0.69,1.04,66.7,0.35,0.87,0.4,0.42,1.56,2.1,0.02,71.11,2.52,19.53,36.24,15.47,1.24,71.11,0.45,0.22,50.0,0.17,38.9,38.89,152.01,84.01,0.77,0.17,0.5,0.12,47.55,0.0,0.59,1.58,0.07,0.0,0.0,0.0,2.52,0.47,0.84,35.8,1730,30.0,76.665858093803,76.665858093803,0,Inverted Facilitators
