Player,Birthdate,League,Club,Footed,Nationality,Position,Minutes,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shots Total,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),xA: Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Offside,Passes Blocked,Shot-Creating Actions,SCA (Live-ball Pass),SCA (Dead-ball Pass),SCA (Take-On),SCA (Shot),SCA (Fouls Drawn),SCA (Defensive Action),Goal-Creating Actions,GCA (Live-ball Pass),GCA (Dead-ball Pass),GCA (Take-On),GCA (Shot),GCA (Fouls Drawn),GCA (Defensive Action),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Interceptions,Tkl+Int,Clearances,Errors,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Take-Ons Attempted,Successful Take-Ons,Successful Take-On %,Times Tackled During Take-On,Tackled During Take-On Percentage,Carries,Total Carrying Distance,Progressive Carrying Distance,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Elo,Age,Rating,Potential,Cluster,Cluster Name
Romelu Lukaku,1993-05-13,SerieA,Napoli,Left,Belgium,Forwards,2843,0.44,0.32,0.76,0.35,0.1,0.13,0.13,0.0,0.41,0.31,0.13,0.44,0.98,1.14,6.93,1.9,0.63,33.3,0.18,0.55,14.3,0.03,0.17,0.03,0.04,11.17,15.73,71.0,139.51,20.86,6.81,8.61,79.0,2.91,4.05,71.9,0.35,0.6,57.9,0.08,1.11,0.47,0.35,0.03,14.31,1.42,0.03,0.19,0.06,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.66,2.41,1.99,0.0,0.06,0.28,0.06,0.0,0.51,0.47,0.0,0.03,0.0,0.0,0.0,0.13,0.06,0.0,0.06,0.06,0.03,0.13,25.0,0.1,0.22,0.06,0.03,0.16,0.54,0.0,22.95,0.57,1.08,9.69,12.28,4.53,22.82,0.82,0.19,23.1,0.57,69.2,12.03,50.9,21.43,0.41,0.73,1.74,1.68,18.65,0.0,1.49,1.14,0.76,0.0,0.0,0.0,1.08,1.33,1.77,42.9,1838,32.0,79.82125861084359,79.82125861084359,5,Dynamic Strike-Runners
Lautaro Martínez,1997-08-22,SerieA,Internazionale,Right,Argentina,Forwards,2564,0.42,0.11,0.53,0.42,0.0,0.0,0.04,0.0,0.47,0.47,0.15,0.62,1.19,2.39,6.92,3.58,1.19,33.3,0.12,0.35,13.8,0.0,0.13,-0.05,-0.05,16.57,22.25,74.4,263.05,56.48,9.27,11.37,81.5,5.34,6.95,76.8,1.44,1.97,73.2,0.15,1.26,1.44,0.77,0.04,20.92,1.05,0.11,0.32,0.35,0.46,0.07,0.0,0.0,0.0,0.0,0.28,0.74,2.7,2.04,0.0,0.07,0.42,0.14,0.04,0.28,0.18,0.0,0.04,0.07,0.0,0.0,1.05,0.56,0.35,0.42,0.28,0.46,0.88,52.0,0.42,0.74,0.11,0.35,1.4,0.53,0.0,34.43,0.53,2.95,14.5,17.34,5.69,34.43,1.65,0.6,36.2,0.88,53.2,21.94,96.14,38.65,0.95,0.42,2.46,1.9,26.47,0.0,1.44,1.47,0.77,0.0,0.0,0.0,2.56,1.23,1.33,47.9,1933,28.0,80.85304245224336,80.85304245224336,5,Dynamic Strike-Runners
Marcus Thuram,1997-08-06,SerieA,Internazionale,Right,France,Forwards,2290,0.55,0.16,0.71,0.55,0.0,0.0,0.04,0.0,0.39,0.39,0.17,0.56,2.44,2.08,6.68,2.55,1.06,41.5,0.22,0.52,13.1,0.0,0.15,0.16,0.16,16.19,21.97,73.7,206.84,42.52,9.79,12.77,76.6,4.32,5.46,79.1,0.59,0.9,65.2,0.16,1.53,0.94,1.06,0.16,20.63,1.26,0.0,0.16,0.08,0.51,0.0,0.0,0.0,0.0,0.0,0.08,0.47,3.54,2.59,0.0,0.28,0.28,0.35,0.04,0.63,0.39,0.0,0.08,0.04,0.12,0.0,0.71,0.39,0.28,0.2,0.24,0.12,0.55,21.4,0.43,0.63,0.12,0.12,0.83,0.59,0.0,32.62,0.83,2.79,13.09,17.25,6.29,32.62,2.08,0.94,45.3,0.86,41.5,17.8,118.89,57.69,1.3,1.41,2.16,1.14,24.05,0.0,1.18,1.41,0.51,0.08,0.0,0.0,2.79,1.77,1.34,57.0,1933,28.0,81.79996239992145,81.79996239992145,5,Dynamic Strike-Runners
Mehdi Taremi,1992-07-18,SerieA,Internazionale,Right,Iran,Forwards,816,0.11,0.22,0.33,0.0,0.11,0.11,0.11,0.0,0.39,0.3,0.18,0.46,1.1,2.76,5.18,1.43,0.55,38.5,0.0,0.0,12.0,0.0,0.21,-0.28,-0.3,20.4,25.48,80.1,269.34,51.95,11.91,13.24,90.0,6.73,8.16,82.4,0.22,0.33,66.7,0.12,1.65,1.32,0.55,0.0,24.49,0.66,0.11,0.44,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.33,0.88,3.64,2.76,0.0,0.11,0.33,0.44,0.0,0.44,0.22,0.0,0.0,0.11,0.11,0.0,0.77,0.11,0.22,0.22,0.33,0.11,0.44,25.0,0.33,1.21,0.22,0.0,0.77,1.21,0.0,35.07,1.21,3.97,15.44,16.32,4.96,34.96,1.21,0.66,54.5,0.33,27.3,20.51,101.47,40.04,0.99,0.66,1.54,0.55,25.37,0.0,0.99,1.43,0.66,0.11,0.0,0.0,3.2,2.1,2.65,44.2,1933,33.0,76.0216524083153,76.0216524083153,5,Dynamic Strike-Runners
Joaquín Correa,1994-08-13,SerieA,Internazionale,Right,Argentina,Forwards,731,0.25,0.25,0.49,0.25,0.0,0.0,0.37,0.0,0.26,0.26,0.25,0.5,2.71,5.17,5.54,1.72,0.74,42.9,0.14,0.33,13.3,0.0,0.15,-0.01,-0.01,38.17,44.45,85.9,586.79,134.08,20.07,22.65,88.6,14.53,15.64,92.9,2.59,2.95,87.5,0.11,1.23,2.95,1.48,0.12,43.46,0.62,0.25,0.62,0.0,0.99,0.25,0.0,0.0,0.0,0.0,0.37,1.72,3.08,2.59,0.0,0.25,0.12,0.12,0.0,0.49,0.37,0.0,0.12,0.0,0.0,0.0,1.35,0.62,0.49,0.86,0.0,0.49,1.6,30.8,1.11,0.37,0.0,0.0,1.35,0.74,0.0,53.93,0.62,4.92,26.59,23.15,4.8,53.93,1.23,0.74,60.0,0.49,40.0,36.32,176.31,83.72,2.09,0.49,1.6,0.62,43.46,0.0,0.99,1.72,0.25,0.0,0.0,0.0,3.82,0.74,2.22,25.0,1933,31.0,75.61307734252593,75.61307734252593,1,Hybrid Line Leaders
Marko Arnautović,1989-04-19,SerieA,Internazionale,Right,Austria,Forwards,549,0.66,0.33,0.98,0.66,0.0,0.0,0.16,0.0,0.54,0.54,0.2,0.72,0.66,2.62,10.0,2.3,0.98,42.9,0.29,0.67,8.7,0.0,0.23,0.11,0.11,18.52,25.9,71.5,239.67,42.13,11.8,14.59,80.9,5.41,7.38,73.3,0.33,0.66,50.0,0.15,1.15,0.98,1.31,0.0,24.26,1.31,0.0,0.33,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.33,0.49,2.46,2.46,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.0,1.15,0.98,0.16,0.49,0.49,0.49,0.82,60.0,0.33,0.49,0.0,0.16,1.31,0.16,0.0,32.46,0.16,0.98,10.49,20.98,6.39,32.46,0.49,0.33,66.7,0.16,33.3,16.23,59.67,19.51,0.49,0.33,2.13,0.49,25.41,0.0,0.66,0.98,1.31,0.0,0.0,0.0,1.64,1.97,1.15,63.2,1933,36.0,71.49132793111852,71.49132793111852,3,Traditional Finishers
Mateo Retegui,1999-04-29,SerieA,Atalanta,Both,Italy,Forwards,2383,0.94,0.3,1.25,0.79,0.15,0.19,0.11,0.0,0.71,0.56,0.19,0.75,0.79,1.74,7.52,3.74,1.21,32.3,0.21,0.66,12.8,0.08,0.15,0.23,0.23,16.62,21.72,76.5,234.54,36.67,9.97,11.86,84.1,5.1,6.34,80.4,0.83,1.28,64.7,0.08,1.44,1.1,0.34,0.04,19.9,1.74,0.0,0.08,0.23,0.57,0.08,0.0,0.0,0.0,0.0,0.08,0.72,2.87,2.34,0.0,0.08,0.3,0.15,0.0,0.53,0.42,0.0,0.0,0.08,0.04,0.0,0.53,0.34,0.0,0.34,0.19,0.11,0.6,18.8,0.49,0.26,0.0,0.15,0.68,0.64,0.0,33.01,0.72,1.13,14.28,17.9,6.53,32.82,1.13,0.45,40.0,0.45,40.0,21.04,84.33,17.83,0.45,0.42,3.63,1.81,26.59,0.0,1.21,1.28,0.23,0.08,0.0,0.0,2.61,1.93,2.57,42.9,1842,26.0,80.25382505502601,80.25382505502601,3,Traditional Finishers
Nicolò Zaniolo,1999-07-02,SerieA,Fiorentina,Left,Italy,Forwards,699,0.26,0.26,0.52,0.26,0.0,0.0,0.77,0.13,0.21,0.21,0.1,0.3,1.93,2.32,6.82,2.58,1.03,40.0,0.1,0.25,17.5,0.13,0.08,0.05,0.05,17.64,22.66,77.8,257.12,54.98,9.91,11.2,88.5,6.05,8.11,74.6,0.9,1.55,58.3,0.1,1.55,1.16,0.77,0.0,21.5,1.03,0.39,0.13,0.13,1.03,0.13,0.13,0.0,0.0,0.0,0.13,0.64,3.22,2.06,0.0,0.26,0.26,0.64,0.0,0.39,0.39,0.0,0.0,0.0,0.0,0.0,0.39,0.13,0.13,0.26,0.0,0.0,0.77,0.0,0.77,0.26,0.13,0.13,0.52,0.26,0.0,36.57,0.26,2.06,15.45,19.83,4.76,36.57,4.25,1.55,36.4,1.93,45.5,28.07,161.59,63.35,1.55,0.77,4.64,3.09,33.86,0.0,2.58,4.12,0.39,0.0,0.0,0.0,2.83,0.9,1.8,33.3,1757,26.0,67.66064970755892,67.66064970755892,2,Creative Withdrawn Forwards
Dušan Vlahović,2000-01-28,SerieA,Juventus,Left,Serbia,Forwards,1784,0.5,0.2,0.71,0.3,0.2,0.2,0.15,0.0,0.62,0.46,0.07,0.53,1.36,1.11,5.9,3.68,1.26,34.2,0.08,0.24,15.9,0.35,0.13,-0.12,-0.16,12.76,18.46,69.1,196.5,21.24,7.26,9.18,79.1,4.14,5.9,70.1,0.96,1.36,70.4,0.05,0.76,0.55,0.35,0.0,16.45,1.77,0.0,0.15,0.2,0.45,0.0,0.0,0.0,0.0,0.0,0.25,0.61,2.07,1.41,0.0,0.3,0.25,0.1,0.0,0.4,0.25,0.0,0.15,0.0,0.0,0.0,0.2,0.1,0.0,0.05,0.15,0.05,0.25,20.0,0.2,0.35,0.15,0.05,0.25,0.45,0.15,28.45,0.71,1.41,12.01,15.29,6.31,28.25,1.41,0.45,32.1,0.91,64.3,15.54,70.53,25.68,0.5,0.86,2.57,1.41,21.74,0.0,1.36,0.91,0.61,0.0,0.0,0.0,1.82,1.97,2.12,48.1,1806,25.0,77.84778867502015,78.18895213380249,5,Dynamic Strike-Runners
Randal Kolo Muani,1998-12-05,SerieA,Juventus,Right,France,Forwards,1160,0.62,0.08,0.7,0.54,0.08,0.08,0.0,0.0,0.36,0.3,0.12,0.43,1.63,1.55,7.76,1.94,1.01,52.0,0.28,0.54,13.2,0.0,0.16,0.26,0.24,11.72,16.76,69.9,148.19,26.92,6.67,8.61,77.5,3.49,4.89,71.4,0.16,0.39,40.0,0.06,1.32,0.62,0.7,0.0,14.9,1.78,0.0,0.16,0.08,0.62,0.08,0.0,0.0,0.0,0.0,0.08,0.54,2.09,1.55,0.0,0.47,0.0,0.08,0.0,0.23,0.08,0.0,0.16,0.0,0.0,0.0,0.85,0.54,0.23,0.39,0.23,0.31,0.39,80.0,0.08,0.62,0.0,0.31,1.16,0.16,0.0,28.24,0.23,2.09,11.41,14.97,5.51,28.16,3.41,1.4,40.9,1.86,54.5,16.53,88.06,36.31,0.78,1.09,3.18,1.78,20.87,0.0,2.09,1.55,0.47,0.0,0.0,0.0,2.56,0.78,2.09,27.0,1806,27.0,77.70581005043918,77.70581005043918,5,Dynamic Strike-Runners
