Player,Birthdate,League,Club,Footed,Nationality,Position,Minutes,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shots Total,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),xA: Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Offside,Passes Blocked,Shot-Creating Actions,SCA (Live-ball Pass),SCA (Dead-ball Pass),SCA (Take-On),SCA (Shot),SCA (Fouls Drawn),SCA (Defensive Action),Goal-Creating Actions,GCA (Live-ball Pass),GCA (Dead-ball Pass),GCA (Take-On),GCA (Shot),GCA (Fouls Drawn),GCA (Defensive Action),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Interceptions,Tkl+Int,Clearances,Errors,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Take-Ons Attempted,Successful Take-Ons,Successful Take-On %,Times Tackled During Take-On,Tackled During Take-On Percentage,Carries,Total Carrying Distance,Progressive Carrying Distance,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Elo,Age,Rating,Potential,Cluster,Cluster Name
Scott McTominay,1996-12-08,SerieA,Napoli,Right,Scotland,Midfielders,2938,0.37,0.12,0.49,0.37,0.0,0.0,0.09,0.0,0.23,0.23,0.08,0.31,1.72,3.43,4.01,2.33,1.01,43.4,0.16,0.36,15.3,0.06,0.1,0.14,0.14,23.8,28.31,84.1,386.74,89.75,11.82,13.33,88.7,9.16,10.51,87.2,1.9,2.63,72.1,0.05,0.8,2.21,0.67,0.03,27.85,0.4,0.21,0.28,0.25,0.34,0.12,0.0,0.0,0.0,0.0,0.06,0.61,2.11,1.38,0.0,0.09,0.43,0.15,0.06,0.31,0.18,0.0,0.03,0.06,0.03,0.0,1.32,0.77,0.37,0.83,0.12,0.55,1.1,50.0,0.55,0.67,0.15,0.74,2.05,1.56,0.0,40.25,1.59,7.23,21.99,11.76,3.25,40.25,2.7,1.19,44.3,1.07,39.8,22.24,125.84,61.05,1.23,0.46,2.08,1.47,28.92,0.0,1.38,1.84,0.15,0.03,0.0,0.0,4.38,2.02,1.53,56.9,1838,29.0,78.29447373438254,78.29447373438254,4,All-Round Carriers
Andre-Frank Zambo Anguissa,1995-11-16,SerieA,Napoli,Right,Cameroon,Midfielders,2852,0.19,0.13,0.32,0.19,0.0,0.0,0.16,0.0,0.14,0.14,0.08,0.21,0.76,4.54,3.76,1.39,0.38,27.3,0.14,0.5,16.7,0.0,0.1,0.05,0.05,40.23,47.62,84.5,608.7,156.52,22.28,24.99,89.1,14.74,16.79,87.8,2.08,2.93,71.0,0.08,0.82,4.04,0.66,0.06,46.7,0.92,0.57,0.03,0.19,0.73,0.35,0.0,0.0,0.0,0.0,0.0,0.79,2.37,1.93,0.0,0.16,0.13,0.03,0.13,0.28,0.19,0.0,0.06,0.0,0.03,0.0,1.33,0.82,0.25,0.88,0.19,0.47,1.07,44.1,0.6,0.76,0.19,1.1,2.43,1.26,0.03,57.59,1.86,10.1,33.54,14.55,2.3,57.59,1.48,0.79,53.2,0.57,38.3,28.87,128.69,47.02,0.82,0.25,1.51,1.1,41.81,0.0,1.23,1.14,0.06,0.03,0.03,0.0,4.73,2.11,1.58,57.3,1838,30.0,78.26974388893217,78.26974388893217,6,Hybrid Workhorses
Billy Gilmour,2001-06-11,SerieA,Napoli,Right,Scotland,Midfielders,1177,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.14,0.18,0.84,5.12,1.38,0.69,0.08,11.1,0.0,0.0,22.3,0.0,0.06,-0.04,-0.04,61.48,69.43,88.5,1083.98,289.35,25.39,27.99,90.7,29.29,31.58,92.7,5.43,7.72,70.3,0.15,1.61,4.97,0.92,0.15,67.14,2.29,1.38,0.23,0.23,1.38,0.15,0.76,0.54,0.23,0.0,0.0,0.38,3.06,2.22,0.46,0.08,0.15,0.15,0.0,0.31,0.31,0.0,0.0,0.0,0.0,0.0,1.84,1.22,0.76,0.69,0.38,0.92,1.53,60.0,0.61,0.46,0.08,0.69,2.52,1.76,0.0,76.92,3.29,20.11,44.89,12.01,0.38,76.92,0.76,0.38,50.0,0.31,40.0,41.29,166.85,75.78,0.92,0.0,0.84,0.38,59.8,0.0,1.07,1.22,0.0,0.0,0.0,0.0,4.89,0.69,0.76,47.4,1838,24.0,77.65163297318014,79.57986312529704,2,Vertical Connectors
Henrikh Mkhitaryan,1989-01-21,SerieA,Internazionale,Right,Armenia,Midfielders,2396,0.04,0.15,0.19,0.04,0.0,0.0,0.15,0.0,0.06,0.06,0.1,0.16,2.7,7.48,3.49,0.86,0.08,8.7,0.04,0.5,21.0,0.0,0.07,-0.02,-0.02,49.81,57.02,87.4,807.97,206.56,25.02,27.27,91.7,20.32,22.88,88.8,3.38,4.17,81.1,0.15,1.09,5.86,1.99,0.19,56.08,0.71,0.41,0.19,0.41,0.9,0.11,0.19,0.04,0.08,0.0,0.23,0.98,3.79,3.61,0.08,0.08,0.0,0.04,0.0,0.45,0.41,0.0,0.0,0.0,0.04,0.0,1.62,0.9,0.64,0.6,0.38,0.75,1.69,44.4,0.94,1.09,0.19,0.64,2.25,1.54,0.0,65.62,1.69,9.73,35.83,20.32,1.65,65.62,0.98,0.26,26.9,0.71,73.1,38.91,200.13,105.14,2.1,0.49,1.01,0.56,48.87,0.0,1.24,0.9,0.19,0.0,0.0,0.0,4.92,0.86,0.49,63.9,1933,36.0,80.90653963149309,80.90653963149309,2,Vertical Connectors
Nicolò Barella,1997-02-07,SerieA,Internazionale,Right,Italy,Midfielders,2493,0.11,0.22,0.32,0.11,0.0,0.0,0.14,0.0,0.08,0.08,0.16,0.24,2.27,8.48,4.8,1.55,0.32,20.9,0.07,0.33,24.8,0.04,0.05,0.03,0.03,53.57,65.27,82.1,946.97,279.6,24.3,27.36,88.8,22.92,26.53,86.4,5.42,8.45,64.1,0.18,1.99,6.21,1.95,0.43,62.89,1.73,1.12,0.65,0.83,2.45,0.25,0.36,0.04,0.29,0.0,0.65,1.01,4.04,3.21,0.25,0.18,0.18,0.14,0.07,0.54,0.51,0.0,0.04,0.0,0.0,0.0,1.81,1.12,0.69,0.72,0.4,0.94,2.13,44.1,1.19,0.94,0.11,0.43,2.24,0.58,0.04,74.51,1.55,11.99,40.47,22.89,1.52,74.51,2.06,0.83,40.4,0.97,47.4,50.29,247.87,114.01,1.7,0.29,1.05,1.52,58.19,0.0,0.9,1.19,0.14,0.0,0.0,0.0,5.96,0.94,0.9,51.0,1933,28.0,82.22703749829112,82.22703749829112,1,Tempo Dictators
Hakan Çalhanoğlu,1994-02-08,SerieA,Internazionale,Right,Turkey,Midfielders,1947,0.23,0.28,0.51,0.09,0.14,0.18,0.23,0.0,0.2,0.06,0.26,0.32,2.4,8.0,2.36,1.94,0.55,28.6,0.05,0.17,27.2,0.28,0.03,0.03,0.03,67.67,78.12,86.6,1268.27,384.87,27.37,29.63,92.4,30.6,33.61,91.1,8.41,12.43,67.7,0.26,2.27,6.66,1.29,0.51,70.82,7.16,2.87,0.32,0.79,5.64,0.18,4.07,1.39,2.17,0.05,0.14,0.55,4.58,2.68,1.53,0.05,0.23,0.0,0.09,0.65,0.32,0.28,0.0,0.05,0.0,0.0,1.99,1.06,0.32,1.06,0.6,0.97,1.66,58.3,0.69,0.79,0.37,0.83,2.82,1.11,0.0,86.95,2.08,17.57,46.69,23.11,1.06,86.76,0.32,0.14,42.9,0.18,57.1,53.16,276.61,143.57,2.45,0.28,0.97,0.42,62.54,0.0,1.02,0.6,0.0,0.0,0.05,0.0,5.08,0.74,0.83,47.1,1933,31.0,82.94936152479245,82.94936152479245,1,Tempo Dictators
Kristjan Asllani,2002-03-09,SerieA,Internazionale,Right,Albania,Midfielders,988,0.18,0.18,0.36,0.0,0.18,0.18,0.36,0.0,0.23,0.08,0.17,0.26,0.64,5.01,1.82,1.28,0.27,21.4,0.0,0.0,25.0,0.18,0.06,-0.05,-0.08,79.07,88.63,89.2,1481.99,414.84,30.79,32.06,96.0,37.53,40.17,93.4,9.66,14.21,67.9,0.17,1.37,6.74,1.64,0.73,83.17,5.19,2.37,0.55,0.73,3.92,0.09,2.64,0.64,1.37,0.0,0.27,0.27,2.82,2.1,0.55,0.0,0.09,0.09,0.0,0.27,0.18,0.09,0.0,0.0,0.0,0.0,1.28,0.27,0.73,0.36,0.18,0.73,2.0,36.4,1.28,0.73,0.09,0.82,2.1,1.18,0.09,96.65,2.28,23.5,58.12,15.21,0.82,96.47,0.55,0.09,16.7,0.36,66.7,63.77,283.48,112.14,1.28,0.09,0.46,0.18,78.25,0.0,0.82,1.73,0.0,0.0,0.0,0.0,4.46,0.36,0.27,57.1,1933,23.0,80.12732320776273,84.4740744305174,1,Tempo Dictators
Davide Frattesi,1999-10-22,SerieA,Internazionale,Right,Italy,Midfielders,1225,0.37,0.07,0.44,0.37,0.0,0.0,0.07,0.0,0.29,0.29,0.06,0.35,1.69,2.28,3.67,2.06,0.51,25.0,0.18,0.71,13.0,0.0,0.14,0.07,0.07,21.82,26.45,82.5,316.21,64.65,12.78,14.18,90.2,7.71,9.18,84.0,0.96,1.18,81.3,0.06,0.51,1.47,0.37,0.07,25.27,1.03,0.73,0.37,0.0,0.59,0.29,0.0,0.0,0.0,0.0,0.15,0.73,1.4,0.96,0.0,0.15,0.15,0.15,0.0,0.15,0.07,0.0,0.0,0.0,0.07,0.0,1.25,0.59,0.44,0.73,0.07,0.73,1.32,55.6,0.59,0.88,0.29,0.37,1.62,1.03,0.07,36.66,1.47,7.05,19.18,11.17,3.23,36.66,1.32,0.51,38.9,0.51,38.9,21.75,121.22,63.04,1.1,0.51,1.47,0.29,25.35,0.0,0.81,2.35,0.15,0.07,0.0,0.0,3.53,0.73,0.96,43.5,1933,26.0,77.34532577618319,77.6387752177113,4,All-Round Carriers
Piotr Zieliński,1994-05-20,SerieA,Internazionale,Right,Poland,Midfielders,980,0.18,0.18,0.37,0.0,0.18,0.18,0.0,0.0,0.24,0.1,0.08,0.18,2.39,5.97,2.2,1.38,0.37,26.7,0.0,0.0,21.7,0.0,0.07,-0.06,-0.1,58.41,65.3,89.5,904.41,283.87,31.41,32.51,96.6,22.87,25.26,90.5,3.12,5.42,57.6,0.09,1.29,7.07,0.55,0.0,61.62,3.49,1.84,0.18,0.37,2.57,0.09,1.47,0.64,0.64,0.0,0.18,0.55,3.67,2.57,0.73,0.09,0.18,0.0,0.09,0.64,0.55,0.0,0.0,0.0,0.0,0.09,1.29,0.92,0.55,0.64,0.09,0.55,1.19,46.2,0.64,0.92,0.46,0.55,1.84,1.19,0.09,73.74,2.48,12.77,45.73,16.26,1.29,73.56,1.65,0.55,33.3,0.83,50.0,46.84,281.02,145.29,2.48,0.09,0.73,0.55,54.0,0.0,0.83,1.47,0.0,0.0,0.0,0.0,5.33,0.83,0.28,75.0,1933,31.0,81.28841728160496,81.28841728160496,2,Vertical Connectors
Marten de Roon,1991-03-29,SerieA,Atalanta,Right,Netherlands,Midfielders,3058,0.12,0.12,0.24,0.12,0.0,0.0,0.15,0.0,0.03,0.03,0.07,0.09,1.09,7.12,0.94,0.41,0.12,28.6,0.29,1.0,22.7,0.0,0.06,0.09,0.09,57.39,66.46,86.4,1066.34,324.27,21.19,23.52,90.1,29.78,32.93,90.4,5.39,8.06,66.8,0.09,0.74,6.95,0.79,0.09,62.89,3.53,2.77,0.03,0.5,0.82,0.74,0.0,0.0,0.0,0.0,0.03,0.5,2.15,1.74,0.29,0.03,0.0,0.03,0.06,0.41,0.35,0.06,0.0,0.0,0.0,0.0,2.18,1.41,0.94,1.12,0.12,0.88,1.94,45.5,1.06,1.18,0.21,1.38,3.56,1.97,0.03,74.7,2.62,18.1,43.53,13.63,0.56,74.7,0.38,0.18,46.2,0.18,46.2,43.41,194.33,105.33,1.5,0.03,0.71,0.26,51.62,0.0,1.41,0.65,0.03,0.0,0.0,0.0,4.12,1.35,0.85,61.3,1842,34.0,80.00980335624882,80.00980335624882,2,Vertical Connectors
