Player,Birthdate,League,Club,Footed,Nationality,Position,Minutes,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shots Total,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),xA: Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Offside,Passes Blocked,Shot-Creating Actions,SCA (Live-ball Pass),SCA (Dead-ball Pass),SCA (Take-On),SCA (Shot),SCA (Fouls Drawn),SCA (Defensive Action),Goal-Creating Actions,GCA (Live-ball Pass),GCA (Dead-ball Pass),GCA (Take-On),GCA (Shot),GCA (Fouls Drawn),GCA (Defensive Action),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Interceptions,Tkl+Int,Clearances,Errors,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Take-Ons Attempted,Successful Take-Ons,Successful Take-On %,Times Tackled During Take-On,Tackled During Take-On Percentage,Carries,Total Carrying Distance,Progressive Carrying Distance,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Elo,Age,Rating,Potential
Amir Rrahmani,1994-02-24,SerieA,Napoli,Right,Kosovo,Center Backs,3406,0.03,0.08,0.11,0.03,0.0,0.0,0.05,0.0,0.08,0.08,0.03,0.11,0.79,4.97,0.05,0.74,0.08,10.7,0.04,0.33,9.2,0.0,0.1,-0.05,-0.05,66.88,73.49,91.0,1318.63,454.78,22.83,24.07,94.8,35.65,37.28,95.6,7.74,10.75,72.0,0.02,0.29,5.34,0.24,0.0,69.65,3.81,2.67,0.05,0.4,0.03,0.26,0.0,0.0,0.0,0.0,0.03,0.29,1.11,0.92,0.05,0.0,0.13,0.0,0.0,0.11,0.05,0.03,0.0,0.03,0.0,0.0,1.03,0.82,0.5,0.5,0.03,0.42,0.66,64.0,0.24,1.14,0.69,0.71,1.74,4.73,0.05,83.29,7.08,35.8,44.58,3.12,0.9,83.29,0.16,0.11,66.7,0.05,33.3,49.12,235.81,133.49,0.5,0.0,0.24,0.16,59.56,0.0,1.11,0.42,0.0,0.0,0.0,0.03,3.57,3.28,1.45,69.3,1838,31.0,81.05051046304932,81.05051046304932
Alessandro Buongiorno,1999-06-06,SerieA,Napoli,Left,Italy,Center Backs,1924,0.05,0.0,0.05,0.05,0.0,0.0,0.09,0.0,0.04,0.04,0.03,0.07,1.26,3.84,0.37,0.37,0.19,50.0,0.13,0.25,11.0,0.0,0.1,0.01,0.01,54.31,59.83,90.8,952.81,297.65,21.24,22.78,93.2,29.66,30.97,95.8,2.9,4.86,59.6,0.03,0.23,3.13,0.14,0.0,57.21,2.48,1.82,0.0,0.09,0.05,0.14,0.0,0.0,0.0,0.0,0.14,0.37,0.89,0.84,0.0,0.0,0.05,0.0,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.0,1.82,1.08,1.22,0.56,0.05,1.12,1.5,75.0,0.37,1.4,0.84,1.64,3.46,3.41,0.09,69.65,5.85,30.64,36.86,2.57,0.7,69.65,0.33,0.05,14.3,0.14,42.9,42.19,212.79,128.22,0.33,0.05,0.61,0.37,49.54,0.0,0.8,0.98,0.05,0.0,0.0,0.0,3.93,2.01,0.98,67.2,1838,26.0,77.80927684762932,77.80927684762932
Alessandro Bastoni,1999-04-13,SerieA,Internazionale,Left,Italy,Center Backs,2401,0.04,0.19,0.22,0.04,0.0,0.0,0.22,0.04,0.03,0.03,0.09,0.12,2.32,6.07,3.11,0.49,0.08,15.4,0.08,0.5,13.3,0.0,0.06,0.01,0.01,73.69,83.4,88.4,1367.92,422.64,31.19,32.69,95.4,33.06,35.65,92.7,8.47,12.67,66.9,0.11,1.01,4.8,1.84,0.9,74.59,8.36,2.77,0.11,0.82,2.4,4.31,0.0,0.0,0.0,0.0,0.45,0.67,2.66,2.29,0.15,0.0,0.04,0.11,0.08,0.41,0.34,0.04,0.0,0.0,0.04,0.0,1.72,0.9,0.97,0.52,0.22,0.75,1.12,66.7,0.37,0.94,0.49,0.82,2.55,1.95,0.04,91.69,7.35,30.89,44.27,17.02,1.05,91.69,0.6,0.26,43.8,0.19,31.3,61.21,310.75,187.23,2.7,0.19,0.97,0.19,68.03,0.04,1.65,1.46,0.04,0.0,0.0,0.0,3.6,1.65,0.9,64.7,1933,26.0,81.8832779482345,82.19394445514058
Francesco Acerbi,1988-02-10,SerieA,Internazionale,Left,Italy,Center Backs,1710,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.03,0.05,1.0,3.26,1.16,0.26,0.05,20.0,0.0,0.0,11.5,0.0,0.08,-0.02,-0.02,63.16,68.26,92.5,1172.63,324.11,21.37,22.84,93.5,36.68,38.26,95.9,4.37,5.58,78.3,0.07,0.47,3.11,0.42,0.26,66.11,2.05,1.26,0.0,0.11,0.53,0.42,0.0,0.0,0.0,0.0,0.11,0.26,1.05,1.05,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,1.21,1.0,0.84,0.37,0.0,0.58,0.89,64.7,0.32,1.16,0.84,1.37,2.58,4.26,0.0,78.11,7.32,34.11,38.58,5.68,1.05,78.11,0.21,0.16,75.0,0.05,25.0,48.16,219.84,112.0,1.05,0.05,0.37,0.11,57.95,0.0,0.58,0.95,0.11,0.0,0.0,0.0,3.26,3.21,1.58,67.0,1933,37.0,79.86199903743238,79.86199903743238
Stefan de Vrij,1992-02-05,SerieA,Internazionale,Right,Netherlands,Center Backs,1726,0.16,0.0,0.16,0.16,0.0,0.0,0.1,0.0,0.06,0.06,0.0,0.06,0.57,3.96,0.26,0.68,0.16,23.1,0.23,1.0,10.6,0.0,0.08,0.1,0.1,68.26,73.16,93.3,1252.91,405.26,21.9,23.1,94.8,42.13,44.06,95.6,3.7,5.06,73.2,0.02,0.05,3.34,0.05,0.0,71.54,1.62,1.36,0.1,0.16,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.21,0.73,0.47,0.0,0.0,0.26,0.0,0.0,0.16,0.1,0.0,0.0,0.05,0.0,0.0,0.94,0.63,0.63,0.26,0.05,0.47,0.63,75.0,0.16,0.99,0.57,1.2,2.14,4.64,0.0,84.11,7.87,36.14,46.15,2.14,0.99,84.11,0.42,0.16,37.5,0.26,62.5,51.52,285.43,152.89,0.37,0.0,0.21,0.05,60.59,0.0,0.47,0.26,0.0,0.0,0.0,0.0,3.44,3.39,1.98,63.1,1933,33.0,80.17520325295062,80.17520325295062
Benjamin Pavard,1996-03-28,SerieA,Internazionale,Right,France,Center Backs,1584,0.0,0.06,0.06,0.0,0.0,0.0,0.23,0.0,0.03,0.03,0.05,0.07,0.74,5.23,1.48,0.45,0.06,12.5,0.0,0.0,12.7,0.0,0.07,-0.03,-0.03,59.66,65.34,91.3,1090.23,316.65,22.9,24.2,94.6,30.51,32.39,94.2,5.4,6.99,77.2,0.06,0.45,4.77,0.45,0.11,63.01,2.22,1.19,0.0,0.23,0.63,1.02,0.0,0.0,0.0,0.0,0.11,0.4,1.19,1.08,0.0,0.0,0.06,0.06,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,1.65,0.91,0.68,0.68,0.28,1.02,1.42,72.0,0.4,0.91,0.68,0.91,2.56,2.95,0.0,73.35,6.36,27.22,37.33,9.2,1.99,73.35,0.11,0.0,0.0,0.06,50.0,48.58,278.58,121.19,1.14,0.06,0.28,0.06,56.59,0.0,1.02,0.51,0.11,0.0,0.0,0.0,2.61,2.27,1.82,55.6,1933,29.0,80.58874962814116,80.58874962814116
Yann Aurel Bisseck,2000-11-29,SerieA,Internazionale,Right,Germany,Center Backs,1643,0.16,0.11,0.27,0.16,0.0,0.0,0.22,0.0,0.14,0.14,0.05,0.19,1.75,5.09,2.41,1.15,0.27,23.8,0.14,0.6,11.2,0.0,0.12,0.02,0.02,64.58,70.33,91.8,1083.83,291.86,26.57,27.88,95.3,34.07,36.1,94.4,2.63,3.89,67.6,0.07,0.38,4.22,0.38,0.05,67.98,2.36,1.1,0.11,0.05,0.44,1.1,0.0,0.0,0.0,0.0,0.0,0.88,1.1,0.88,0.0,0.0,0.11,0.05,0.05,0.22,0.22,0.0,0.0,0.0,0.0,0.0,0.93,0.66,0.6,0.22,0.11,0.6,0.88,68.8,0.27,1.26,0.66,0.93,1.86,3.51,0.05,80.25,6.68,27.88,42.62,9.91,2.36,80.25,0.82,0.16,20.0,0.55,66.7,54.67,315.47,147.19,1.48,0.16,0.88,0.38,62.23,0.0,0.88,0.49,0.05,0.0,0.11,0.0,3.62,2.57,0.82,75.8,1933,25.0,81.23891151961625,82.83655594800263
Carlos Augusto,1999-01-07,SerieA,Internazionale,Left,Brazil,Center Backs,1691,0.16,0.11,0.27,0.16,0.0,0.0,0.05,0.0,0.15,0.15,0.09,0.23,1.65,4.26,4.42,1.28,0.32,25.0,0.13,0.5,11.1,0.0,0.12,0.01,0.01,57.64,65.3,88.3,935.77,240.78,29.17,31.4,92.9,24.32,26.4,92.1,3.3,5.16,63.9,0.08,0.48,3.25,0.64,0.16,59.4,5.8,1.17,0.11,0.11,1.06,4.42,0.0,0.0,0.0,0.0,0.11,1.01,1.28,0.96,0.05,0.0,0.05,0.11,0.11,0.16,0.11,0.0,0.0,0.05,0.0,0.0,1.54,0.75,0.64,0.59,0.32,0.64,1.01,63.2,0.37,1.12,0.48,0.48,2.02,2.66,0.0,75.2,4.68,24.8,36.09,14.9,2.29,75.2,0.64,0.37,58.3,0.27,41.7,44.55,222.95,104.32,1.38,0.21,0.96,0.69,53.06,0.0,0.53,0.64,0.16,0.0,0.0,0.0,3.73,3.03,1.86,62.0,1933,26.0,80.52491992434464,80.83043279850686
Berat Djimsiti,1993-02-19,SerieA,Atalanta,Right,Albania,Center Backs,2640,0.03,0.07,0.1,0.03,0.0,0.0,0.2,0.0,0.09,0.09,0.04,0.13,1.09,3.72,1.43,0.68,0.14,20.0,0.05,0.25,9.7,0.0,0.13,-0.06,-0.06,50.56,57.65,87.7,890.9,250.7,20.01,21.75,92.0,25.81,28.26,91.3,3.68,5.35,68.8,0.02,0.38,2.86,0.41,0.1,55.02,2.56,2.05,0.03,0.2,0.38,0.51,0.0,0.0,0.0,0.0,0.07,0.51,1.02,0.78,0.0,0.0,0.24,0.0,0.0,0.24,0.17,0.0,0.0,0.07,0.0,0.0,1.81,1.13,0.99,0.78,0.03,0.99,1.36,72.5,0.38,1.16,0.72,1.36,3.17,4.81,0.07,68.97,4.88,28.77,32.76,7.64,1.53,68.97,0.14,0.03,25.0,0.03,25.0,37.4,204.82,110.28,1.16,0.07,0.34,0.03,45.1,0.0,0.78,0.72,0.0,0.0,0.03,0.03,3.48,3.07,1.98,60.8,1842,32.0,79.03770629649686,79.03770629649686
Sead Kolašinac,1993-06-20,SerieA,Atalanta,Left,Bosnia and Herzegovina,Center Backs,1903,0.0,0.09,0.09,0.0,0.0,0.0,0.33,0.0,0.04,0.04,0.09,0.12,2.46,6.72,2.22,0.47,0.09,20.0,0.0,0.0,13.2,0.0,0.08,-0.04,-0.04,52.73,60.3,87.5,814.68,285.51,28.33,30.32,93.4,21.19,23.98,88.4,2.18,3.64,59.7,0.07,0.8,4.97,0.57,0.09,58.5,1.66,0.71,0.0,0.05,0.47,0.95,0.0,0.0,0.0,0.0,0.14,0.8,1.75,1.56,0.0,0.0,0.14,0.05,0.0,0.19,0.14,0.0,0.0,0.05,0.0,0.0,1.94,1.23,0.99,0.95,0.0,0.76,1.42,53.3,0.66,0.76,0.33,1.18,3.12,2.51,0.05,68.95,3.36,22.84,35.99,10.88,1.28,68.95,0.71,0.14,20.0,0.57,80.0,41.52,199.11,132.99,2.46,0.09,0.8,0.76,47.34,0.0,1.8,0.95,0.14,0.0,0.0,0.05,6.38,1.61,1.23,56.7,1842,32.0,79.51792720204556,79.51792720204556
