Player,Birthdate,Club,Footed,Nationality,Position,Minutes,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shots Total,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),xA: Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Offside,Passes Blocked,Shot-Creating Actions,SCA (Live-ball Pass),SCA (Dead-ball Pass),SCA (Take-On),SCA (Shot),SCA (Fouls Drawn),SCA (Defensive Action),Goal-Creating Actions,GCA (Live-ball Pass),GCA (Dead-ball Pass),GCA (Take-On),GCA (Shot),GCA (Fouls Drawn),GCA (Defensive Action),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Interceptions,Tkl+Int,Clearances,Errors,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Take-Ons Attempted,Successful Take-Ons,Successful Take-On %,Times Tackled During Take-On,Tackled During Take-On Percentage,Carries,Total Carrying Distance,Progressive Carrying Distance,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won
Jarne Steuckers,2002-02-04,Genk,Left,Belgium,Att Mid / Wingers,2538,0.28,0.21,0.5,0.11,0.18,0.21,0.04,0.0,0.29,0.12,0.41,0.53,2.87,8.76,10.67,1.38,0.5,35.9,0.08,0.21,20.7,0.07,0.09,-0.01,-0.01,46.84,63.26,74.0,950.57,326.13,18.26,21.81,83.7,18.48,24.15,76.5,8.83,14.61,60.4,0.46,3.23,5.99,3.62,0.71,56.21,6.84,2.34,0.78,1.6,6.7,1.21,3.01,1.6,0.78,0.0,0.21,1.52,5.89,4.26,1.03,0.21,0.32,0.07,0.0,0.5,0.43,0.04,0.0,0.0,0.04,0.0,0.71,0.39,0.35,0.28,0.07,0.28,0.92,30.8,0.64,0.35,0.04,0.35,1.06,0.39,0.0,70.25,0.57,6.88,35.92,28.16,2.52,70.07,2.16,1.1,50.8,1.03,47.5,54.18,371.77,140.74,3.33,0.53,1.67,1.1,52.98,0.0,0.32,0.57,0.18,0.0,0.0,0.0,4.01,0.14,0.78,15.4
Matte Smets,2004-01-04,Genk,,Belgium,Center Backs,2483,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.04,0.03,0.03,0.01,0.03,0.44,4.02,0.07,0.22,0.04,16.7,0.0,0.0,14.9,0.0,0.11,-0.03,-0.03,76.37,82.28,92.8,1715.29,523.15,15.62,17.04,91.7,46.25,47.92,96.5,13.81,16.09,85.8,0.03,0.22,3.95,0.18,0.07,79.05,3.08,1.41,0.04,0.51,0.18,0.07,0.0,0.0,0.0,0.0,0.15,0.36,1.12,0.98,0.04,0.0,0.07,0.0,0.04,0.15,0.15,0.0,0.0,0.0,0.0,0.0,1.59,0.94,1.05,0.51,0.04,0.83,1.23,67.6,0.4,1.49,0.91,1.81,3.41,4.42,0.07,92.61,10.08,43.68,48.1,1.3,0.29,92.61,0.33,0.18,55.6,0.15,44.4,72.02,383.34,203.6,0.65,0.07,0.33,0.15,67.96,0.0,0.47,0.54,0.07,0.0,0.0,0.0,4.49,1.45,1.38,51.3
Tolu Arokodare,2000-11-23,Genk,Right,Nigeria,Forwards,2314,0.66,0.19,0.86,0.66,0.0,0.04,0.08,0.0,0.88,0.85,0.12,0.97,0.97,1.21,6.73,4.9,1.56,31.7,0.13,0.43,11.9,0.04,0.18,-0.22,-0.19,13.46,17.97,74.9,188.32,23.06,7.97,10.42,76.5,3.54,4.47,79.1,0.74,0.93,79.2,0.08,1.13,0.89,0.39,0.0,17.77,0.12,0.0,0.04,0.12,0.12,0.04,0.0,0.0,0.0,0.0,0.08,0.39,2.99,1.98,0.0,0.23,0.54,0.23,0.0,0.35,0.19,0.0,0.0,0.12,0.04,0.0,0.62,0.31,0.12,0.27,0.23,0.19,0.54,35.7,0.35,0.35,0.08,0.16,0.78,1.36,0.04,31.35,1.48,2.1,13.22,16.41,8.44,31.31,1.63,0.7,42.9,0.86,52.4,21.62,118.59,34.58,0.7,0.74,3.27,1.28,24.7,0.0,1.05,1.21,0.54,0.12,0.0,0.0,1.94,4.01,2.33,63.2
Joris Kayembe,1994-08-08,Genk,Left,Congo DR,Fullbacks,2446,0.04,0.04,0.07,0.04,0.0,0.0,0.07,0.0,0.02,0.02,0.08,0.11,2.54,5.67,5.96,0.44,0.07,16.7,0.08,0.5,19.7,0.0,0.05,0.01,0.01,62.4,72.85,85.7,1037.87,343.18,28.81,31.39,91.8,27.78,31.35,88.6,4.23,6.99,60.5,0.11,1.07,4.23,1.07,0.48,64.1,8.57,0.96,0.15,0.22,2.13,7.62,0.0,0.0,0.0,0.0,0.18,1.25,2.69,2.39,0.07,0.15,0.0,0.07,0.0,0.22,0.22,0.0,0.0,0.0,0.0,0.0,1.88,1.29,1.29,0.44,0.15,0.88,1.36,64.9,0.48,0.96,0.26,1.55,3.42,2.5,0.04,82.86,3.83,22.92,43.2,17.85,0.88,82.86,1.55,0.88,57.1,0.63,40.5,59.61,355.73,189.6,2.69,0.11,1.1,0.96,55.82,0.0,0.92,0.59,0.07,0.0,0.0,0.0,6.29,1.14,0.81,58.5
Mujaid Sadick,2000-03-14,Genk,Right,Spain,Center Backs,2406,0.04,0.0,0.04,0.04,0.0,0.0,0.19,0.04,0.04,0.04,0.0,0.04,0.67,5.31,0.11,0.37,0.11,30.0,0.1,0.33,8.1,0.0,0.11,0.0,0.0,69.99,74.4,94.1,1295.69,416.56,22.44,23.27,96.5,41.82,43.39,96.4,4.53,5.84,77.6,0.01,0.04,4.6,0.0,0.0,71.56,2.77,1.53,0.0,0.22,0.0,0.34,0.0,0.0,0.0,0.0,0.07,0.45,0.67,0.52,0.0,0.0,0.07,0.0,0.07,0.11,0.11,0.0,0.0,0.0,0.0,0.0,2.09,1.35,1.12,0.86,0.11,0.94,1.2,78.1,0.26,1.42,1.05,0.79,2.88,3.97,0.04,84.31,9.46,37.0,46.65,1.12,0.56,84.31,0.37,0.19,50.0,0.15,40.0,66.62,361.95,181.16,0.15,0.0,0.52,0.37,62.66,0.0,0.9,0.49,0.0,0.0,0.04,0.0,4.83,0.94,1.16,44.6
Bryan Heynen,1997-02-06,Genk,Right,Belgium,Midfielders,2351,0.0,0.08,0.08,0.0,0.0,0.0,0.11,0.0,0.07,0.07,0.11,0.18,1.26,9.88,1.72,1.0,0.23,23.1,0.0,0.0,18.8,0.0,0.07,-0.07,-0.07,59.64,68.41,87.2,1088.88,347.64,22.51,25.65,87.8,29.97,32.62,91.9,5.67,7.73,73.3,0.15,1.11,8.12,1.3,0.08,65.96,2.3,1.61,0.34,0.46,0.57,0.5,0.11,0.04,0.0,0.0,0.15,0.61,2.79,2.56,0.04,0.04,0.04,0.0,0.11,0.27,0.27,0.0,0.0,0.0,0.0,0.0,2.07,1.23,0.8,1.07,0.19,0.8,1.61,50.0,0.8,1.57,0.42,1.49,3.56,3.14,0.08,80.35,3.9,16.04,52.41,12.59,1.11,80.35,1.49,0.88,59.0,0.5,33.3,59.72,319.8,132.99,2.11,0.04,1.15,0.65,57.19,0.0,0.73,1.0,0.04,0.0,0.0,0.0,4.98,1.65,1.03,61.4
Zakaria El Ouahdi,2001-12-31,Genk,,Morocco,Fullbacks,2308,0.12,0.04,0.16,0.12,0.0,0.0,0.2,0.0,0.13,0.13,0.12,0.25,1.83,4.52,5.26,1.72,0.66,38.6,0.07,0.18,18.2,0.04,0.07,-0.01,-0.01,41.22,50.46,81.7,669.15,230.3,20.16,23.12,87.2,16.3,19.26,84.6,3.16,5.38,58.7,0.12,1.01,2.89,1.29,0.43,41.92,8.31,0.55,0.04,0.16,2.03,7.76,0.0,0.0,0.0,0.0,0.23,0.9,2.3,1.87,0.04,0.2,0.08,0.04,0.08,0.16,0.12,0.0,0.04,0.0,0.0,0.0,2.18,1.33,1.33,0.55,0.31,1.21,2.69,44.9,1.48,1.83,0.55,1.09,3.28,2.85,0.0,63.8,3.94,20.98,26.91,16.57,2.61,63.8,2.22,0.9,40.4,0.97,43.9,40.05,248.67,106.92,1.6,0.27,1.36,1.13,37.51,0.0,0.94,0.9,0.12,0.0,0.0,0.0,4.33,0.7,1.05,40.0
Christopher Bonsu-Baah,2004-12-14,Genk,,Ghana,Att Mid / Wingers,1816,0.15,0.15,0.3,0.15,0.0,0.0,0.05,0.0,0.15,0.15,0.24,0.39,4.06,4.91,11.84,2.03,0.5,24.4,0.07,0.3,17.1,0.0,0.08,-0.01,-0.01,34.39,43.86,78.4,547.58,142.04,17.64,21.01,84.0,12.39,16.06,77.2,2.33,3.62,64.4,0.26,1.98,2.78,1.88,0.55,42.13,1.59,0.1,0.1,0.5,3.27,1.39,0.05,0.05,0.0,0.0,0.15,0.99,4.86,3.67,0.0,0.45,0.3,0.4,0.05,0.5,0.4,0.0,0.0,0.05,0.05,0.0,1.73,1.14,0.5,0.89,0.35,0.69,1.19,58.3,0.5,0.64,0.0,0.5,2.23,0.69,0.0,56.94,0.69,6.89,23.59,27.41,5.55,56.94,4.91,2.28,46.5,2.18,44.4,44.95,310.99,136.44,3.17,1.73,2.87,2.23,43.41,0.0,1.29,2.87,0.3,0.05,0.0,0.0,5.5,0.2,0.69,22.2
Patrik Hrošovský,1992-04-22,Genk,Right,Slovakia,Att Mid / Wingers,1687,0.32,0.11,0.43,0.32,0.0,0.0,0.11,0.0,0.15,0.15,0.11,0.26,0.85,5.44,4.11,1.71,0.8,46.9,0.19,0.4,18.0,0.05,0.09,0.17,0.17,37.88,43.64,86.8,625.15,180.05,17.82,19.15,93.0,15.15,17.34,87.4,3.31,4.64,71.3,0.12,1.28,3.73,1.33,0.32,40.81,2.67,0.69,0.05,0.37,1.12,0.27,0.53,0.21,0.16,0.0,0.16,0.43,2.77,2.29,0.05,0.05,0.27,0.05,0.05,0.32,0.32,0.0,0.0,0.0,0.0,0.0,1.28,0.8,0.32,0.75,0.21,0.69,1.33,52.0,0.64,0.64,0.05,0.21,1.49,1.12,0.0,52.71,1.6,9.87,28.97,14.3,2.29,52.71,1.6,0.53,33.3,0.96,60.0,40.71,199.79,78.32,1.33,0.27,1.65,1.76,38.94,0.0,0.59,1.17,0.05,0.0,0.0,0.0,4.16,0.37,0.48,43.8
Ibrahima Sory Bangoura,2004-01-05,Genk,,Guinea,Midfielders,1263,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.04,0.04,0.02,0.06,0.57,4.06,0.36,0.57,0.07,12.5,0.0,0.0,18.4,0.0,0.06,-0.04,-0.04,44.04,48.38,91.0,795.53,136.03,17.1,19.03,89.9,21.81,23.23,93.9,4.28,4.63,92.3,0.05,0.64,4.06,0.29,0.0,47.24,1.07,1.07,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.86,1.85,1.64,0.0,0.0,0.14,0.0,0.07,0.14,0.14,0.0,0.0,0.0,0.0,0.0,4.28,2.71,1.57,2.14,0.57,1.64,2.42,67.6,0.78,1.5,0.36,1.92,6.2,0.93,0.0,60.86,2.07,12.61,38.05,11.47,0.93,60.86,1.64,1.07,65.2,0.57,34.8,39.33,207.72,69.48,1.85,0.21,1.64,1.43,34.35,0.0,2.57,0.64,0.0,0.0,0.07,0.0,7.7,1.43,0.86,62.5
