Player,Birthdate,Club,Footed,Nationality,Position,Minutes,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shots Total,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),xA: Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Offside,Passes Blocked,Shot-Creating Actions,SCA (Live-ball Pass),SCA (Dead-ball Pass),SCA (Take-On),SCA (Shot),SCA (Fouls Drawn),SCA (Defensive Action),Goal-Creating Actions,GCA (Live-ball Pass),GCA (Dead-ball Pass),GCA (Take-On),GCA (Shot),GCA (Fouls Drawn),GCA (Defensive Action),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Interceptions,Tkl+Int,Clearances,Errors,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Take-Ons Attempted,Successful Take-Ons,Successful Take-On %,Times Tackled During Take-On,Tackled During Take-On Percentage,Carries,Total Carrying Distance,Progressive Carrying Distance,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won
Joshua Kimmich,1995-02-08,Bayern Munich,Right,Germany,Midfielders,2847,0.09,0.22,0.32,0.09,0.0,0.0,0.13,0.0,0.06,0.06,0.23,0.29,1.61,11.44,2.43,1.07,0.32,29.4,0.09,0.3,23.9,0.13,0.05,0.04,0.04,103.34,115.45,89.5,1862.18,544.81,46.34,48.21,96.1,45.11,49.28,91.5,10.87,15.55,69.9,0.33,2.62,13.81,1.68,0.32,106.03,9.2,3.95,0.66,1.33,5.56,1.39,3.7,2.31,0.66,0.03,0.22,0.95,5.03,3.67,1.14,0.06,0.09,0.03,0.03,0.57,0.41,0.09,0.03,0.03,0.0,0.0,1.49,0.92,0.35,0.92,0.22,0.95,1.58,60.0,0.63,0.73,0.09,0.79,2.28,1.07,0.09,122.24,2.28,17.07,73.59,32.15,0.6,122.24,0.7,0.38,54.5,0.28,40.9,75.84,378.4,164.29,2.62,0.03,0.66,0.22,96.32,0.0,0.47,0.85,0.06,0.0,0.0,0.0,6.01,0.38,0.28,57.1
Harry Kane,1993-07-28,Bayern Munich,Right,England,Forwards,2381,0.98,0.34,1.32,0.64,0.34,0.34,0.19,0.0,0.77,0.5,0.2,0.7,1.1,3.67,5.41,3.97,1.7,42.9,0.16,0.38,16.3,0.23,0.13,0.22,0.14,19.24,24.38,78.9,345.52,85.35,8.96,10.74,83.5,7.67,8.85,86.8,2.23,3.14,71.1,0.21,1.32,2.12,1.36,0.08,23.47,0.68,0.04,0.64,0.53,0.49,0.34,0.04,0.0,0.0,0.0,0.23,0.79,3.36,2.23,0.04,0.34,0.57,0.19,0.0,0.79,0.45,0.0,0.08,0.15,0.11,0.0,0.49,0.42,0.11,0.3,0.08,0.08,0.23,33.3,0.15,0.6,0.08,0.08,0.57,0.6,0.0,34.66,0.76,2.91,12.59,19.32,6.12,34.32,2.0,0.87,43.4,1.1,54.7,19.39,85.43,36.06,0.72,0.79,1.55,0.83,27.06,0.0,0.34,0.79,0.6,0.08,0.0,0.0,2.31,1.1,0.76,59.2
Michael Olise,2001-12-12,Bayern Munich,Left,France,Att Mid / Wingers,2334,0.46,0.58,1.04,0.46,0.0,0.0,0.12,0.0,0.37,0.37,0.46,0.84,4.59,7.1,14.69,3.32,1.39,41.9,0.14,0.33,17.6,0.27,0.11,0.09,0.09,49.74,61.12,81.4,733.34,218.25,31.2,33.97,91.8,15.31,18.28,83.8,2.58,5.51,46.9,0.48,3.47,3.43,4.28,0.5,55.95,4.94,0.54,0.96,0.27,5.05,1.58,2.78,1.74,0.12,0.0,0.23,1.7,6.52,4.67,0.66,0.58,0.27,0.35,0.0,0.96,0.5,0.12,0.08,0.12,0.15,0.0,1.39,0.89,0.39,0.81,0.19,0.66,1.47,44.7,0.81,0.89,0.04,0.31,1.7,0.62,0.08,75.46,0.69,4.13,25.64,46.58,5.71,75.46,5.82,2.78,47.7,2.31,39.7,50.32,286.04,146.84,2.66,1.77,2.28,1.12,60.0,0.0,0.85,2.51,0.19,0.08,0.0,0.0,4.05,0.42,0.46,47.8
Kim Min-jae,1996-11-15,Bayern Munich,Right,Korea Republic,Center Backs,2283,0.08,0.0,0.08,0.08,0.0,0.0,0.08,0.0,0.06,0.06,0.01,0.07,0.63,7.14,0.2,0.28,0.2,71.4,0.29,0.4,6.0,0.0,0.23,0.02,0.02,92.25,99.74,92.5,1539.07,602.8,41.27,43.4,95.1,45.41,47.82,95.0,4.53,6.47,70.1,0.04,0.24,9.3,0.08,0.0,97.53,2.09,0.99,0.04,0.2,0.0,0.12,0.0,0.0,0.0,0.0,0.12,0.39,1.03,0.95,0.0,0.0,0.0,0.04,0.04,0.08,0.08,0.0,0.0,0.0,0.0,0.0,1.38,0.79,0.71,0.51,0.16,0.43,0.83,52.4,0.39,0.91,0.39,1.46,2.84,3.59,0.16,108.96,6.35,35.91,69.46,3.98,0.55,108.96,0.2,0.12,60.0,0.08,40.0,64.81,270.71,130.53,0.91,0.04,0.55,0.2,82.71,0.0,0.99,0.16,0.0,0.0,0.0,0.0,6.03,3.23,1.7,65.6
Jamal Musiala,2003-02-26,Bayern Munich,Right,Germany,Att Mid / Wingers,1798,0.6,0.1,0.7,0.6,0.0,0.0,0.15,0.0,0.47,0.47,0.23,0.69,3.55,5.36,7.81,3.4,1.55,45.6,0.18,0.39,15.1,0.0,0.14,0.14,0.14,38.94,47.15,82.6,540.75,132.4,24.03,27.58,87.1,11.76,13.82,85.1,1.6,1.95,82.1,0.3,2.05,3.75,1.2,0.0,45.75,1.15,0.1,0.7,0.1,0.4,0.3,0.35,0.0,0.0,0.0,0.25,1.65,5.56,3.5,0.05,1.1,0.35,0.45,0.1,0.45,0.2,0.0,0.1,0.05,0.05,0.05,1.8,1.05,0.35,0.8,0.65,0.6,1.45,41.4,0.85,1.5,0.0,0.4,2.2,0.25,0.05,63.97,0.35,4.71,28.28,31.84,8.16,63.97,7.06,3.6,51.1,2.95,41.8,39.64,220.85,115.13,2.4,1.8,3.35,1.65,51.61,0.0,1.0,2.75,0.1,0.05,0.0,0.0,3.75,0.35,0.7,33.3
Dayot Upamecano,1998-10-27,Bayern Munich,Right,France,Center Backs,1759,0.1,0.0,0.1,0.1,0.0,0.0,0.31,0.0,0.06,0.06,0.03,0.09,0.87,7.01,0.2,0.67,0.31,46.2,0.15,0.33,11.1,0.0,0.09,0.04,0.04,92.35,98.39,93.9,1740.49,570.24,30.8,32.8,93.9,53.21,55.0,96.7,7.52,9.06,83.1,0.06,0.36,10.08,0.15,0.05,96.19,2.15,1.07,0.0,0.1,0.31,0.41,0.0,0.0,0.0,0.0,0.05,0.36,1.02,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84,1.13,0.92,0.82,0.1,0.82,1.48,55.2,0.67,0.87,0.36,1.74,3.58,2.3,0.05,107.5,4.91,32.03,69.79,5.94,0.87,107.5,0.31,0.15,50.0,0.15,50.0,73.68,364.4,213.1,1.38,0.0,0.31,0.2,83.5,0.0,1.02,0.56,0.0,0.0,0.0,0.0,5.88,3.02,2.15,58.4
Konrad Laimer,1997-05-27,Bayern Munich,Right,Austria,Fullbacks,1699,0.11,0.11,0.21,0.11,0.0,0.0,0.42,0.0,0.11,0.11,0.14,0.25,4.61,7.47,5.99,0.95,0.32,33.3,0.11,0.33,17.1,0.0,0.12,-0.01,-0.01,56.95,64.89,87.8,791.35,200.98,33.96,36.87,92.1,20.77,23.25,89.3,0.79,1.54,51.7,0.17,1.06,5.51,1.32,0.21,58.8,6.04,0.53,0.16,0.11,1.11,5.51,0.0,0.0,0.0,0.0,0.05,1.48,3.28,2.97,0.11,0.05,0.05,0.05,0.05,0.42,0.42,0.0,0.0,0.0,0.0,0.0,2.6,1.43,1.01,1.17,0.42,1.22,2.54,47.9,1.32,1.27,0.05,0.42,3.02,1.27,0.05,75.27,2.07,12.29,36.29,26.91,3.5,75.27,1.59,0.9,56.7,0.64,40.0,43.23,229.64,146.15,3.18,0.95,1.85,1.22,53.71,0.0,1.85,0.64,0.05,0.0,0.0,0.0,4.29,0.79,0.69,53.6
Raphaël Guerreiro,1993-12-22,Bayern Munich,Left,Portugal,Fullbacks,1572,0.23,0.23,0.46,0.23,0.0,0.0,0.11,0.0,0.17,0.17,0.17,0.33,2.23,4.87,7.21,1.2,0.63,52.4,0.19,0.36,16.2,0.0,0.14,0.06,0.06,69.05,77.81,88.7,938.36,232.16,45.34,48.21,94.1,20.27,22.84,88.7,1.49,2.58,57.8,0.27,1.55,4.41,1.43,0.11,70.71,6.76,0.92,0.46,0.11,1.55,5.44,0.29,0.17,0.06,0.0,0.34,1.49,3.09,2.81,0.17,0.0,0.11,0.0,0.0,0.57,0.46,0.0,0.0,0.11,0.0,0.0,1.09,0.69,0.52,0.4,0.17,0.69,0.92,75.0,0.23,0.52,0.0,0.57,1.66,1.09,0.06,85.13,1.95,14.48,39.33,31.72,3.15,85.13,1.15,0.57,50.0,0.52,45.0,46.95,203.59,104.83,2.29,0.29,0.92,0.86,63.95,0.0,0.52,0.4,0.0,0.0,0.0,0.0,5.38,0.46,0.74,38.1
Aleksandar Pavlovic,2004-05-03,Bayern Munich,,Germany,Midfielders,1451,0.06,0.0,0.06,0.06,0.0,0.0,0.12,0.0,0.04,0.04,0.01,0.05,0.93,7.94,2.05,0.56,0.25,44.4,0.11,0.25,20.4,0.0,0.06,0.02,0.02,89.13,95.58,93.3,1394.1,333.33,49.19,50.92,96.6,33.93,35.67,95.1,4.71,6.45,73.1,0.12,0.43,10.48,0.81,0.06,94.84,0.68,0.5,0.31,0.37,0.31,0.19,0.0,0.0,0.0,0.0,0.06,0.56,1.86,1.8,0.0,0.0,0.06,0.0,0.0,0.19,0.19,0.0,0.0,0.0,0.0,0.0,2.36,1.3,0.81,0.93,0.62,1.36,1.98,68.8,0.62,1.12,0.19,0.31,2.67,0.87,0.0,102.22,1.05,12.03,68.23,22.52,0.68,102.22,0.31,0.31,100.0,0.0,0.0,64.2,270.43,123.06,2.67,0.19,0.81,0.12,86.9,0.0,1.05,0.56,0.0,0.0,0.0,0.0,4.47,0.74,0.62,54.5
Leroy Sané,1996-01-11,Bayern Munich,Left,Germany,Att Mid / Wingers,1637,0.6,0.27,0.88,0.6,0.0,0.0,0.11,0.0,0.56,0.56,0.3,0.87,4.12,3.52,14.62,3.68,1.59,43.3,0.16,0.38,16.6,0.11,0.15,0.04,0.04,41.23,49.98,82.5,584.37,103.25,24.08,26.94,89.4,13.91,16.38,84.9,1.59,2.47,64.4,0.34,1.98,1.32,1.92,0.38,47.56,2.31,0.16,0.27,0.11,2.8,0.44,0.82,0.33,0.0,0.0,0.11,1.54,4.18,3.02,0.06,0.44,0.27,0.27,0.11,0.49,0.38,0.0,0.06,0.0,0.0,0.06,1.26,0.82,0.22,0.44,0.6,0.66,1.26,52.2,0.6,0.44,0.0,0.38,1.65,0.16,0.0,65.09,0.44,3.74,21.94,40.46,6.65,65.09,5.5,2.14,39.0,3.02,55.0,43.27,275.06,124.58,2.58,2.09,3.57,1.48,52.39,0.0,0.88,1.37,0.33,0.06,0.0,0.0,4.51,0.38,0.33,53.8
