Player,Birthdate,Club,Footed,Nationality,Position,Minutes,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shots Total,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),xA: Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Offside,Passes Blocked,Shot-Creating Actions,SCA (Live-ball Pass),SCA (Dead-ball Pass),SCA (Take-On),SCA (Shot),SCA (Fouls Drawn),SCA (Defensive Action),Goal-Creating Actions,GCA (Live-ball Pass),GCA (Dead-ball Pass),GCA (Take-On),GCA (Shot),GCA (Fouls Drawn),GCA (Defensive Action),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Interceptions,Tkl+Int,Clearances,Errors,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Take-Ons Attempted,Successful Take-Ons,Successful Take-On %,Times Tackled During Take-On,Tackled During Take-On Percentage,Carries,Total Carrying Distance,Progressive Carrying Distance,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won
Juninho Capixaba,1997-07-06,Red Bull Bragantino,Left,Brazil,Fullbacks,1872,0.1,0.0,0.1,0.1,0.0,0.0,0.19,0.0,0.07,0.07,0.03,0.11,1.68,4.33,3.51,1.01,0.34,33.3,0.1,0.29,16.1,0.0,0.07,0.02,0.02,41.01,54.62,75.1,774.62,314.28,16.3,19.13,85.2,18.46,23.94,77.1,5.38,8.61,62.6,0.06,0.67,4.18,0.43,0.24,44.52,10.1,1.88,0.05,0.72,2.07,8.08,0.05,0.0,0.05,0.0,0.0,1.39,1.54,1.11,0.24,0.0,0.1,0.1,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,2.98,2.07,1.68,1.01,0.29,1.54,2.74,56.1,1.2,1.3,0.38,1.59,4.57,3.51,0.1,68.27,4.52,20.58,33.46,14.9,1.88,68.27,1.54,0.63,40.6,0.82,53.1,32.55,173.85,80.63,1.35,0.05,1.39,0.82,36.83,0.0,1.92,1.44,0.05,0.0,0.05,0.0,4.57,2.55,2.12,54.6
Jhonatan Jowjow,2002-09-09,Red Bull Bragantino,,Brazil,Att Mid / Wingers,1299,0.21,0.28,0.49,0.21,0.0,0.0,0.14,0.0,0.19,0.19,0.19,0.38,3.46,4.5,6.1,1.59,0.69,43.5,0.13,0.3,18.6,0.0,0.12,0.02,0.02,24.25,33.12,73.2,417.02,120.49,12.26,14.34,85.5,7.97,10.67,74.7,3.05,5.06,60.3,0.16,2.36,2.91,1.18,0.35,31.18,1.8,0.42,0.62,0.49,1.94,0.21,0.69,0.42,0.07,0.07,0.14,0.9,4.5,2.98,0.21,0.76,0.28,0.14,0.14,0.42,0.28,0.0,0.0,0.07,0.07,0.0,2.01,1.39,0.62,0.9,0.49,0.9,1.59,56.5,0.69,1.59,0.28,0.49,2.49,0.97,0.0,45.52,1.11,4.71,21.48,20.44,3.33,45.52,4.16,2.29,55.0,1.8,43.3,27.37,193.79,103.44,2.15,0.76,2.22,1.8,30.69,0.0,1.25,1.18,0.0,0.07,0.0,0.0,4.78,0.62,1.73,26.5
Pedro Henrique,1995-10-02,Red Bull Bragantino,Right,Brazil,Center Backs,2372,0.04,0.0,0.04,0.04,0.0,0.0,0.15,0.0,0.02,0.02,0.0,0.03,0.3,3.15,0.04,0.3,0.15,50.0,0.13,0.25,11.6,0.0,0.07,0.02,0.02,37.9,47.62,79.6,863.23,353.97,9.03,10.62,85.0,20.83,23.33,89.3,7.74,12.29,63.0,0.01,0.23,3.19,0.19,0.0,45.27,2.24,1.94,0.04,1.18,0.04,0.04,0.0,0.0,0.0,0.0,0.11,0.72,0.91,0.76,0.0,0.0,0.04,0.08,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.0,1.63,1.21,1.29,0.34,0.0,0.83,1.44,57.9,0.61,1.14,0.68,0.91,2.54,4.59,0.11,56.8,9.3,29.18,27.02,0.91,0.34,56.8,0.19,0.11,60.0,0.04,20.0,31.04,139.93,89.2,0.11,0.04,0.27,0.15,35.55,0.0,0.8,0.72,0.04,0.0,0.08,0.0,3.72,2.09,1.86,52.9
José Hurtado,2001-12-23,Red Bull Bragantino,Right,Ecuador,Fullbacks,1325,0.0,0.14,0.14,0.0,0.0,0.0,0.14,0.0,0.01,0.01,0.15,0.16,2.65,3.8,4.75,0.61,0.14,22.2,0.0,0.0,24.8,0.0,0.02,-0.01,-0.01,35.52,49.04,72.4,599.16,248.4,17.52,20.65,84.9,14.6,19.43,75.2,2.72,6.52,41.7,0.1,0.88,3.19,0.68,0.48,39.53,9.51,0.34,0.07,0.2,3.8,9.17,0.0,0.0,0.0,0.0,0.0,1.36,2.24,1.83,0.14,0.07,0.14,0.07,0.0,0.41,0.27,0.0,0.0,0.14,0.0,0.0,1.56,1.02,0.75,0.61,0.2,0.88,1.97,44.8,1.09,0.75,0.27,1.29,2.85,3.74,0.07,59.37,3.94,18.07,23.77,18.07,1.15,59.37,1.15,0.75,64.7,0.41,35.3,26.42,154.32,88.44,1.49,0.34,1.36,0.41,30.97,0.0,0.95,0.54,0.07,0.0,0.0,0.0,4.01,0.75,1.09,40.7
Eduardo Sasha,1992-02-24,Red Bull Bragantino,Right,Brazil,Forwards,2079,0.35,0.17,0.52,0.3,0.04,0.04,0.3,0.04,0.23,0.2,0.11,0.31,1.08,2.51,4.81,2.29,1.13,49.1,0.13,0.27,15.3,0.0,0.09,0.11,0.1,15.19,22.21,68.4,221.13,51.69,8.23,11.0,74.8,5.06,6.93,73.1,1.04,1.56,66.7,0.1,1.26,1.43,0.56,0.0,21.13,1.0,0.13,0.13,0.09,0.56,0.13,0.0,0.0,0.0,0.0,0.09,0.78,2.34,1.73,0.04,0.09,0.22,0.22,0.04,0.35,0.26,0.0,0.04,0.04,0.0,0.0,0.39,0.17,0.17,0.13,0.09,0.26,0.52,50.0,0.26,0.61,0.13,0.17,0.56,0.87,0.0,31.43,1.21,2.86,13.46,15.28,3.59,31.39,1.43,0.48,33.3,0.91,63.6,17.53,74.16,28.92,0.82,0.26,2.08,0.69,22.73,0.0,0.87,1.69,0.22,0.0,0.0,0.0,1.99,2.9,4.29,40.4
Gabriel,1992-07-10,Red Bull Bragantino,Right,Brazil,Midfielders,1431,0.06,0.13,0.19,0.06,0.0,0.0,0.19,0.0,0.03,0.03,0.02,0.05,1.07,6.48,0.31,0.63,0.13,20.0,0.1,0.5,25.0,0.0,0.04,0.04,0.04,48.18,53.96,89.3,851.01,226.6,21.32,23.14,92.1,21.64,23.71,91.2,4.34,5.09,85.2,0.03,0.75,5.66,0.57,0.13,53.02,0.88,0.75,0.0,0.5,0.38,0.13,0.0,0.0,0.0,0.0,0.06,0.69,2.45,2.2,0.0,0.0,0.0,0.13,0.13,0.25,0.25,0.0,0.0,0.0,0.0,0.0,3.02,1.76,1.32,1.38,0.31,1.07,2.96,36.2,1.89,1.64,0.38,1.32,4.34,1.7,0.06,63.77,2.77,14.91,40.31,8.99,0.31,63.77,0.31,0.06,20.0,0.25,80.0,33.52,150.44,73.84,0.63,0.0,0.63,0.06,40.0,0.0,1.38,0.82,0.0,0.0,0.0,0.0,6.35,1.07,1.64,39.5
Eric Ramires,2000-08-10,Red Bull Bragantino,Right,Brazil,Midfielders,1106,0.16,0.16,0.33,0.16,0.0,0.0,0.33,0.0,0.16,0.16,0.02,0.19,0.73,3.09,2.69,1.71,0.41,23.8,0.1,0.4,20.4,0.0,0.1,0.0,0.0,31.98,37.92,84.3,494.43,114.25,16.36,18.07,90.5,11.72,13.67,85.7,2.44,3.66,66.7,0.02,0.65,3.42,0.24,0.0,36.21,1.71,0.41,0.08,0.08,0.81,0.33,0.08,0.08,0.0,0.0,0.0,0.73,2.2,2.03,0.0,0.0,0.08,0.08,0.0,0.24,0.24,0.0,0.0,0.0,0.0,0.0,1.95,1.38,0.9,0.65,0.41,0.98,2.2,44.4,1.22,0.81,0.16,0.65,2.6,0.65,0.0,48.09,1.3,8.14,25.23,14.97,1.87,48.09,1.71,0.81,47.6,0.73,42.9,26.69,117.67,49.96,0.98,0.16,1.38,1.95,32.22,0.0,1.38,1.46,0.08,0.0,0.0,0.0,6.02,0.41,0.98,29.4
Lucas Barbosa,2001-02-22,Red Bull Bragantino,Both,Brazil,Att Mid / Wingers,2443,0.26,0.07,0.33,0.26,0.0,0.0,0.44,0.04,0.24,0.24,0.13,0.36,2.25,3.79,6.08,2.58,0.88,34.3,0.1,0.29,19.3,0.0,0.09,0.02,0.02,21.33,31.06,68.7,381.99,96.3,10.39,13.3,78.1,7.74,10.65,72.7,2.73,4.72,57.8,0.14,1.03,2.17,1.07,0.22,30.5,0.37,0.04,0.11,0.66,2.03,0.26,0.0,0.0,0.0,0.0,0.18,0.96,2.54,2.1,0.0,0.11,0.18,0.15,0.0,0.15,0.11,0.0,0.0,0.04,0.0,0.0,2.51,1.47,0.77,1.14,0.59,1.14,2.58,44.3,1.44,2.17,0.15,0.7,3.21,0.77,0.04,45.06,0.92,5.82,22.62,17.54,3.32,45.06,1.88,0.66,35.3,1.14,60.8,25.49,157.93,68.01,1.73,0.44,2.32,1.14,31.31,0.0,2.25,1.22,0.22,0.0,0.0,0.0,3.79,2.21,2.36,48.4
Vinicius Mendonça,2004-02-20,Red Bull Bragantino,,Brazil,Att Mid / Wingers,718,0.25,0.0,0.25,0.25,0.0,0.0,0.38,0.0,0.21,0.21,0.11,0.33,4.01,2.76,8.52,2.38,1.25,52.6,0.11,0.2,17.9,0.0,0.09,0.04,0.04,17.8,24.32,73.2,264.99,69.19,10.78,12.79,84.3,5.01,6.02,83.3,1.13,3.01,37.5,0.15,1.5,0.88,1.25,0.75,23.94,0.38,0.13,0.13,0.13,3.51,0.25,0.0,0.0,0.0,0.0,0.0,1.0,4.51,2.51,0.0,1.0,0.38,0.5,0.13,0.63,0.25,0.0,0.25,0.0,0.13,0.0,2.26,2.01,1.0,0.75,0.5,1.25,2.51,50.0,1.25,1.25,0.13,0.25,2.51,0.88,0.0,40.49,0.5,5.77,11.78,24.32,4.64,40.49,6.02,2.63,43.8,2.26,37.5,26.95,211.09,97.27,2.76,2.51,3.38,2.38,28.33,0.0,1.25,4.01,0.13,0.13,0.0,0.0,5.52,0.75,2.13,26.1
Henry Mosquera,2001-11-15,Red Bull Bragantino,,Colombia,Att Mid / Wingers,1934,0.05,0.09,0.14,0.05,0.0,0.0,0.19,0.0,0.2,0.2,0.1,0.3,4.51,1.77,7.17,2.05,0.61,29.5,0.02,0.08,17.1,0.0,0.1,-0.15,-0.15,17.68,22.8,77.6,256.46,50.96,10.66,12.05,88.4,5.72,7.17,79.9,0.74,1.68,44.4,0.1,1.58,0.61,1.21,0.47,22.2,0.61,0.05,0.0,0.19,1.86,0.23,0.28,0.0,0.0,0.0,0.0,0.7,3.26,2.09,0.0,1.02,0.0,0.09,0.05,0.23,0.19,0.0,0.05,0.0,0.0,0.0,1.07,0.51,0.47,0.37,0.23,0.42,0.65,64.3,0.23,0.42,0.05,0.42,1.49,0.28,0.0,36.2,0.84,4.89,12.52,20.29,4.33,36.2,6.61,3.3,50.0,3.07,46.5,24.66,241.43,138.07,3.26,1.95,3.07,1.63,25.41,0.0,1.4,1.4,0.42,0.0,0.0,0.0,4.19,0.7,1.63,30.0
Matheus Fernandes,1998-06-30,Red Bull Bragantino,Right,Brazil,Midfielders,846,0.11,0.11,0.21,0.11,0.0,0.0,0.53,0.0,0.06,0.06,0.06,0.13,0.74,4.04,1.49,1.49,0.32,21.4,0.07,0.33,24.8,0.0,0.04,0.04,0.04,30.11,38.19,78.8,514.36,173.94,13.72,16.17,84.9,12.34,14.89,82.9,2.66,3.94,67.6,0.04,0.64,4.57,0.21,0.0,36.28,1.91,1.38,0.21,0.11,0.21,0.43,0.0,0.0,0.0,0.0,0.0,0.96,2.02,1.17,0.11,0.11,0.32,0.11,0.21,0.21,0.21,0.0,0.0,0.0,0.0,0.0,4.15,3.3,1.49,2.23,0.43,1.6,2.34,68.2,0.74,1.81,0.32,2.34,6.49,2.23,0.0,53.09,3.09,12.02,31.49,10.11,0.85,53.09,1.49,1.06,71.4,0.32,21.4,22.45,109.89,55.96,0.96,0.21,1.17,0.85,27.13,0.0,2.23,1.17,0.0,0.0,0.0,0.0,6.7,1.17,0.53,68.8
Isidro Pitta,1999-08-14,Red Bull Bragantino,,Paraguay,Forwards,2831,0.22,0.06,0.29,0.13,0.1,0.13,0.16,0.0,0.31,0.21,0.12,0.33,1.59,1.65,5.34,2.07,0.64,30.8,0.06,0.2,17.5,0.0,0.1,-0.09,-0.08,13.29,18.98,70.0,181.68,29.25,7.92,10.43,75.9,3.78,5.37,70.4,0.57,0.86,66.7,0.07,1.18,0.73,0.41,0.06,16.75,2.13,0.0,0.03,0.13,0.54,0.22,0.0,0.0,0.0,0.0,0.1,0.67,2.23,1.72,0.03,0.16,0.16,0.16,0.0,0.19,0.1,0.0,0.03,0.03,0.03,0.0,0.19,0.13,0.0,0.13,0.06,0.06,0.25,25.0,0.19,0.25,0.03,0.06,0.25,0.67,0.0,26.77,0.76,1.62,11.92,13.48,4.45,26.64,1.59,0.54,34.0,0.92,58.0,15.83,78.27,33.29,0.99,0.83,1.94,1.34,20.12,0.0,0.92,1.11,0.95,0.06,0.0,0.0,1.72,1.65,2.0,45.2
Fabinho,2002-04-09,Red Bull Bragantino,Right,Brazil,Midfielders,513,0.18,0.0,0.18,0.18,0.0,0.0,0.35,0.0,0.05,0.05,0.05,0.09,0.88,6.32,2.28,1.23,0.53,42.9,0.14,0.33,18.7,0.0,0.04,0.12,0.12,37.19,46.49,80.0,655.96,198.6,15.96,18.42,86.7,15.96,18.6,85.8,4.39,7.02,62.5,0.04,1.23,6.14,0.53,0.0,45.09,1.23,1.23,0.0,0.88,0.18,0.0,0.0,0.0,0.0,0.0,0.18,0.7,2.63,2.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.7,0.7,0.18,0.18,0.18,1.58,11.1,1.4,1.75,0.53,1.05,2.11,1.4,0.0,55.79,1.58,8.95,34.04,13.51,2.46,55.79,1.4,0.88,62.5,0.35,25.0,30.7,128.42,67.37,0.7,0.18,0.7,1.23,37.89,0.0,1.05,1.4,0.0,0.0,0.0,0.0,4.91,1.75,1.4,55.6
Eduardo Santos,1997-11-28,Red Bull Bragantino,,Brazil,Center Backs,1716,0.05,0.0,0.05,0.05,0.0,0.0,0.26,0.0,0.03,0.03,0.01,0.04,0.63,3.25,0.42,0.47,0.05,11.1,0.11,1.0,13.3,0.0,0.07,0.02,0.02,36.98,44.63,82.8,729.18,261.5,11.49,13.79,83.3,20.82,22.66,91.9,4.41,6.98,63.2,0.01,0.16,2.36,0.0,0.0,42.59,2.05,1.63,0.05,0.16,0.26,0.42,0.0,0.0,0.0,0.0,0.0,0.79,0.52,0.42,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84,1.42,1.0,0.84,0.0,0.63,0.94,66.7,0.31,1.31,0.84,1.0,2.83,5.51,0.05,56.64,8.65,28.06,26.28,2.62,1.0,56.64,0.52,0.42,80.0,0.05,10.0,29.69,165.47,92.88,0.26,0.0,0.73,0.47,33.04,0.0,0.42,0.52,0.0,0.0,0.0,0.0,3.88,1.84,0.89,67.3
Thiago Borbas,2002-04-07,Red Bull Bragantino,,Uruguay,Forwards,956,0.19,0.0,0.19,0.19,0.0,0.0,0.28,0.0,0.19,0.19,0.03,0.23,0.19,1.13,3.77,1.79,0.85,47.4,0.11,0.22,14.9,0.0,0.11,0.0,0.0,9.23,14.69,62.8,109.58,23.82,6.4,8.57,74.7,1.79,3.01,59.4,0.19,0.28,66.7,0.03,0.66,0.47,0.47,0.09,14.4,0.28,0.0,0.0,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.28,1.79,1.22,0.0,0.09,0.28,0.19,0.0,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.66,0.38,0.0,0.47,0.19,0.28,0.56,50.0,0.28,0.75,0.38,0.19,0.85,1.32,0.0,25.7,1.6,3.11,9.98,12.71,3.3,25.7,1.32,0.47,35.7,0.66,50.0,12.99,47.82,11.2,0.66,0.47,2.73,2.07,18.17,0.0,1.98,0.94,0.19,0.0,0.0,0.0,2.07,2.92,7.34,28.4
