Player,Birthdate,Club,Footed,Nationality,Position,Minutes,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shots Total,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),xA: Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Offside,Passes Blocked,Shot-Creating Actions,SCA (Live-ball Pass),SCA (Dead-ball Pass),SCA (Take-On),SCA (Shot),SCA (Fouls Drawn),SCA (Defensive Action),Goal-Creating Actions,GCA (Live-ball Pass),GCA (Dead-ball Pass),GCA (Take-On),GCA (Shot),GCA (Fouls Drawn),GCA (Defensive Action),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Interceptions,Tkl+Int,Clearances,Errors,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Take-Ons Attempted,Successful Take-Ons,Successful Take-On %,Times Tackled During Take-On,Tackled During Take-On Percentage,Carries,Total Carrying Distance,Progressive Carrying Distance,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won
Bradley Barcola,2002-09-02,Paris Saint-Germain,,France,Att Mid / Wingers,2181,0.58,0.41,0.99,0.58,0.0,0.0,0.08,0.0,0.55,0.55,0.42,0.97,5.65,3.96,15.43,3.05,1.57,51.4,0.19,0.37,13.2,0.0,0.18,0.02,0.02,30.91,37.84,81.7,422.97,102.59,20.01,22.53,88.8,9.28,11.35,81.8,0.83,1.36,60.6,0.24,2.06,1.16,2.1,0.17,36.89,0.78,0.21,0.25,0.08,1.03,0.5,0.08,0.0,0.0,0.0,0.17,0.91,4.17,3.59,0.04,0.21,0.17,0.08,0.08,0.83,0.7,0.0,0.04,0.08,0.0,0.0,1.11,0.7,0.41,0.33,0.37,0.33,1.28,25.8,0.95,1.03,0.08,0.78,1.9,0.5,0.0,52.74,0.54,3.47,16.22,33.59,8.83,52.74,5.65,1.4,24.8,3.88,68.6,35.28,240.78,144.64,2.68,3.92,2.64,0.83,42.05,0.0,1.24,0.91,0.29,0.0,0.0,0.0,2.76,0.58,0.29,66.7
Achraf Hakimi,1998-11-04,Paris Saint-Germain,Right,Morocco,Fullbacks,2066,0.17,0.26,0.44,0.17,0.0,0.0,0.17,0.0,0.13,0.13,0.27,0.4,4.05,7.97,11.94,1.39,0.52,37.5,0.13,0.33,19.2,0.22,0.09,0.05,0.05,82.68,93.22,88.7,1134.93,325.93,51.71,55.15,93.8,24.96,28.05,89.0,2.74,4.18,65.6,0.23,2.18,6.01,1.61,0.39,84.9,8.19,1.48,0.09,0.35,3.49,6.53,0.17,0.0,0.04,0.0,0.13,1.39,4.53,3.96,0.13,0.17,0.04,0.13,0.09,0.48,0.44,0.0,0.04,0.0,0.0,0.0,2.09,1.57,0.78,0.87,0.44,1.18,2.4,49.1,1.22,1.09,0.09,1.35,3.44,0.78,0.13,103.29,1.74,18.73,42.69,42.43,3.53,103.29,2.27,1.13,50.0,0.91,40.4,60.29,262.46,152.51,2.48,0.91,1.66,0.65,79.15,0.0,0.83,1.09,0.35,0.0,0.0,0.0,5.92,0.39,0.52,42.9
Willian Pacho,2001-10-16,Paris Saint-Germain,Left,Ecuador,Center Backs,2132,0.0,0.04,0.04,0.0,0.0,0.0,0.08,0.0,0.01,0.01,0.01,0.03,0.13,2.24,0.04,0.17,0.04,25.0,0.0,0.0,8.5,0.0,0.08,-0.01,-0.01,78.73,83.08,94.8,1394.32,409.56,26.55,27.61,96.2,47.87,48.88,97.9,3.46,5.07,68.3,0.02,0.13,2.91,0.04,0.0,81.05,1.94,1.14,0.0,0.13,0.0,0.46,0.0,0.0,0.0,0.0,0.08,0.3,0.55,0.46,0.0,0.0,0.04,0.0,0.04,0.13,0.08,0.0,0.0,0.04,0.0,0.0,2.36,1.35,1.44,0.93,0.0,0.97,1.35,71.9,0.38,1.48,0.93,1.69,4.05,3.84,0.04,93.84,10.3,38.88,53.57,1.82,0.34,93.84,0.3,0.08,28.6,0.17,57.1,59.06,252.69,109.42,0.13,0.0,0.63,0.17,71.64,0.0,0.84,0.3,0.0,0.0,0.0,0.0,5.02,1.22,1.1,52.7
Warren Zaïre-Emery,2006-03-08,Paris Saint-Germain,,France,Midfielders,2050,0.04,0.09,0.13,0.04,0.0,0.0,0.13,0.0,0.07,0.07,0.06,0.14,2.15,5.93,4.04,0.75,0.31,41.2,0.06,0.14,20.5,0.0,0.1,-0.03,-0.03,68.36,73.62,92.8,1000.4,213.54,39.38,40.83,96.5,23.97,25.24,95.0,2.63,3.73,70.6,0.06,0.79,5.09,0.4,0.04,70.46,3.07,0.75,0.09,0.79,0.4,2.2,0.0,0.0,0.0,0.0,0.09,0.97,2.28,2.06,0.04,0.04,0.13,0.0,0.0,0.18,0.09,0.04,0.04,0.0,0.0,0.0,2.24,1.14,0.75,0.92,0.57,1.01,1.98,51.1,0.97,1.54,0.26,1.01,3.25,0.88,0.09,83.77,2.15,13.79,46.14,24.37,1.4,83.77,1.62,0.88,54.1,0.75,45.9,53.17,280.23,140.49,2.77,0.26,1.71,1.4,66.12,0.0,1.1,0.83,0.04,0.0,0.0,0.0,5.97,0.4,0.61,39.1
Lucas Beraldo,2003-11-24,Paris Saint-Germain,Right,Brazil,Center Backs,2011,0.04,0.0,0.04,0.04,0.0,0.0,0.27,0.0,0.04,0.04,0.02,0.05,0.4,5.86,0.0,0.54,0.18,33.3,0.08,0.25,14.2,0.0,0.07,0.0,0.0,90.09,95.42,94.4,1591.09,565.02,34.06,35.36,96.3,48.92,50.66,96.6,5.82,7.16,81.3,0.04,0.36,7.52,0.58,0.09,92.73,2.46,1.3,0.04,0.4,0.13,1.12,0.0,0.0,0.0,0.0,0.22,0.27,0.98,0.98,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.0,0.0,0.0,0.0,1.7,1.39,1.34,0.36,0.0,1.03,1.66,62.2,0.63,0.72,0.36,0.94,2.64,2.82,0.13,103.56,9.98,38.94,61.4,3.49,0.67,103.56,0.04,0.04,100.0,0.0,0.0,62.43,245.65,147.33,0.67,0.0,0.45,0.09,82.66,0.0,0.98,0.4,0.04,0.0,0.04,0.0,5.15,2.01,0.94,68.2
João Neves,2004-09-27,Paris Saint-Germain,,Portugal,Midfielders,1844,0.15,0.39,0.54,0.15,0.0,0.0,0.05,0.0,0.15,0.15,0.2,0.34,1.71,7.03,3.9,1.37,0.54,39.3,0.11,0.27,13.7,0.0,0.11,0.0,0.0,72.77,79.75,91.2,1164.09,263.41,38.41,40.71,94.4,27.82,29.82,93.3,4.93,6.34,77.7,0.19,1.61,6.25,1.07,0.1,75.07,4.54,1.71,0.54,0.83,0.73,2.34,0.0,0.0,0.0,0.0,0.15,0.63,3.32,2.73,0.05,0.15,0.1,0.15,0.15,0.68,0.68,0.0,0.0,0.0,0.0,0.0,3.07,1.51,0.98,1.27,0.83,1.32,2.2,60.0,0.88,1.42,0.44,1.12,4.2,1.07,0.05,90.34,2.25,15.76,51.3,24.11,2.68,90.34,1.46,0.78,53.3,0.54,36.7,49.69,239.79,110.4,2.15,0.15,1.27,0.78,68.18,0.0,0.83,1.61,0.15,0.0,0.0,0.0,6.0,1.02,0.59,63.6
Fabián Ruiz Peña,1996-04-03,Paris Saint-Germain,Left,Spain,Midfielders,1923,0.19,0.23,0.42,0.19,0.0,0.0,0.05,0.0,0.2,0.2,0.22,0.42,2.2,9.59,4.31,2.01,0.56,27.9,0.09,0.33,18.7,0.0,0.1,-0.01,-0.01,68.24,76.15,89.6,1111.22,294.15,34.77,37.54,92.6,26.91,28.97,92.9,4.73,6.13,77.1,0.24,1.68,7.25,1.68,0.14,73.81,2.2,1.5,0.33,0.7,1.26,0.47,0.14,0.0,0.0,0.0,0.14,1.26,4.17,3.7,0.0,0.09,0.28,0.0,0.09,0.66,0.56,0.0,0.0,0.05,0.0,0.05,1.73,1.12,0.61,0.7,0.42,0.98,2.2,44.7,1.22,1.17,0.14,0.75,2.48,1.26,0.05,84.57,2.2,11.89,49.14,24.1,2.9,84.57,0.94,0.66,70.0,0.28,30.0,48.53,244.54,128.1,1.97,0.37,1.12,0.75,66.93,0.0,0.28,0.47,0.23,0.0,0.0,0.0,6.32,0.23,0.37,38.5
Vitinha,2000-02-13,Paris Saint-Germain,Right,Portugal,Midfielders,2042,0.22,0.04,0.26,0.13,0.09,0.09,0.04,0.0,0.15,0.08,0.11,0.19,2.34,9.87,2.51,1.1,0.53,48.0,0.12,0.25,24.2,0.09,0.07,0.07,0.05,98.55,105.91,93.1,1745.57,406.72,44.82,46.63,96.1,40.55,42.44,95.5,11.06,13.09,84.5,0.17,1.19,11.33,1.63,0.13,102.47,3.31,2.47,0.57,0.97,0.93,0.44,0.26,0.09,0.04,0.0,0.13,0.84,3.22,2.91,0.09,0.13,0.09,0.0,0.0,0.18,0.09,0.04,0.04,0.0,0.0,0.0,1.9,1.01,0.57,1.19,0.13,1.1,2.12,52.1,1.01,1.15,0.31,0.62,2.51,0.84,0.09,113.76,2.56,15.69,71.27,27.46,1.41,113.67,1.76,1.19,67.5,0.44,25.0,77.39,391.07,186.21,2.6,0.4,1.32,0.84,95.2,0.0,0.4,0.53,0.0,0.0,0.0,0.0,6.35,0.04,0.22,16.7
Ousmane Dembélé,1997-05-15,Paris Saint-Germain,Both,France,Att Mid / Wingers,1730,1.09,0.31,1.4,1.04,0.05,0.05,0.05,0.0,0.86,0.82,0.43,1.25,6.61,7.13,13.11,4.99,2.55,51.0,0.21,0.41,16.0,0.0,0.16,0.23,0.22,43.91,55.56,79.0,699.87,191.71,23.41,27.57,84.9,15.4,18.57,82.9,3.75,5.46,68.6,0.37,3.28,4.84,2.86,0.16,51.29,3.85,0.47,0.68,0.52,4.16,0.16,2.5,0.73,0.83,0.0,0.42,1.87,5.72,3.9,0.83,0.47,0.31,0.16,0.05,0.78,0.57,0.0,0.05,0.1,0.05,0.0,0.57,0.26,0.0,0.36,0.21,0.21,0.62,33.3,0.42,0.16,0.0,0.47,1.04,0.1,0.05,68.83,0.1,2.45,25.02,41.88,8.38,68.77,4.94,2.19,44.2,2.65,53.7,45.68,315.47,179.32,4.53,3.43,2.13,1.66,58.63,0.0,0.42,0.73,0.47,0.05,0.0,0.0,2.03,0.21,0.31,40.0
Marquinhos,1994-05-14,Paris Saint-Germain,Right,Brazil,Center Backs,1725,0.1,0.0,0.1,0.1,0.0,0.0,0.16,0.0,0.06,0.06,0.04,0.1,1.51,7.88,0.21,0.42,0.16,37.5,0.25,0.67,9.7,0.0,0.14,0.05,0.05,90.57,95.48,94.9,1762.17,525.5,27.34,28.12,97.2,52.8,54.21,97.4,9.7,11.74,82.7,0.05,0.47,9.6,0.21,0.05,93.44,1.88,1.2,0.16,0.68,0.16,0.57,0.0,0.0,0.0,0.0,0.16,0.31,1.62,1.46,0.0,0.05,0.0,0.0,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.05,1.57,0.99,0.42,0.83,0.31,1.3,1.72,75.8,0.42,1.41,0.78,0.57,2.14,3.34,0.0,103.83,9.34,31.83,66.31,5.95,0.68,103.83,0.21,0.16,75.0,0.05,25.0,69.65,344.4,233.32,1.3,0.0,0.21,0.05,83.63,0.0,0.94,0.37,0.05,0.0,0.05,0.0,5.37,1.67,0.89,65.3
