Player,Birthdate,Club,Footed,Nationality,Position,Minutes,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shots Total,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),xA: Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Offside,Passes Blocked,Shot-Creating Actions,SCA (Live-ball Pass),SCA (Dead-ball Pass),SCA (Take-On),SCA (Shot),SCA (Fouls Drawn),SCA (Defensive Action),Goal-Creating Actions,GCA (Live-ball Pass),GCA (Dead-ball Pass),GCA (Take-On),GCA (Shot),GCA (Fouls Drawn),GCA (Defensive Action),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Interceptions,Tkl+Int,Clearances,Errors,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Take-Ons Attempted,Successful Take-Ons,Successful Take-On %,Times Tackled During Take-On,Tackled During Take-On Percentage,Carries,Total Carrying Distance,Progressive Carrying Distance,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won
Mohamed Salah,1992-06-15,Liverpool,Left,Egypt,Att Mid / Wingers,3371,0.77,0.48,1.25,0.53,0.24,0.24,0.03,0.0,0.67,0.49,0.38,0.87,4.11,3.84,13.03,3.23,1.33,41.3,0.17,0.4,14.5,0.03,0.15,0.1,0.05,23.81,33.72,70.6,356.24,104.63,13.38,16.05,83.4,8.06,11.56,69.7,1.58,2.67,59.0,0.24,2.35,1.42,2.48,0.4,32.76,0.8,0.19,0.51,0.08,2.11,0.61,0.0,0.0,0.0,0.0,0.16,1.66,4.51,3.28,0.05,0.59,0.37,0.13,0.08,0.72,0.53,0.0,0.13,0.05,0.0,0.0,0.56,0.29,0.19,0.13,0.24,0.21,0.45,47.1,0.24,0.32,0.0,0.24,0.8,0.13,0.0,45.25,0.29,2.59,13.35,29.88,9.5,45.01,3.66,1.55,42.3,1.92,52.6,30.68,186.17,98.65,1.58,3.36,3.1,1.79,37.56,0.0,0.67,1.04,0.48,0.0,0.0,0.0,2.7,0.24,0.37,39.1
Virgil van Dijk,1991-07-08,Liverpool,Right,Netherlands,Center Backs,3330,0.08,0.03,0.11,0.08,0.0,0.0,0.14,0.0,0.06,0.06,0.02,0.08,0.59,5.35,0.16,0.73,0.22,29.6,0.11,0.38,13.1,0.03,0.08,0.02,0.02,72.65,79.32,91.6,1325.32,516.49,29.73,30.89,96.2,36.03,37.76,95.4,6.19,9.22,67.2,0.03,0.32,7.84,0.19,0.0,73.19,6.05,2.32,0.03,0.59,0.03,0.22,0.0,0.0,0.0,0.0,0.08,0.24,1.3,1.11,0.0,0.03,0.08,0.03,0.05,0.11,0.11,0.0,0.0,0.0,0.0,0.0,1.03,0.54,0.46,0.51,0.05,0.35,0.59,59.1,0.24,0.73,0.43,1.51,2.54,5.14,0.11,89.22,12.16,35.62,49.38,4.49,1.3,89.22,0.14,0.08,60.0,0.05,40.0,50.16,236.59,130.97,0.65,0.08,0.27,0.14,61.65,0.0,0.46,0.35,0.0,0.0,0.0,0.0,3.11,3.22,1.24,72.1
Ryan Gravenberch,2002-05-16,Liverpool,Right,Netherlands,Midfielders,3160,0.0,0.11,0.11,0.0,0.0,0.0,0.17,0.03,0.03,0.03,0.09,0.12,1.99,5.16,1.57,0.57,0.14,25.0,0.0,0.0,24.5,0.0,0.06,-0.03,-0.03,48.93,54.88,89.2,737.77,185.92,26.12,28.22,92.5,19.37,20.99,92.3,1.82,2.96,61.5,0.1,0.74,4.3,1.0,0.06,53.8,0.91,0.46,0.23,0.2,0.2,0.28,0.0,0.0,0.0,0.0,0.17,0.43,1.94,1.71,0.0,0.14,0.06,0.0,0.03,0.17,0.17,0.0,0.0,0.0,0.0,0.0,1.97,1.0,0.77,0.83,0.37,0.91,1.59,57.1,0.68,1.0,0.28,1.71,3.67,1.68,0.06,66.73,3.33,14.5,38.56,14.58,0.74,66.73,2.31,1.05,45.7,0.85,37.0,39.76,212.24,106.58,2.14,0.28,1.57,0.74,47.53,0.0,1.34,1.48,0.0,0.0,0.0,0.0,5.5,0.74,0.4,65.0
Alexis Mac Allister,1998-12-24,Liverpool,Right,Argentina,Midfielders,2599,0.17,0.17,0.35,0.17,0.0,0.0,0.21,0.0,0.1,0.1,0.16,0.26,1.25,6.13,2.77,1.32,0.45,34.2,0.13,0.38,18.1,0.03,0.07,0.08,0.08,44.08,52.77,83.5,704.49,199.05,22.79,25.24,90.3,17.07,19.32,88.4,3.08,5.54,55.6,0.19,1.56,4.22,1.21,0.07,48.58,4.02,1.21,0.21,0.1,2.98,0.31,2.46,0.9,1.25,0.0,0.17,1.07,4.16,2.87,0.83,0.07,0.21,0.07,0.1,0.52,0.35,0.1,0.0,0.07,0.0,0.0,3.29,2.01,0.97,1.77,0.55,1.9,3.6,52.9,1.7,2.11,0.21,0.76,4.05,1.0,0.03,64.41,1.94,9.83,33.24,22.06,2.08,64.41,1.45,0.55,38.1,0.73,50.0,31.65,130.65,69.57,1.49,0.17,1.07,0.76,42.49,0.0,2.15,1.39,0.07,0.0,0.0,0.0,5.13,0.66,1.18,35.8
Ibrahima Konaté,1999-05-25,Liverpool,Right,France,Center Backs,2560,0.04,0.07,0.11,0.04,0.0,0.0,0.18,0.0,0.06,0.06,0.04,0.09,0.88,4.04,0.11,0.67,0.11,15.8,0.05,0.33,10.5,0.0,0.09,-0.02,-0.02,60.4,66.97,90.2,1118.67,380.53,20.81,22.18,93.8,35.96,37.86,95.0,3.3,6.01,55.0,0.03,0.35,5.03,0.32,0.0,65.25,1.62,1.44,0.04,0.18,0.0,0.18,0.0,0.0,0.0,0.0,0.11,0.32,1.09,0.91,0.0,0.0,0.14,0.0,0.04,0.25,0.21,0.0,0.0,0.0,0.0,0.04,1.41,0.91,0.88,0.46,0.07,0.88,1.23,71.4,0.35,1.02,0.53,0.6,2.0,4.68,0.11,76.82,7.84,32.63,40.25,4.18,0.81,76.82,0.21,0.11,50.0,0.07,33.3,45.35,215.3,126.67,0.53,0.0,0.28,0.07,55.41,0.0,0.95,0.7,0.0,0.0,0.0,0.0,3.45,2.6,1.02,71.8
Dominik Szoboszlai,2000-10-25,Liverpool,Right,Hungary,Att Mid / Wingers,2491,0.22,0.22,0.43,0.22,0.0,0.0,0.22,0.0,0.26,0.26,0.27,0.53,2.6,4.73,4.59,2.42,0.79,32.8,0.09,0.27,18.9,0.14,0.11,-0.05,-0.05,40.25,47.76,84.3,633.29,131.55,21.71,24.24,89.6,13.22,15.03,88.0,3.43,4.81,71.4,0.21,2.02,3.18,1.19,0.18,43.43,4.26,0.76,0.18,0.51,1.48,1.3,0.61,0.33,0.22,0.0,0.07,0.98,4.3,3.25,0.25,0.18,0.47,0.11,0.04,0.58,0.43,0.04,0.0,0.11,0.0,0.0,1.37,0.72,0.51,0.69,0.18,0.61,1.63,37.8,1.01,1.41,0.18,0.33,1.7,0.69,0.07,57.23,1.16,7.95,27.5,22.62,3.76,57.23,1.48,0.76,51.2,0.61,41.5,29.08,152.58,85.7,1.77,0.65,1.34,0.83,38.77,0.0,1.59,0.87,0.14,0.0,0.0,0.0,4.81,0.69,0.83,45.2
Andrew Robertson,1994-03-11,Liverpool,Left,Scotland,Fullbacks,2482,0.0,0.04,0.04,0.0,0.0,0.0,0.11,0.04,0.04,0.04,0.17,0.21,2.32,6.38,3.92,0.54,0.07,13.3,0.0,0.0,14.9,0.0,0.08,-0.04,-0.04,56.53,68.35,82.7,954.03,304.85,27.56,29.23,94.3,24.37,28.25,86.3,3.99,8.59,46.4,0.16,1.45,5.44,1.12,0.62,57.26,10.88,1.81,0.15,0.22,5.33,6.93,2.14,1.49,0.4,0.0,0.22,1.27,2.9,2.47,0.33,0.04,0.04,0.0,0.04,0.15,0.15,0.0,0.0,0.0,0.0,0.0,1.41,0.8,0.91,0.36,0.15,1.12,1.85,60.8,0.73,0.36,0.15,0.76,2.18,1.96,0.07,75.57,3.34,19.54,34.09,22.48,1.92,75.57,0.65,0.25,38.9,0.36,55.6,40.14,179.17,103.27,1.89,0.22,0.91,0.47,50.73,0.0,0.4,0.29,0.11,0.0,0.04,0.04,3.81,0.25,0.51,33.3
Luis Díaz,1997-01-13,Liverpool,Right,Colombia,Att Mid / Wingers,2399,0.49,0.19,0.68,0.49,0.0,0.0,0.08,0.0,0.45,0.45,0.19,0.64,4.05,4.13,10.99,2.66,1.13,42.3,0.18,0.43,13.4,0.0,0.17,0.04,0.04,27.61,32.79,84.2,442.27,95.03,14.78,16.69,88.5,9.53,11.07,86.1,2.25,2.78,81.1,0.17,2.1,1.8,1.73,0.23,32.08,0.64,0.08,0.08,0.34,1.2,0.53,0.04,0.0,0.0,0.0,0.08,0.9,4.39,3.3,0.0,0.6,0.34,0.15,0.0,0.6,0.49,0.0,0.04,0.0,0.08,0.0,1.46,0.98,0.49,0.75,0.23,0.56,1.46,38.5,0.9,0.71,0.0,0.26,1.73,0.26,0.04,44.42,0.64,3.38,15.34,26.49,6.27,44.42,4.35,1.99,45.7,1.91,44.0,29.26,214.21,111.05,2.06,2.1,2.06,1.84,35.0,0.0,1.8,1.16,0.38,0.08,0.0,0.0,3.94,0.49,1.43,25.5
Trent Alexander-Arnold,1998-10-07,Liverpool,Right,England,Fullbacks,2365,0.11,0.23,0.34,0.11,0.0,0.0,0.19,0.0,0.07,0.07,0.28,0.35,1.94,8.83,3.58,1.71,0.3,17.8,0.07,0.38,23.6,0.11,0.04,0.04,0.04,55.1,75.01,73.5,1061.77,432.42,24.05,26.79,89.8,22.41,29.34,76.4,7.73,15.91,48.6,0.28,1.98,7.88,2.47,0.76,62.83,11.8,2.4,0.46,1.22,5.82,7.31,2.09,1.29,0.46,0.04,0.38,1.37,3.73,2.82,0.57,0.19,0.15,0.0,0.0,0.38,0.34,0.04,0.0,0.0,0.0,0.0,2.74,1.9,1.67,0.72,0.34,1.86,4.0,46.7,2.13,0.99,0.34,1.18,3.92,2.09,0.15,85.7,3.35,22.57,38.55,25.12,1.67,85.7,1.41,0.65,45.9,0.65,45.9,45.02,203.71,108.84,1.37,0.34,0.72,0.57,54.65,0.0,0.42,0.34,0.04,0.0,0.0,0.0,5.02,0.11,0.49,18.8
Cody Gakpo,1999-05-07,Liverpool,Right,Netherlands,Att Mid / Wingers,1935,0.47,0.19,0.65,0.47,0.0,0.0,0.23,0.0,0.33,0.33,0.2,0.53,2.74,2.42,12.93,2.65,1.02,38.6,0.18,0.45,15.1,0.0,0.12,0.13,0.13,22.33,29.49,75.7,319.53,77.02,13.86,15.95,86.9,6.93,10.47,66.2,0.88,1.67,52.8,0.18,1.77,1.12,1.26,0.37,28.65,0.74,0.19,0.14,0.19,3.44,0.51,0.05,0.0,0.0,0.0,0.09,0.47,3.72,2.65,0.0,0.42,0.33,0.23,0.09,0.37,0.14,0.0,0.14,0.05,0.05,0.0,1.3,0.74,0.28,0.6,0.42,0.6,1.16,52.0,0.56,1.07,0.14,0.56,1.86,0.88,0.05,41.3,1.3,4.23,12.0,25.91,5.12,41.3,2.84,1.44,50.8,0.98,34.4,28.14,200.93,102.7,1.58,1.3,2.09,1.12,31.49,0.0,0.93,1.44,0.23,0.05,0.0,0.0,3.58,0.79,1.21,39.5
