Player,Birthdate,Club,Footed,Nationality,Position,Minutes,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shots Total,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),xA: Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Offside,Passes Blocked,Shot-Creating Actions,SCA (Live-ball Pass),SCA (Dead-ball Pass),SCA (Take-On),SCA (Shot),SCA (Fouls Drawn),SCA (Defensive Action),Goal-Creating Actions,GCA (Live-ball Pass),GCA (Dead-ball Pass),GCA (Take-On),GCA (Shot),GCA (Fouls Drawn),GCA (Defensive Action),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Interceptions,Tkl+Int,Clearances,Errors,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Take-Ons Attempted,Successful Take-Ons,Successful Take-On %,Times Tackled During Take-On,Tackled During Take-On Percentage,Carries,Total Carrying Distance,Progressive Carrying Distance,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won
Amir Rrahmani,1994-02-24,Napoli,Right,Kosovo,Center Backs,3406,0.03,0.08,0.11,0.03,0.0,0.0,0.05,0.0,0.08,0.08,0.03,0.11,0.79,4.97,0.05,0.74,0.08,10.7,0.04,0.33,9.2,0.0,0.1,-0.05,-0.05,66.88,73.49,91.0,1318.63,454.78,22.83,24.07,94.8,35.65,37.28,95.6,7.74,10.75,72.0,0.02,0.29,5.34,0.24,0.0,69.65,3.81,2.67,0.05,0.4,0.03,0.26,0.0,0.0,0.0,0.0,0.03,0.29,1.11,0.92,0.05,0.0,0.13,0.0,0.0,0.11,0.05,0.03,0.0,0.03,0.0,0.0,1.03,0.82,0.5,0.5,0.03,0.42,0.66,64.0,0.24,1.14,0.69,0.71,1.74,4.73,0.05,83.29,7.08,35.8,44.58,3.12,0.9,83.29,0.16,0.11,66.7,0.05,33.3,49.12,235.81,133.49,0.5,0.0,0.24,0.16,59.56,0.0,1.11,0.42,0.0,0.0,0.0,0.03,3.57,3.28,1.45,69.3
Giovanni Di Lorenzo,1993-08-04,Napoli,Right,Italy,Fullbacks,3330,0.08,0.05,0.14,0.08,0.0,0.0,0.16,0.0,0.08,0.08,0.11,0.18,1.35,6.05,4.41,0.57,0.16,28.6,0.14,0.5,11.4,0.0,0.15,0.01,0.01,50.54,60.43,83.6,793.84,265.84,27.11,29.7,91.3,19.78,22.97,86.1,2.78,4.81,57.9,0.11,1.0,4.59,1.46,0.22,50.41,9.65,1.51,0.05,0.19,1.7,8.08,0.0,0.0,0.0,0.0,0.38,1.3,2.16,1.95,0.11,0.0,0.05,0.03,0.03,0.22,0.19,0.0,0.0,0.03,0.0,0.0,1.78,1.19,0.95,0.68,0.16,1.14,1.76,64.6,0.62,0.51,0.16,0.84,2.62,2.3,0.03,68.68,3.14,18.41,33.03,17.49,1.81,68.68,0.84,0.11,12.9,0.51,61.3,32.49,136.05,72.3,0.84,0.16,0.76,0.38,45.97,0.0,1.24,1.38,0.14,0.0,0.0,0.0,2.54,1.22,1.24,49.5
Romelu Lukaku,1993-05-13,Napoli,Left,Belgium,Forwards,2843,0.44,0.32,0.76,0.35,0.1,0.13,0.13,0.0,0.41,0.31,0.13,0.44,0.98,1.14,6.93,1.9,0.63,33.3,0.18,0.55,14.3,0.03,0.17,0.03,0.04,11.17,15.73,71.0,139.51,20.86,6.81,8.61,79.0,2.91,4.05,71.9,0.35,0.6,57.9,0.08,1.11,0.47,0.35,0.03,14.31,1.42,0.03,0.19,0.06,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.66,2.41,1.99,0.0,0.06,0.28,0.06,0.0,0.51,0.47,0.0,0.03,0.0,0.0,0.0,0.13,0.06,0.0,0.06,0.06,0.03,0.13,25.0,0.1,0.22,0.06,0.03,0.16,0.54,0.0,22.95,0.57,1.08,9.69,12.28,4.53,22.82,0.82,0.19,23.1,0.57,69.2,12.03,50.9,21.43,0.41,0.73,1.74,1.68,18.65,0.0,1.49,1.14,0.76,0.0,0.0,0.0,1.08,1.33,1.77,42.9
Matteo Politano,1993-08-03,Napoli,Left,Italy,Att Mid / Wingers,2804,0.1,0.13,0.22,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.15,0.25,4.33,4.14,8.92,1.8,0.45,25.0,0.05,0.21,19.5,0.03,0.06,0.0,0.0,28.02,40.47,69.2,472.79,153.62,13.9,15.92,87.3,10.91,15.18,71.9,2.47,6.07,40.7,0.17,1.8,2.09,1.77,0.74,36.3,3.95,0.58,0.03,0.32,7.35,0.83,2.5,2.12,0.1,0.03,0.22,1.83,3.37,2.34,0.64,0.16,0.13,0.1,0.0,0.32,0.26,0.03,0.0,0.0,0.03,0.0,0.93,0.48,0.55,0.35,0.03,0.48,1.38,34.9,0.9,0.67,0.03,0.42,1.35,1.6,0.03,50.1,1.57,7.48,17.11,25.81,2.89,50.1,2.57,1.03,40.0,1.16,45.0,29.53,205.87,104.76,1.83,1.22,1.51,0.77,36.49,0.0,0.45,1.0,0.19,0.03,0.0,0.0,3.05,0.19,0.64,23.1
Scott McTominay,1996-12-08,Napoli,Right,Scotland,Midfielders,2938,0.37,0.12,0.49,0.37,0.0,0.0,0.09,0.0,0.23,0.23,0.08,0.31,1.72,3.43,4.01,2.33,1.01,43.4,0.16,0.36,15.3,0.06,0.1,0.14,0.14,23.8,28.31,84.1,386.74,89.75,11.82,13.33,88.7,9.16,10.51,87.2,1.9,2.63,72.1,0.05,0.8,2.21,0.67,0.03,27.85,0.4,0.21,0.28,0.25,0.34,0.12,0.0,0.0,0.0,0.0,0.06,0.61,2.11,1.38,0.0,0.09,0.43,0.15,0.06,0.31,0.18,0.0,0.03,0.06,0.03,0.0,1.32,0.77,0.37,0.83,0.12,0.55,1.1,50.0,0.55,0.67,0.15,0.74,2.05,1.56,0.0,40.25,1.59,7.23,21.99,11.76,3.25,40.25,2.7,1.19,44.3,1.07,39.8,22.24,125.84,61.05,1.23,0.46,2.08,1.47,28.92,0.0,1.38,1.84,0.15,0.03,0.0,0.0,4.38,2.02,1.53,56.9
Andre-Frank Zambo Anguissa,1995-11-16,Napoli,Right,Cameroon,Midfielders,2852,0.19,0.13,0.32,0.19,0.0,0.0,0.16,0.0,0.14,0.14,0.08,0.21,0.76,4.54,3.76,1.39,0.38,27.3,0.14,0.5,16.7,0.0,0.1,0.05,0.05,40.23,47.62,84.5,608.7,156.52,22.28,24.99,89.1,14.74,16.79,87.8,2.08,2.93,71.0,0.08,0.82,4.04,0.66,0.06,46.7,0.92,0.57,0.03,0.19,0.73,0.35,0.0,0.0,0.0,0.0,0.0,0.79,2.37,1.93,0.0,0.16,0.13,0.03,0.13,0.28,0.19,0.0,0.06,0.0,0.03,0.0,1.33,0.82,0.25,0.88,0.19,0.47,1.07,44.1,0.6,0.76,0.19,1.1,2.43,1.26,0.03,57.59,1.86,10.1,33.54,14.55,2.3,57.59,1.48,0.79,53.2,0.57,38.3,28.87,128.69,47.02,0.82,0.25,1.51,1.1,41.81,0.0,1.23,1.14,0.06,0.03,0.03,0.0,4.73,2.11,1.58,57.3
Stanislav Lobotka,1994-11-25,Napoli,Right,Slovakia,Midfielders,2636,0.0,0.03,0.03,0.0,0.0,0.0,0.1,0.0,0.01,0.01,0.04,0.05,1.02,4.03,1.09,0.24,0.0,0.0,0.0,,23.3,0.0,0.05,-0.01,-0.01,54.63,60.16,90.8,961.49,230.29,23.9,26.32,90.8,25.13,26.49,94.8,4.68,5.63,83.0,0.06,0.58,3.76,0.68,0.03,58.69,1.3,1.3,0.1,0.34,0.07,0.0,0.0,0.0,0.0,0.0,0.17,0.34,1.84,1.6,0.14,0.0,0.07,0.0,0.03,0.2,0.17,0.03,0.0,0.0,0.0,0.0,1.6,1.02,0.55,0.72,0.34,0.65,1.06,61.3,0.41,0.99,0.38,0.72,2.32,1.95,0.03,67.16,3.59,18.64,39.06,10.04,0.31,67.16,0.38,0.27,72.7,0.1,27.3,38.34,182.66,70.81,0.82,0.07,0.44,0.41,49.81,0.0,0.82,1.06,0.0,0.0,0.03,0.0,5.67,0.2,0.2,50.0
Mathías Olivera,1997-10-31,Napoli,Left,Uruguay,Fullbacks,2370,0.0,0.08,0.08,0.0,0.0,0.0,0.15,0.0,0.04,0.04,0.06,0.11,1.75,4.78,2.35,0.61,0.08,12.5,0.0,0.0,16.5,0.0,0.07,-0.04,-0.04,51.27,60.0,85.4,828.42,268.03,25.41,28.06,90.5,20.85,22.97,90.7,3.57,5.47,65.3,0.03,0.95,4.59,0.42,0.15,52.29,7.44,1.1,0.04,0.23,0.84,6.34,0.0,0.0,0.0,0.0,0.27,1.22,1.59,1.37,0.0,0.0,0.0,0.11,0.11,0.19,0.11,0.0,0.0,0.0,0.04,0.04,2.39,1.33,1.18,0.95,0.27,1.22,2.01,60.4,0.8,1.37,0.46,1.06,3.46,2.81,0.04,71.54,3.72,24.27,36.53,11.2,1.59,71.54,0.61,0.19,31.3,0.34,56.3,36.34,174.76,95.96,0.87,0.23,1.03,0.49,45.76,0.0,1.06,0.84,0.08,0.04,0.0,0.0,3.53,1.56,1.37,53.2
Alessandro Buongiorno,1999-06-06,Napoli,Left,Italy,Center Backs,1924,0.05,0.0,0.05,0.05,0.0,0.0,0.09,0.0,0.04,0.04,0.03,0.07,1.26,3.84,0.37,0.37,0.19,50.0,0.13,0.25,11.0,0.0,0.1,0.01,0.01,54.31,59.83,90.8,952.81,297.65,21.24,22.78,93.2,29.66,30.97,95.8,2.9,4.86,59.6,0.03,0.23,3.13,0.14,0.0,57.21,2.48,1.82,0.0,0.09,0.05,0.14,0.0,0.0,0.0,0.0,0.14,0.37,0.89,0.84,0.0,0.0,0.05,0.0,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.0,1.82,1.08,1.22,0.56,0.05,1.12,1.5,75.0,0.37,1.4,0.84,1.64,3.46,3.41,0.09,69.65,5.85,30.64,36.86,2.57,0.7,69.65,0.33,0.05,14.3,0.14,42.9,42.19,212.79,128.22,0.33,0.05,0.61,0.37,49.54,0.0,0.8,0.98,0.05,0.0,0.0,0.0,3.93,2.01,0.98,67.2
Leonardo Spinazzola,1993-03-25,Napoli,Right,Italy,Fullbacks,1517,0.06,0.06,0.12,0.06,0.0,0.0,0.06,0.0,0.05,0.05,0.21,0.25,4.92,5.22,4.81,0.71,0.24,33.3,0.08,0.25,17.1,0.0,0.07,0.01,0.01,42.12,53.1,79.3,734.36,222.54,18.69,20.53,91.0,18.45,22.31,82.7,4.09,7.18,57.0,0.2,1.54,3.68,2.02,0.47,44.08,8.84,0.89,0.18,0.3,3.86,7.24,0.71,0.3,0.18,0.0,0.18,1.54,2.79,2.25,0.24,0.18,0.06,0.06,0.0,0.18,0.18,0.0,0.0,0.0,0.0,0.0,1.01,0.59,0.36,0.53,0.12,0.59,1.36,43.5,0.77,0.71,0.06,0.53,1.54,1.84,0.06,62.35,2.25,14.48,28.0,20.41,2.25,62.35,3.8,1.66,43.8,1.72,45.3,35.77,265.67,148.56,3.8,1.42,1.01,1.07,40.28,0.0,0.36,0.77,0.06,0.0,0.0,0.0,3.68,0.18,0.18,50.0
