Player,Birthdate,League,Club,Footed,Nationality,Position,Minutes,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shots Total,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),xA: Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Offside,Passes Blocked,Shot-Creating Actions,SCA (Live-ball Pass),SCA (Dead-ball Pass),SCA (Take-On),SCA (Shot),SCA (Fouls Drawn),SCA (Defensive Action),Goal-Creating Actions,GCA (Live-ball Pass),GCA (Dead-ball Pass),GCA (Take-On),GCA (Shot),GCA (Fouls Drawn),GCA (Defensive Action),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Interceptions,Tkl+Int,Clearances,Errors,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Take-Ons Attempted,Successful Take-Ons,Successful Take-On %,Times Tackled During Take-On,Tackled During Take-On Percentage,Carries,Total Carrying Distance,Progressive Carrying Distance,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won
Jarne Steuckers,2002-02-04,BelgianPro,Genk,Left,Belgium,Att Mid / Wingers,2538,0.28,0.21,0.5,0.11,0.18,0.21,0.04,0.0,0.29,0.12,0.41,0.53,2.87,8.76,10.67,1.38,0.5,35.9,0.08,0.21,20.7,0.07,0.09,-0.01,-0.01,46.84,63.26,74.0,950.57,326.13,18.26,21.81,83.7,18.48,24.15,76.5,8.83,14.61,60.4,0.46,3.23,5.99,3.62,0.71,56.21,6.84,2.34,0.78,1.6,6.7,1.21,3.01,1.6,0.78,0.0,0.21,1.52,5.89,4.26,1.03,0.21,0.32,0.07,0.0,0.5,0.43,0.04,0.0,0.0,0.04,0.0,0.71,0.39,0.35,0.28,0.07,0.28,0.92,30.8,0.64,0.35,0.04,0.35,1.06,0.39,0.0,70.25,0.57,6.88,35.92,28.16,2.52,70.07,2.16,1.1,50.8,1.03,47.5,54.18,371.77,140.74,3.33,0.53,1.67,1.1,52.98,0.0,0.32,0.57,0.18,0.0,0.0,0.0,4.01,0.14,0.78,15.4
Tolu Arokodare,2000-11-23,BelgianPro,Genk,Right,Nigeria,Forwards,2314,0.66,0.19,0.86,0.66,0.0,0.04,0.08,0.0,0.88,0.85,0.12,0.97,0.97,1.21,6.73,4.9,1.56,31.7,0.13,0.43,11.9,0.04,0.18,-0.22,-0.19,13.46,17.97,74.9,188.32,23.06,7.97,10.42,76.5,3.54,4.47,79.1,0.74,0.93,79.2,0.08,1.13,0.89,0.39,0.0,17.77,0.12,0.0,0.04,0.12,0.12,0.04,0.0,0.0,0.0,0.0,0.08,0.39,2.99,1.98,0.0,0.23,0.54,0.23,0.0,0.35,0.19,0.0,0.0,0.12,0.04,0.0,0.62,0.31,0.12,0.27,0.23,0.19,0.54,35.7,0.35,0.35,0.08,0.16,0.78,1.36,0.04,31.35,1.48,2.1,13.22,16.41,8.44,31.31,1.63,0.7,42.9,0.86,52.4,21.62,118.59,34.58,0.7,0.74,3.27,1.28,24.7,0.0,1.05,1.21,0.54,0.12,0.0,0.0,1.94,4.01,2.33,63.2
Joris Kayembe,1994-08-08,BelgianPro,Genk,Left,Congo DR,Fullbacks,2446,0.04,0.04,0.07,0.04,0.0,0.0,0.07,0.0,0.02,0.02,0.08,0.11,2.54,5.67,5.96,0.44,0.07,16.7,0.08,0.5,19.7,0.0,0.05,0.01,0.01,62.4,72.85,85.7,1037.87,343.18,28.81,31.39,91.8,27.78,31.35,88.6,4.23,6.99,60.5,0.11,1.07,4.23,1.07,0.48,64.1,8.57,0.96,0.15,0.22,2.13,7.62,0.0,0.0,0.0,0.0,0.18,1.25,2.69,2.39,0.07,0.15,0.0,0.07,0.0,0.22,0.22,0.0,0.0,0.0,0.0,0.0,1.88,1.29,1.29,0.44,0.15,0.88,1.36,64.9,0.48,0.96,0.26,1.55,3.42,2.5,0.04,82.86,3.83,22.92,43.2,17.85,0.88,82.86,1.55,0.88,57.1,0.63,40.5,59.61,355.73,189.6,2.69,0.11,1.1,0.96,55.82,0.0,0.92,0.59,0.07,0.0,0.0,0.0,6.29,1.14,0.81,58.5
Mujaid Sadick,2000-03-14,BelgianPro,Genk,Right,Spain,Center Backs,2406,0.04,0.0,0.04,0.04,0.0,0.0,0.19,0.04,0.04,0.04,0.0,0.04,0.67,5.31,0.11,0.37,0.11,30.0,0.1,0.33,8.1,0.0,0.11,0.0,0.0,69.99,74.4,94.1,1295.69,416.56,22.44,23.27,96.5,41.82,43.39,96.4,4.53,5.84,77.6,0.01,0.04,4.6,0.0,0.0,71.56,2.77,1.53,0.0,0.22,0.0,0.34,0.0,0.0,0.0,0.0,0.07,0.45,0.67,0.52,0.0,0.0,0.07,0.0,0.07,0.11,0.11,0.0,0.0,0.0,0.0,0.0,2.09,1.35,1.12,0.86,0.11,0.94,1.2,78.1,0.26,1.42,1.05,0.79,2.88,3.97,0.04,84.31,9.46,37.0,46.65,1.12,0.56,84.31,0.37,0.19,50.0,0.15,40.0,66.62,361.95,181.16,0.15,0.0,0.52,0.37,62.66,0.0,0.9,0.49,0.0,0.0,0.04,0.0,4.83,0.94,1.16,44.6
Bryan Heynen,1997-02-06,BelgianPro,Genk,Right,Belgium,Midfielders,2351,0.0,0.08,0.08,0.0,0.0,0.0,0.11,0.0,0.07,0.07,0.11,0.18,1.26,9.88,1.72,1.0,0.23,23.1,0.0,0.0,18.8,0.0,0.07,-0.07,-0.07,59.64,68.41,87.2,1088.88,347.64,22.51,25.65,87.8,29.97,32.62,91.9,5.67,7.73,73.3,0.15,1.11,8.12,1.3,0.08,65.96,2.3,1.61,0.34,0.46,0.57,0.5,0.11,0.04,0.0,0.0,0.15,0.61,2.79,2.56,0.04,0.04,0.04,0.0,0.11,0.27,0.27,0.0,0.0,0.0,0.0,0.0,2.07,1.23,0.8,1.07,0.19,0.8,1.61,50.0,0.8,1.57,0.42,1.49,3.56,3.14,0.08,80.35,3.9,16.04,52.41,12.59,1.11,80.35,1.49,0.88,59.0,0.5,33.3,59.72,319.8,132.99,2.11,0.04,1.15,0.65,57.19,0.0,0.73,1.0,0.04,0.0,0.0,0.0,4.98,1.65,1.03,61.4
Patrik Hrošovský,1992-04-22,BelgianPro,Genk,Right,Slovakia,Att Mid / Wingers,1687,0.32,0.11,0.43,0.32,0.0,0.0,0.11,0.0,0.15,0.15,0.11,0.26,0.85,5.44,4.11,1.71,0.8,46.9,0.19,0.4,18.0,0.05,0.09,0.17,0.17,37.88,43.64,86.8,625.15,180.05,17.82,19.15,93.0,15.15,17.34,87.4,3.31,4.64,71.3,0.12,1.28,3.73,1.33,0.32,40.81,2.67,0.69,0.05,0.37,1.12,0.27,0.53,0.21,0.16,0.0,0.16,0.43,2.77,2.29,0.05,0.05,0.27,0.05,0.05,0.32,0.32,0.0,0.0,0.0,0.0,0.0,1.28,0.8,0.32,0.75,0.21,0.69,1.33,52.0,0.64,0.64,0.05,0.21,1.49,1.12,0.0,52.71,1.6,9.87,28.97,14.3,2.29,52.71,1.6,0.53,33.3,0.96,60.0,40.71,199.79,78.32,1.33,0.27,1.65,1.76,38.94,0.0,0.59,1.17,0.05,0.0,0.0,0.0,4.16,0.37,0.48,43.8
Nikolas Sattlberger,2004-01-18,BelgianPro,Genk,Both,Austria,Midfielders,1120,0.08,0.08,0.16,0.08,0.0,0.0,0.16,0.0,0.1,0.1,0.06,0.15,0.32,3.78,1.04,0.72,0.32,44.4,0.11,0.25,11.9,0.0,0.14,-0.02,-0.02,41.87,47.81,87.6,693.0,150.35,18.8,20.49,91.8,18.64,21.38,87.2,2.73,3.54,77.3,0.1,0.72,2.97,0.56,0.0,46.21,1.45,1.45,0.16,0.32,0.08,0.0,0.0,0.0,0.0,0.0,0.16,0.32,2.01,1.61,0.0,0.0,0.32,0.0,0.08,0.24,0.24,0.0,0.0,0.0,0.0,0.0,2.33,1.21,0.88,1.29,0.16,1.13,2.73,41.2,1.61,0.88,0.08,1.21,3.54,2.17,0.0,57.62,2.73,14.54,35.2,8.36,1.21,57.62,0.8,0.4,50.0,0.4,50.0,40.74,188.84,58.26,1.29,0.0,1.21,0.8,37.13,0.0,1.61,0.48,0.0,0.0,0.0,0.0,4.98,1.21,1.77,40.5
Andi Zeqiri,1999-06-22,BelgianPro,Standard Liège,Left,Switzerland,Forwards,1765,0.46,0.1,0.56,0.2,0.26,0.26,0.0,0.0,0.53,0.33,0.14,0.47,1.38,2.4,5.3,3.06,0.82,26.7,0.07,0.25,16.7,0.05,0.11,-0.07,-0.12,11.73,16.78,69.9,201.98,47.37,5.2,7.14,72.9,4.9,6.32,77.4,1.12,1.43,78.6,0.08,0.76,1.58,0.41,0.05,14.89,1.68,0.0,0.2,0.15,0.31,0.05,0.0,0.0,0.0,0.0,0.2,1.02,2.24,1.33,0.0,0.36,0.46,0.1,0.0,0.2,0.1,0.0,0.05,0.05,0.0,0.0,0.66,0.31,0.15,0.36,0.15,0.2,0.56,36.4,0.36,0.36,0.1,0.15,0.82,0.87,0.0,28.5,0.92,1.89,14.74,12.29,4.69,28.25,1.58,0.51,32.3,0.97,61.3,17.03,99.64,37.89,1.07,0.66,2.7,1.68,18.15,0.0,1.73,0.66,1.07,0.0,0.0,0.0,2.75,2.35,3.21,42.2
Brandon Mechele,1993-01-28,BelgianPro,Club Brugge,Right,Belgium,Center Backs,2700,0.1,0.03,0.13,0.1,0.0,0.0,0.07,0.0,0.04,0.04,0.04,0.09,0.77,5.27,0.2,0.37,0.1,27.3,0.27,1.0,8.8,0.0,0.13,0.06,0.06,71.97,78.97,91.1,1522.07,553.57,18.0,20.23,89.0,42.93,44.4,96.7,10.23,13.0,78.7,0.05,0.3,4.87,0.13,0.0,75.57,3.37,1.4,0.0,0.43,0.0,0.1,0.0,0.0,0.0,0.0,0.03,0.3,0.87,0.77,0.0,0.0,0.07,0.0,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,1.63,1.07,0.97,0.57,0.1,0.7,1.2,58.3,0.5,1.47,0.8,1.3,2.93,4.53,0.07,89.27,12.13,43.8,43.17,2.77,1.07,89.27,0.07,0.03,50.0,0.03,50.0,66.73,365.1,182.07,0.33,0.03,0.43,0.13,64.07,0.0,0.47,0.47,0.0,0.0,0.03,0.0,4.47,3.07,1.27,70.8
Hans Vanaken,1992-08-24,BelgianPro,Club Brugge,Right,Belgium,Att Mid / Wingers,2583,0.31,0.35,0.66,0.31,0.0,0.0,0.1,0.0,0.25,0.25,0.21,0.46,1.88,8.29,4.53,1.57,0.84,53.3,0.2,0.38,13.3,0.1,0.16,0.06,0.06,58.22,65.99,88.2,1030.21,262.86,25.75,28.57,90.1,22.75,25.19,90.3,7.28,8.64,84.3,0.2,1.88,5.51,2.06,0.1,62.09,3.73,1.85,0.31,1.12,0.59,0.84,0.1,0.07,0.0,0.0,0.17,0.66,4.18,3.8,0.07,0.07,0.14,0.1,0.0,0.63,0.52,0.03,0.0,0.03,0.03,0.0,1.25,0.59,0.45,0.56,0.24,0.38,1.12,34.4,0.73,1.05,0.1,0.38,1.64,1.39,0.03,74.77,2.02,11.39,41.5,22.51,3.03,74.77,1.12,0.59,53.1,0.52,46.9,56.76,307.14,118.08,2.4,0.35,1.01,0.84,56.62,0.0,0.66,0.94,0.03,0.0,0.0,0.0,4.39,2.2,1.39,61.2
