Player,Birthdate,League,Club,Footed,Nationality,Position,Minutes,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shots Total,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),xA: Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Offside,Passes Blocked,Shot-Creating Actions,SCA (Live-ball Pass),SCA (Dead-ball Pass),SCA (Take-On),SCA (Shot),SCA (Fouls Drawn),SCA (Defensive Action),Goal-Creating Actions,GCA (Live-ball Pass),GCA (Dead-ball Pass),GCA (Take-On),GCA (Shot),GCA (Fouls Drawn),GCA (Defensive Action),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Interceptions,Tkl+Int,Clearances,Errors,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Take-Ons Attempted,Successful Take-Ons,Successful Take-On %,Times Tackled During Take-On,Tackled During Take-On Percentage,Carries,Total Carrying Distance,Progressive Carrying Distance,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won
Joe Rodon,1997-10-22,EFLChampionship,Leeds United,Right,Wales,Center Backs,4135,0.02,0.0,0.02,0.02,0.0,0.0,0.11,0.0,0.03,0.03,0.02,0.05,1.22,6.33,0.11,0.46,0.04,9.5,0.05,0.5,10.3,0.0,0.06,0.0,0.0,75.48,81.86,92.2,1407.77,486.59,25.29,26.66,94.9,44.18,46.45,95.1,5.44,7.36,74.0,0.05,0.3,5.44,0.09,0.0,79.77,1.92,1.18,0.15,0.02,0.02,0.3,0.0,0.0,0.0,0.0,0.17,0.24,1.22,1.11,0.0,0.02,0.09,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.91,0.54,0.59,0.26,0.07,0.37,0.48,77.3,0.11,0.67,0.44,0.63,1.55,5.16,0.04,91.02,5.62,38.46,49.89,2.92,0.81,91.02,0.13,0.09,66.7,0.02,16.7,57.59,298.36,179.83,0.48,0.0,0.26,0.07,69.93,0.0,0.63,0.74,0.0,0.0,0.04,0.0,4.03,2.59,1.76,59.5
Jayden Bogle,2000-07-27,EFLChampionship,Leeds United,Right,England,Fullbacks,3824,0.14,0.09,0.24,0.14,0.0,0.0,0.28,0.0,0.12,0.12,0.16,0.29,2.89,4.54,6.21,1.11,0.33,29.8,0.13,0.43,14.4,0.0,0.11,0.02,0.02,42.08,54.91,76.6,655.28,224.08,22.03,24.88,88.6,17.06,21.68,78.7,2.0,5.11,39.2,0.14,0.87,3.53,1.08,0.24,43.26,11.56,1.32,0.14,0.05,2.07,10.21,0.02,0.0,0.0,0.0,0.09,1.67,2.61,1.84,0.07,0.21,0.26,0.14,0.09,0.31,0.21,0.02,0.02,0.05,0.0,0.0,2.31,1.46,1.15,0.8,0.35,1.13,1.98,57.1,0.85,0.85,0.05,0.87,3.18,2.14,0.02,66.32,1.62,16.55,31.56,18.99,3.04,66.32,2.35,1.11,47.0,1.15,49.0,34.06,194.8,103.16,1.91,0.64,1.44,0.73,38.62,0.0,1.22,1.37,0.14,0.02,0.02,0.0,3.7,1.06,0.99,51.7
Brenden Aaronson,2000-10-22,EFLChampionship,Leeds United,Right,United States,Att Mid / Wingers,3551,0.23,0.05,0.28,0.23,0.0,0.0,0.03,0.0,0.29,0.29,0.14,0.43,2.13,4.06,6.16,2.18,0.66,30.2,0.1,0.35,16.5,0.08,0.13,-0.06,-0.06,26.05,32.77,79.5,347.61,76.49,15.89,18.45,86.1,7.65,9.28,82.5,0.86,1.62,53.1,0.15,1.85,2.13,1.24,0.25,31.66,0.79,0.25,0.3,0.03,1.55,0.1,0.41,0.18,0.15,0.0,0.33,0.94,3.68,2.74,0.13,0.3,0.3,0.18,0.03,0.33,0.25,0.0,0.0,0.08,0.0,0.0,1.44,0.84,0.46,0.61,0.38,0.43,1.27,34.0,0.84,1.01,0.03,0.2,1.65,0.2,0.03,45.04,0.23,3.65,18.73,23.34,4.33,45.04,2.79,1.29,46.4,1.37,49.1,27.52,148.65,66.4,1.7,0.91,2.61,2.84,33.86,0.0,1.09,1.7,0.13,0.0,0.0,0.0,3.09,0.58,1.44,28.8
Ao Tanaka,1998-09-10,EFLChampionship,Leeds United,Right,Japan,Midfielders,3314,0.14,0.05,0.19,0.14,0.0,0.0,0.22,0.0,0.1,0.1,0.07,0.17,1.03,7.03,1.17,1.17,0.3,25.6,0.12,0.45,20.5,0.0,0.08,0.04,0.04,64.61,72.43,89.2,1037.42,272.04,33.95,36.15,93.9,24.74,27.46,90.1,4.48,6.14,73.0,0.11,0.84,7.01,1.22,0.14,69.77,2.44,2.17,0.08,0.35,0.52,0.27,0.0,0.0,0.0,0.0,0.22,0.68,2.61,2.2,0.08,0.08,0.14,0.03,0.08,0.27,0.24,0.0,0.0,0.03,0.0,0.0,2.53,1.49,1.0,1.06,0.46,1.25,2.47,50.5,1.22,1.25,0.19,1.47,3.99,1.09,0.05,82.23,1.58,16.65,51.46,14.94,0.9,82.23,0.79,0.33,41.4,0.38,48.3,47.99,213.54,96.49,1.39,0.08,0.92,0.71,59.75,0.0,1.36,1.33,0.11,0.0,0.03,0.0,5.89,1.09,0.65,62.5
Joël Piroe,1999-08-02,EFLChampionship,Leeds United,Left,Netherlands,Forwards,3080,0.56,0.2,0.76,0.53,0.03,0.03,0.06,0.0,0.49,0.47,0.13,0.6,0.88,2.6,4.85,2.95,1.14,38.6,0.18,0.46,14.8,0.06,0.16,0.06,0.05,17.09,22.5,76.0,249.05,58.21,9.67,11.83,81.7,5.55,6.93,80.2,0.88,1.17,75.0,0.1,1.08,1.43,1.2,0.03,20.57,1.67,0.06,0.38,0.12,0.18,0.06,0.0,0.0,0.0,0.0,0.26,0.73,2.43,1.93,0.0,0.15,0.32,0.0,0.03,0.38,0.26,0.0,0.03,0.09,0.0,0.0,0.5,0.32,0.0,0.29,0.2,0.2,0.35,58.3,0.15,0.38,0.03,0.23,0.73,0.94,0.0,32.38,0.79,2.4,14.26,15.95,4.32,32.35,1.31,0.41,31.1,0.88,66.7,17.15,81.32,29.72,0.91,0.38,1.99,1.08,22.68,0.0,0.7,0.44,0.53,0.0,0.0,0.0,2.66,0.91,3.33,21.4
Pascal Struijk,1999-08-11,EFLChampionship,Leeds United,Left,Netherlands,Center Backs,2824,0.16,0.0,0.16,0.1,0.06,0.1,0.1,0.0,0.19,0.11,0.02,0.13,1.18,6.15,0.35,0.8,0.26,32.0,0.12,0.38,10.2,0.0,0.14,-0.03,-0.02,77.09,85.57,90.1,1308.38,482.73,34.13,36.27,94.1,37.83,40.44,93.5,3.92,6.47,60.6,0.04,0.35,6.92,0.13,0.0,81.97,3.35,1.94,0.13,0.06,0.03,0.48,0.0,0.0,0.0,0.0,0.26,0.64,1.34,1.15,0.0,0.0,0.16,0.0,0.03,0.26,0.19,0.0,0.0,0.06,0.0,0.0,1.05,0.76,0.45,0.45,0.16,0.57,0.89,64.3,0.32,0.8,0.41,0.89,1.94,4.49,0.0,95.7,5.9,39.42,51.95,4.56,1.4,95.61,0.19,0.03,16.7,0.13,66.7,59.5,292.37,156.19,0.64,0.03,0.48,0.29,69.6,0.0,0.83,0.67,0.03,0.0,0.0,0.0,3.95,3.6,2.2,62.1
Junior Firpo,1996-08-22,EFLChampionship,Leeds United,Left,Dominican Republic,Fullbacks,2616,0.14,0.34,0.48,0.14,0.0,0.0,0.24,0.0,0.14,0.14,0.23,0.37,2.27,5.44,8.12,0.96,0.34,35.7,0.14,0.4,11.1,0.0,0.15,0.0,0.0,51.09,63.3,80.7,755.75,245.61,28.97,32.48,89.2,18.99,22.81,83.3,1.75,3.65,48.1,0.19,1.62,3.51,0.96,0.21,52.67,10.36,0.83,0.07,0.14,2.17,9.53,0.0,0.0,0.0,0.0,0.28,1.86,3.3,2.58,0.14,0.14,0.28,0.1,0.07,0.58,0.41,0.03,0.03,0.03,0.03,0.03,2.27,1.17,0.89,1.03,0.34,1.17,2.03,57.6,0.86,0.86,0.24,1.27,3.54,3.51,0.0,75.65,2.58,17.79,33.65,24.7,3.78,75.65,1.24,0.48,38.9,0.58,47.2,36.81,159.46,85.25,1.69,0.55,1.0,0.79,46.1,0.0,1.58,1.45,0.31,0.0,0.0,0.03,3.92,2.1,1.48,58.7
Daniel James,1997-11-10,EFLChampionship,Leeds United,Right,Wales,Att Mid / Wingers,2609,0.41,0.31,0.72,0.41,0.0,0.0,0.14,0.0,0.36,0.36,0.3,0.66,4.04,3.45,10.38,3.42,1.21,35.4,0.12,0.34,18.7,0.03,0.1,0.06,0.06,16.39,28.22,58.1,238.54,97.28,9.14,12.38,73.8,5.38,9.38,57.4,0.93,2.97,31.4,0.3,1.52,1.55,2.17,0.9,27.56,0.59,0.03,0.17,0.03,5.83,0.21,0.35,0.17,0.14,0.0,0.07,1.76,3.28,2.35,0.07,0.17,0.35,0.24,0.1,0.52,0.41,0.0,0.03,0.0,0.07,0.0,0.97,0.48,0.1,0.59,0.28,0.45,1.69,26.5,1.24,0.55,0.0,0.14,1.1,0.28,0.0,38.29,0.35,2.45,10.94,25.39,4.55,38.29,2.35,0.86,36.8,1.14,48.5,24.46,188.21,105.18,1.97,1.48,1.28,1.28,28.32,0.0,0.76,1.28,0.35,0.07,0.0,0.0,2.62,0.79,1.28,38.3
Manor Solomon,1999-07-24,EFLChampionship,Leeds United,Right,Israel,Att Mid / Wingers,2589,0.35,0.42,0.76,0.35,0.0,0.0,0.1,0.0,0.28,0.28,0.42,0.7,5.01,3.86,11.12,2.09,0.83,40.0,0.17,0.42,16.3,0.03,0.14,0.07,0.07,31.98,39.66,80.6,468.6,120.17,19.05,21.07,90.4,10.36,12.83,80.8,1.56,3.13,50.0,0.36,2.33,1.49,2.33,0.45,36.74,2.57,0.52,0.21,0.07,4.97,0.17,1.84,1.29,0.31,0.0,0.35,1.04,5.11,3.51,0.49,0.42,0.42,0.21,0.07,0.76,0.63,0.0,0.1,0.03,0.0,0.0,1.04,0.83,0.35,0.21,0.49,0.56,1.29,43.2,0.73,0.8,0.0,0.42,1.46,0.17,0.03,49.71,0.28,3.93,15.75,30.94,4.94,49.71,4.48,2.43,54.3,1.56,34.9,33.75,237.39,123.48,2.36,2.02,2.05,1.04,37.75,0.0,0.45,1.49,0.52,0.0,0.0,0.0,4.52,0.0,0.35,0.0
Ethan Ampadu,2000-09-14,EFLChampionship,Leeds United,Right,Wales,Center Backs,2285,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.02,0.02,0.06,0.08,1.02,4.18,0.35,0.43,0.08,18.2,0.0,0.0,23.8,0.0,0.05,-0.02,-0.02,78.62,88.07,89.3,1395.18,466.42,32.38,34.35,94.3,39.39,41.79,94.3,5.75,9.49,60.6,0.06,0.55,6.66,0.59,0.08,83.78,3.86,2.09,0.43,0.43,0.2,1.02,0.0,0.0,0.0,0.0,0.43,0.35,1.73,1.54,0.04,0.0,0.04,0.08,0.04,0.16,0.12,0.0,0.0,0.0,0.0,0.04,1.85,1.06,0.71,0.95,0.2,1.02,1.54,66.7,0.51,1.02,0.59,0.98,2.84,3.47,0.0,97.76,5.91,34.07,58.61,5.91,0.51,97.76,0.28,0.16,57.1,0.04,14.3,59.16,263.78,151.52,0.83,0.04,0.79,0.43,71.68,0.0,1.5,1.42,0.0,0.0,0.0,0.0,5.08,2.4,0.98,70.9
