Player,Birthdate,League,Club,Footed,Nationality,Position,Minutes,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shots Total,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),xA: Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Offside,Passes Blocked,Shot-Creating Actions,SCA (Live-ball Pass),SCA (Dead-ball Pass),SCA (Take-On),SCA (Shot),SCA (Fouls Drawn),SCA (Defensive Action),Goal-Creating Actions,GCA (Live-ball Pass),GCA (Dead-ball Pass),GCA (Take-On),GCA (Shot),GCA (Fouls Drawn),GCA (Defensive Action),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Interceptions,Tkl+Int,Clearances,Errors,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Take-Ons Attempted,Successful Take-Ons,Successful Take-On %,Times Tackled During Take-On,Tackled During Take-On Percentage,Carries,Total Carrying Distance,Progressive Carrying Distance,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won
Ryan Flamingo,2002-12-31,Eredivisie,PSV Eindhoven,Right,Netherlands,Center Backs,2939,0.0,0.06,0.06,0.0,0.0,0.0,0.06,0.0,0.08,0.08,0.03,0.1,0.92,6.4,0.34,0.73,0.09,12.5,0.0,0.0,11.6,0.0,0.11,-0.08,-0.08,80.42,88.96,90.4,1597.19,552.89,24.56,26.49,92.7,46.64,49.03,95.1,8.3,11.45,72.5,0.05,0.21,8.15,0.21,0.0,86.91,2.05,1.81,0.12,0.55,0.03,0.25,0.0,0.0,0.0,0.0,0.0,0.4,1.19,0.98,0.03,0.0,0.12,0.0,0.06,0.18,0.15,0.0,0.0,0.03,0.0,0.0,1.35,0.8,0.73,0.52,0.09,0.7,1.07,65.7,0.37,1.22,0.55,1.22,2.57,4.35,0.09,100.14,6.22,36.56,60.23,3.71,1.13,100.14,0.18,0.12,66.7,0.03,16.7,62.72,341.35,192.52,0.46,0.0,0.49,0.09,73.95,0.0,0.77,0.49,0.0,0.0,0.0,0.0,3.71,2.88,1.75,62.3
Olivier Boscagli,1997-11-18,Eredivisie,PSV Eindhoven,Left,France,Center Backs,2562,0.04,0.21,0.25,0.04,0.0,0.0,0.07,0.0,0.05,0.05,0.14,0.19,1.51,12.75,0.56,0.63,0.14,22.2,0.06,0.25,27.9,0.04,0.08,-0.02,-0.02,86.73,99.2,87.4,1824.1,742.83,25.43,27.86,91.3,47.74,50.97,93.7,13.24,18.55,71.4,0.19,1.05,14.4,1.62,0.11,96.04,2.7,1.44,0.42,1.19,0.6,0.21,0.04,0.0,0.0,0.0,0.46,0.67,2.95,2.81,0.04,0.04,0.04,0.0,0.04,0.46,0.46,0.0,0.0,0.0,0.0,0.0,2.04,1.3,1.02,0.88,0.14,1.19,1.51,79.1,0.32,0.77,0.49,1.33,3.37,3.51,0.04,108.76,7.52,35.87,63.41,9.91,0.67,108.76,0.25,0.18,71.4,0.04,14.3,66.53,326.38,211.79,2.39,0.07,0.53,0.25,82.41,0.0,0.63,0.84,0.04,0.0,0.0,0.0,6.04,1.26,0.81,61.0
Luuk de Jong,1990-08-27,Eredivisie,PSV Eindhoven,Right,Netherlands,Forwards,2445,0.52,0.29,0.81,0.44,0.07,0.15,0.11,0.0,0.66,0.54,0.3,0.84,0.4,2.61,6.99,3.46,1.03,29.8,0.13,0.43,10.4,0.0,0.16,-0.14,-0.1,21.53,29.12,74.0,279.61,48.88,12.99,16.42,79.1,5.89,8.21,71.7,0.81,1.25,64.7,0.22,2.02,0.96,0.99,0.0,27.98,1.1,0.0,0.04,0.0,0.22,0.11,0.0,0.0,0.0,0.0,0.04,0.63,3.5,2.91,0.04,0.07,0.37,0.07,0.04,0.44,0.44,0.0,0.0,0.0,0.0,0.0,0.85,0.48,0.11,0.44,0.29,0.33,1.07,31.0,0.74,0.7,0.18,0.18,1.03,1.4,0.0,40.23,1.51,3.06,15.39,22.01,8.47,40.09,0.55,0.18,33.3,0.37,66.7,15.72,45.87,16.45,0.55,0.29,2.39,0.85,29.34,0.0,0.55,0.85,0.18,0.0,0.0,0.0,2.25,5.15,3.17,61.9
Guus Til,1997-12-22,Eredivisie,PSV Eindhoven,Right,Netherlands,Midfielders,2019,0.45,0.49,0.94,0.45,0.0,0.0,0.09,0.0,0.47,0.47,0.31,0.78,1.78,3.43,8.92,2.85,1.52,53.1,0.16,0.29,12.0,0.0,0.17,-0.03,-0.03,26.43,33.03,80.0,378.68,79.79,14.93,17.03,87.7,9.0,10.88,82.8,1.2,1.74,69.2,0.28,1.38,1.83,1.2,0.31,32.54,0.45,0.0,0.13,0.04,1.92,0.13,0.0,0.0,0.0,0.0,0.04,1.07,2.72,2.18,0.0,0.09,0.22,0.13,0.09,0.85,0.71,0.0,0.0,0.04,0.04,0.04,1.16,0.58,0.27,0.53,0.36,0.45,1.2,37.0,0.76,0.94,0.18,0.27,1.43,0.45,0.0,42.35,0.62,3.61,16.94,22.24,6.64,42.35,1.56,0.45,28.6,1.07,68.6,24.07,109.52,47.47,0.94,0.76,1.25,1.29,33.16,0.0,1.03,0.89,0.13,0.04,0.0,0.0,2.5,1.07,0.98,52.2
Mauro Júnior,1999-05-06,Eredivisie,PSV Eindhoven,Left,Brazil,Fullbacks,2011,0.0,0.27,0.27,0.0,0.0,0.0,0.04,0.0,0.06,0.06,0.22,0.29,2.6,5.42,5.86,0.94,0.27,28.6,0.0,0.0,21.2,0.0,0.07,-0.06,-0.06,64.27,73.26,87.7,1011.21,268.84,34.28,36.65,93.5,23.99,26.94,89.0,4.03,6.04,66.7,0.21,1.43,4.39,1.66,0.67,65.74,7.47,0.63,0.13,0.27,2.69,6.49,0.27,0.0,0.0,0.0,0.04,0.9,3.71,3.13,0.18,0.22,0.09,0.04,0.04,0.63,0.63,0.0,0.0,0.0,0.0,0.0,2.42,1.61,1.25,0.67,0.49,1.52,2.46,61.8,0.94,0.94,0.09,0.85,3.27,2.06,0.0,83.96,2.6,19.65,39.56,25.87,2.28,83.96,2.69,1.39,51.7,1.21,45.0,47.44,254.38,136.59,2.06,0.58,1.16,0.45,54.33,0.0,0.58,0.4,0.09,0.0,0.0,0.0,7.16,0.58,0.81,41.9
Noa Lang,1999-06-17,Eredivisie,PSV Eindhoven,Right,Netherlands,Att Mid / Wingers,1894,0.52,0.48,1.0,0.52,0.0,0.0,0.05,0.0,0.26,0.26,0.29,0.55,7.94,7.03,12.4,2.99,1.14,38.1,0.17,0.46,16.7,0.0,0.09,0.27,0.27,42.81,55.5,77.1,672.72,200.96,24.04,27.85,86.3,14.16,18.2,77.8,3.37,5.42,62.3,0.46,2.8,3.28,3.14,0.67,49.66,5.65,0.52,0.19,0.24,5.42,1.38,3.71,0.67,0.9,0.0,0.19,2.23,6.75,5.27,0.71,0.29,0.19,0.24,0.05,1.19,0.9,0.19,0.0,0.05,0.05,0.0,1.05,0.76,0.29,0.48,0.29,0.33,0.9,36.8,0.57,0.86,0.05,0.29,1.33,0.33,0.0,68.0,0.52,3.66,21.0,44.48,8.41,68.0,4.13,1.43,34.5,2.61,63.2,44.91,376.68,210.84,4.51,4.13,2.28,1.28,50.94,0.0,0.48,1.24,0.1,0.0,0.0,0.0,4.85,0.29,0.62,31.6
Malik Tillman,2002-05-28,Eredivisie,PSV Eindhoven,Right,United States,Midfielders,1915,0.56,0.09,0.66,0.56,0.0,0.0,0.09,0.0,0.31,0.31,0.29,0.61,2.82,5.45,6.72,2.73,1.17,43.1,0.21,0.48,17.9,0.28,0.12,0.25,0.25,38.58,47.47,81.3,639.12,135.82,18.94,21.15,89.6,15.23,18.38,82.9,3.01,4.79,62.7,0.28,1.88,2.63,1.6,0.19,43.75,3.52,0.8,0.8,0.24,1.69,1.64,0.71,0.19,0.33,0.0,0.19,0.89,4.37,3.43,0.05,0.33,0.24,0.09,0.24,0.33,0.28,0.0,0.05,0.0,0.0,0.0,2.77,1.83,0.89,1.41,0.47,1.22,1.69,72.2,0.47,1.64,0.24,1.41,4.18,0.85,0.05,62.46,2.02,9.4,27.68,26.88,4.65,62.46,3.43,1.97,57.5,1.27,37.0,32.29,189.87,103.02,1.83,0.99,2.4,1.79,41.22,0.0,1.41,1.69,0.14,0.0,0.0,0.0,7.24,1.22,0.47,72.2
Joey Veerman,1998-11-19,Eredivisie,PSV Eindhoven,Right,Netherlands,Midfielders,1830,0.05,0.39,0.44,0.05,0.0,0.0,0.15,0.0,0.14,0.14,0.35,0.5,1.62,13.97,2.41,1.52,0.69,45.2,0.03,0.07,20.4,0.05,0.09,-0.09,-0.09,69.15,85.43,80.9,1338.25,494.26,28.33,31.08,91.1,29.8,34.62,86.1,9.79,16.48,59.4,0.48,3.49,10.92,3.59,0.34,75.84,9.34,2.46,0.74,0.74,8.41,0.49,6.0,2.41,3.15,0.0,0.25,0.93,6.49,4.28,1.82,0.1,0.3,0.0,0.0,1.03,0.79,0.2,0.0,0.05,0.0,0.0,1.72,1.08,0.49,0.79,0.44,0.93,2.31,40.4,1.38,1.18,0.34,0.39,2.11,1.97,0.0,94.38,2.7,13.92,47.85,33.15,1.82,94.38,0.84,0.49,58.8,0.34,41.2,50.9,219.49,106.52,1.82,0.34,0.59,0.69,66.59,0.0,0.89,0.39,0.0,0.0,0.0,0.0,5.75,0.79,0.49,61.5
Ivan Perišić,1989-02-02,Eredivisie,PSV Eindhoven,Both,Croatia,Att Mid / Wingers,1799,0.45,0.45,0.9,0.45,0.0,0.0,0.2,0.0,0.24,0.24,0.27,0.52,3.75,4.65,12.41,2.1,0.85,40.5,0.21,0.53,15.2,0.0,0.12,0.21,0.21,36.67,50.68,72.4,594.03,159.69,20.66,24.21,85.3,10.96,15.81,69.3,3.85,6.8,56.6,0.34,2.05,2.25,2.6,1.5,48.08,2.45,0.05,0.45,0.45,7.65,1.65,0.55,0.35,0.15,0.0,0.15,1.8,3.85,3.35,0.15,0.15,0.1,0.05,0.05,0.65,0.6,0.05,0.0,0.0,0.0,0.0,1.15,0.9,0.3,0.6,0.25,0.75,1.8,41.7,1.05,1.5,0.1,0.3,1.45,1.1,0.0,60.78,1.25,5.85,21.71,33.72,5.2,60.78,1.45,0.75,51.7,0.65,44.8,35.17,190.86,94.15,1.75,1.35,1.45,0.8,44.93,0.0,0.85,0.35,0.25,0.05,0.0,0.0,3.9,0.9,0.9,50.0
Richy Ledezma,2000-09-06,Eredivisie,PSV Eindhoven,Right,United States,Fullbacks,1709,0.05,0.05,0.11,0.05,0.0,0.0,0.26,0.0,0.03,0.03,0.1,0.13,1.95,8.9,5.21,0.84,0.37,43.8,0.06,0.14,24.4,0.0,0.04,0.02,0.02,78.99,88.21,89.6,1279.38,348.62,39.71,41.5,95.7,33.23,36.81,90.3,4.53,6.74,67.2,0.14,1.16,8.06,1.84,0.84,79.52,8.64,0.95,0.0,0.32,3.27,7.69,0.0,0.0,0.0,0.0,0.05,1.05,2.58,2.0,0.11,0.11,0.26,0.05,0.05,0.37,0.37,0.0,0.0,0.0,0.0,0.0,1.42,1.0,0.53,0.53,0.37,0.74,1.47,50.0,0.74,0.58,0.16,0.79,2.21,1.37,0.11,95.48,2.05,18.64,52.29,25.33,0.95,95.48,1.26,0.58,45.8,0.63,50.0,54.14,227.76,102.11,1.26,0.21,0.63,0.32,67.83,0.0,0.63,0.74,0.0,0.0,0.0,0.0,6.42,1.11,0.74,60.0
