Player,Birthdate,League,Club,Footed,Nationality,Position,Minutes,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shots Total,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),xA: Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Offside,Passes Blocked,Shot-Creating Actions,SCA (Live-ball Pass),SCA (Dead-ball Pass),SCA (Take-On),SCA (Shot),SCA (Fouls Drawn),SCA (Defensive Action),Goal-Creating Actions,GCA (Live-ball Pass),GCA (Dead-ball Pass),GCA (Take-On),GCA (Shot),GCA (Fouls Drawn),GCA (Defensive Action),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Interceptions,Tkl+Int,Clearances,Errors,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Take-Ons Attempted,Successful Take-Ons,Successful Take-On %,Times Tackled During Take-On,Tackled During Take-On Percentage,Carries,Total Carrying Distance,Progressive Carrying Distance,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won
Pedri,2002-11-25,LaLiga,Barcelona,Right,Spain,Midfielders,2879,0.13,0.16,0.28,0.13,0.0,0.0,0.09,0.0,0.07,0.07,0.23,0.3,2.88,11.25,4.25,0.78,0.34,44.0,0.16,0.36,19.6,0.0,0.09,0.06,0.06,75.15,85.94,87.4,1275.57,317.7,36.23,38.54,94.0,29.85,33.48,89.2,7.28,10.1,72.1,0.28,2.19,10.35,2.47,0.13,81.43,4.38,2.31,0.84,0.5,1.81,0.47,1.28,0.69,0.03,0.0,0.13,1.34,5.16,4.63,0.25,0.06,0.06,0.13,0.03,0.53,0.47,0.03,0.03,0.0,0.0,0.0,1.91,1.06,0.44,1.19,0.28,0.75,2.19,34.3,1.44,1.41,0.09,0.81,2.72,0.66,0.03,95.66,1.16,8.72,57.02,30.89,1.56,95.66,1.91,1.25,65.6,0.63,32.8,62.9,351.31,170.78,3.22,0.25,1.5,1.09,74.68,0.0,0.31,1.59,0.06,0.0,0.0,0.0,7.94,0.22,0.19,53.8
Raphinha,1996-12-14,LaLiga,Barcelona,Left,Brazil,Att Mid / Wingers,2839,0.57,0.29,0.86,0.51,0.06,0.06,0.13,0.0,0.61,0.56,0.4,0.96,2.98,4.28,11.06,3.55,1.27,35.7,0.14,0.4,19.1,0.57,0.16,-0.04,-0.05,33.73,47.46,71.1,563.43,156.38,17.66,20.95,84.3,11.35,15.03,75.5,3.58,7.89,45.4,0.32,2.88,2.76,2.12,0.57,39.94,7.13,1.55,0.35,0.48,6.82,0.6,4.44,1.52,1.3,0.0,0.38,1.14,5.17,3.2,0.98,0.25,0.38,0.32,0.03,0.7,0.35,0.06,0.13,0.06,0.06,0.03,1.14,0.7,0.19,0.6,0.35,0.6,1.24,48.7,0.63,0.92,0.06,0.35,1.49,0.82,0.0,59.06,0.98,3.61,20.95,35.28,5.8,59.0,3.27,1.65,50.5,1.39,42.7,32.21,177.27,90.82,2.09,1.46,1.68,0.92,41.72,0.0,0.35,1.17,0.32,0.06,0.0,0.0,2.98,0.29,0.19,60.0
Robert Lewandowski,1988-08-21,LaLiga,Barcelona,Right,Poland,Forwards,2667,0.91,0.07,0.98,0.81,0.1,0.14,0.03,0.0,0.91,0.81,0.08,0.89,0.91,1.62,5.53,3.75,1.52,40.5,0.22,0.53,13.2,0.17,0.22,0.0,0.0,12.92,17.62,73.4,163.87,30.37,8.23,10.02,82.2,3.07,4.02,76.5,0.44,0.91,48.1,0.05,0.64,1.05,0.3,0.0,16.97,0.51,0.03,0.1,0.2,0.17,0.0,0.0,0.0,0.0,0.0,0.14,0.74,1.69,1.11,0.0,0.14,0.27,0.17,0.0,0.1,0.07,0.0,0.0,0.03,0.0,0.0,0.34,0.17,0.03,0.17,0.14,0.17,0.37,45.5,0.2,0.47,0.07,0.1,0.44,0.88,0.0,28.38,1.08,1.99,10.6,16.03,6.04,28.25,1.18,0.67,57.1,0.44,37.1,15.93,60.24,19.88,0.37,0.54,2.53,1.52,22.51,0.0,1.01,1.32,0.57,0.0,0.0,0.0,1.52,1.25,1.32,48.7
Lamine Yamal,2007-07-13,LaLiga,Barcelona,Left,Spain,Att Mid / Wingers,2856,0.28,0.41,0.69,0.28,0.0,0.0,0.09,0.0,0.31,0.31,0.44,0.75,5.7,5.04,13.65,4.54,1.45,31.9,0.06,0.2,19.4,0.0,0.07,-0.03,-0.03,36.59,48.94,74.8,510.76,143.67,22.91,26.57,86.2,10.3,14.12,73.0,1.76,3.94,44.8,0.37,2.02,2.46,2.99,0.5,47.17,1.51,0.16,1.04,0.13,3.4,0.72,0.63,0.16,0.0,0.0,0.25,1.8,5.92,3.53,0.09,1.2,0.63,0.35,0.13,0.91,0.63,0.0,0.16,0.06,0.06,0.0,1.32,0.88,0.25,0.54,0.54,0.5,1.2,42.1,0.69,0.38,0.0,0.5,1.83,0.09,0.0,65.99,0.28,3.28,21.02,42.98,7.12,65.99,9.96,5.07,50.9,4.03,40.5,46.83,319.57,166.07,3.03,2.99,3.21,1.54,54.3,0.0,0.95,1.89,0.41,0.06,0.0,0.0,3.88,0.03,0.09,25.0
Jules Koundé,1998-11-12,LaLiga,Barcelona,Right,France,Fullbacks,2605,0.07,0.1,0.17,0.07,0.0,0.0,0.14,0.0,0.06,0.06,0.13,0.2,1.52,5.7,6.56,0.62,0.21,33.3,0.11,0.33,14.1,0.0,0.11,0.01,0.01,64.12,73.93,86.7,992.8,286.03,32.68,35.24,92.7,27.22,31.13,87.5,2.52,4.15,60.8,0.13,1.11,5.32,1.0,0.28,62.29,11.47,2.28,0.21,0.45,2.18,9.19,0.0,0.0,0.0,0.0,0.17,0.86,2.04,1.9,0.0,0.07,0.07,0.0,0.0,0.24,0.21,0.0,0.0,0.03,0.0,0.0,2.18,1.49,1.0,0.79,0.38,1.52,2.28,66.7,0.76,1.21,0.17,0.69,2.87,2.35,0.07,84.75,2.73,19.59,41.25,24.39,2.73,84.75,1.73,0.76,44.0,0.93,54.0,44.46,161.24,86.41,1.45,0.24,1.42,0.45,56.14,0.0,0.76,0.66,0.24,0.0,0.0,0.0,3.7,1.04,0.79,56.6
Iñigo Martínez,1991-05-17,LaLiga,Barcelona,Left,Spain,Center Backs,2490,0.0,0.14,0.14,0.0,0.0,0.0,0.18,0.0,0.02,0.02,0.09,0.11,2.53,9.4,0.4,0.47,0.07,15.4,0.0,0.0,13.5,0.0,0.04,-0.02,-0.02,80.13,88.01,91.0,1514.1,526.84,29.64,31.3,94.7,42.22,44.42,95.0,7.52,10.41,72.2,0.07,0.58,9.36,0.33,0.04,83.71,4.19,3.4,0.11,1.23,0.29,0.25,0.0,0.0,0.0,0.0,0.11,0.54,1.63,1.37,0.04,0.04,0.11,0.07,0.0,0.33,0.22,0.04,0.04,0.0,0.04,0.0,0.9,0.51,0.72,0.18,0.0,0.58,0.8,72.7,0.22,0.65,0.25,0.65,1.55,3.9,0.04,95.86,5.28,31.63,58.88,5.64,0.94,95.86,0.11,0.11,100.0,0.0,0.0,61.84,368.53,265.16,1.92,0.0,0.4,0.11,72.4,0.0,0.65,1.01,0.0,0.04,0.0,0.0,4.55,2.1,1.19,63.7
Alejandro Balde,2003-10-18,LaLiga,Barcelona,Left,Spain,Fullbacks,2284,0.0,0.16,0.16,0.0,0.0,0.0,0.08,0.0,0.02,0.02,0.13,0.15,4.22,3.66,9.69,0.47,0.12,25.0,0.0,0.0,22.0,0.0,0.04,-0.02,-0.02,51.46,58.48,88.0,754.91,157.07,28.92,30.93,93.5,19.51,21.55,90.5,1.69,2.8,60.6,0.11,1.02,2.01,1.54,0.43,50.71,7.61,1.26,0.12,0.08,2.64,6.34,0.0,0.0,0.0,0.0,0.16,1.1,2.99,2.36,0.12,0.12,0.12,0.28,0.0,0.47,0.39,0.0,0.0,0.0,0.08,0.0,0.71,0.39,0.39,0.2,0.12,0.43,0.67,64.7,0.24,0.95,0.2,0.2,0.91,1.06,0.0,67.82,1.5,12.22,33.22,23.49,1.85,67.82,4.33,1.81,41.8,1.73,40.0,42.36,261.61,136.46,2.68,0.63,1.73,1.06,49.06,0.0,0.63,1.46,0.0,0.0,0.0,0.0,4.81,0.63,0.35,64.0
Eric García,2001-01-09,LaLiga,Barcelona,Right,Spain,Midfielders,1566,0.11,0.17,0.29,0.11,0.0,0.0,0.23,0.0,0.13,0.13,0.05,0.18,1.03,6.26,1.26,0.8,0.46,57.1,0.14,0.25,10.7,0.0,0.17,-0.02,-0.02,70.92,77.01,92.1,1177.3,409.43,31.15,33.45,93.1,34.2,35.86,95.4,3.68,4.71,78.0,0.09,0.4,8.16,0.8,0.17,72.93,3.97,1.38,0.23,0.17,0.4,2.53,0.0,0.0,0.0,0.0,0.11,0.69,1.84,1.67,0.0,0.0,0.17,0.0,0.0,0.4,0.34,0.0,0.0,0.06,0.0,0.0,2.18,1.21,0.63,1.38,0.17,1.15,1.67,69.0,0.52,1.38,0.46,0.8,2.99,2.36,0.0,87.18,3.79,21.21,53.28,12.93,1.44,87.18,0.69,0.29,41.7,0.29,41.7,48.97,201.15,107.87,0.69,0.06,0.98,0.29,64.66,0.0,1.15,0.46,0.0,0.0,0.0,0.0,3.1,1.55,1.44,51.9
Gavi,2004-08-05,LaLiga,Barcelona,Right,Spain,Midfielders,1085,0.08,0.08,0.17,0.08,0.0,0.0,0.33,0.0,0.07,0.07,0.13,0.2,1.08,6.39,3.48,0.91,0.08,9.1,0.09,1.0,15.3,0.0,0.08,0.01,0.01,60.8,67.52,90.0,899.83,222.88,33.26,35.0,95.0,21.07,23.47,89.8,2.9,3.65,79.5,0.12,1.16,7.63,0.91,0.08,65.7,1.74,1.08,0.08,0.41,0.75,0.41,0.08,0.0,0.0,0.0,0.08,0.58,3.24,3.07,0.0,0.08,0.08,0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.0,2.49,1.74,0.83,1.24,0.41,1.24,2.16,57.7,0.91,1.16,0.08,0.83,3.32,0.58,0.0,78.22,0.83,8.88,49.85,19.91,2.82,78.22,1.49,0.75,50.0,0.41,27.8,46.2,188.63,93.57,1.33,0.08,1.58,0.75,59.06,0.0,3.15,2.16,0.08,0.0,0.0,0.0,5.06,1.74,2.16,44.7
Dani Olmo,1998-05-07,LaLiga,Barcelona,Right,Spain,Att Mid / Wingers,1212,0.74,0.22,0.97,0.59,0.15,0.15,0.07,0.0,0.48,0.36,0.22,0.59,2.45,6.01,7.2,2.97,1.11,37.5,0.2,0.53,18.1,0.07,0.12,0.26,0.23,38.61,47.6,81.1,566.88,164.55,22.72,25.4,89.5,11.29,13.59,83.1,2.45,3.49,70.2,0.27,1.93,3.64,2.15,0.07,45.37,2.08,0.74,0.82,0.45,1.56,0.0,0.82,0.45,0.15,0.0,0.15,1.34,4.9,3.42,0.15,0.52,0.37,0.37,0.07,0.89,0.22,0.07,0.22,0.07,0.3,0.0,1.19,0.82,0.59,0.37,0.22,0.3,1.04,28.6,0.74,0.45,0.22,0.22,1.41,0.82,0.07,59.18,1.34,4.75,26.06,28.96,5.72,59.03,3.34,1.71,51.1,1.26,37.8,37.5,183.94,101.21,2.6,0.52,2.6,1.93,49.16,0.0,1.56,2.01,0.07,0.22,0.0,0.0,3.42,0.67,0.67,50.0
Ferrán Torres,2000-02-29,LaLiga,Barcelona,Right,Spain,Att Mid / Wingers,1106,0.81,0.49,1.3,0.81,0.0,0.0,0.08,0.08,0.65,0.65,0.25,0.9,1.87,2.85,7.97,3.91,1.79,45.8,0.21,0.45,14.6,0.16,0.17,0.16,0.16,21.73,29.29,74.2,277.41,62.9,13.35,15.62,85.4,5.78,7.41,78.0,0.9,2.44,36.7,0.21,1.55,1.38,1.46,0.16,26.77,2.28,0.41,0.16,0.16,1.38,0.08,0.73,0.16,0.0,0.0,0.24,1.14,3.09,2.12,0.16,0.33,0.16,0.24,0.08,0.57,0.49,0.0,0.08,0.0,0.0,0.0,0.65,0.33,0.16,0.24,0.24,0.24,0.65,37.5,0.41,0.57,0.08,0.33,0.98,0.41,0.0,40.52,0.24,2.44,12.45,25.8,6.59,40.52,1.71,0.9,52.4,0.65,38.1,23.68,109.69,46.06,1.14,1.06,2.28,1.06,32.31,0.0,0.41,1.3,0.49,0.0,0.0,0.0,2.2,0.41,0.73,35.7
Gerard Martín,2002-01-01,LaLiga,Barcelona,Left,Spain,Fullbacks,1038,0.09,0.26,0.35,0.09,0.0,0.0,0.17,0.0,0.04,0.04,0.1,0.14,0.87,3.47,10.58,0.61,0.17,28.6,0.14,0.5,16.6,0.0,0.07,0.04,0.04,56.88,68.41,83.1,864.02,239.31,30.26,33.38,90.6,23.24,26.36,88.2,1.99,4.34,46.0,0.15,1.04,2.34,1.39,0.35,59.13,9.19,0.95,0.09,0.09,3.12,8.24,0.0,0.0,0.0,0.0,0.09,1.99,2.34,2.25,0.0,0.0,0.0,0.09,0.0,0.26,0.26,0.0,0.0,0.0,0.0,0.0,1.91,0.87,0.87,0.61,0.43,0.95,1.39,68.8,0.43,1.39,0.17,1.13,3.03,2.34,0.0,78.82,2.51,17.6,33.29,28.27,1.65,78.82,0.95,0.35,36.4,0.61,63.6,35.81,124.68,62.43,1.04,0.09,0.61,0.35,50.81,0.0,1.21,0.78,0.0,0.0,0.0,0.0,3.64,1.21,0.52,70.0
Ronald Araújo,1999-03-07,LaLiga,Barcelona,Right,Uruguay,Center Backs,754,0.12,0.12,0.24,0.12,0.0,0.0,0.36,0.0,0.12,0.12,0.05,0.17,0.72,5.85,0.36,0.48,0.24,50.0,0.25,0.5,11.8,0.0,0.24,0.0,0.0,79.5,86.54,91.9,1481.06,472.32,26.02,27.93,93.2,46.31,48.46,95.6,5.97,8.36,71.4,0.02,0.48,6.09,0.36,0.0,83.2,3.22,2.39,0.0,0.12,0.0,0.72,0.0,0.0,0.0,0.0,0.12,0.0,1.43,1.31,0.0,0.0,0.12,0.0,0.0,0.24,0.12,0.0,0.0,0.12,0.0,0.0,1.43,1.07,0.72,0.6,0.12,0.48,0.6,80.0,0.12,0.72,0.48,1.07,2.51,2.98,0.0,95.25,3.94,27.1,64.7,3.82,1.07,95.25,0.12,0.0,0.0,0.12,100.0,61.47,334.22,206.62,0.48,0.0,0.24,0.12,71.14,0.0,1.07,0.48,0.0,0.0,0.0,0.0,3.22,3.94,2.39,62.3
Frenkie de Jong,1997-05-12,LaLiga,Barcelona,Right,Netherlands,Midfielders,1143,0.16,0.16,0.32,0.16,0.0,0.0,0.24,0.0,0.06,0.06,0.16,0.2,2.83,9.45,1.89,0.39,0.24,60.0,0.4,0.67,17.0,0.0,0.13,0.1,0.1,85.35,90.39,94.4,1328.98,370.24,45.28,46.3,97.8,31.81,33.23,95.7,5.35,6.14,87.2,0.16,1.65,11.02,0.94,0.0,88.19,2.05,1.89,0.32,0.16,0.47,0.16,0.0,0.0,0.0,0.0,0.16,0.87,3.39,3.07,0.0,0.16,0.08,0.0,0.08,0.87,0.71,0.0,0.16,0.0,0.0,0.0,1.5,0.87,0.39,0.63,0.47,0.63,1.26,50.0,0.63,0.71,0.08,0.94,2.44,0.55,0.08,96.54,1.18,10.79,64.65,21.34,1.02,96.54,0.63,0.39,62.5,0.24,37.5,64.17,367.48,207.09,2.99,0.08,0.39,0.55,78.19,0.0,1.1,1.42,0.0,0.0,0.08,0.0,4.49,0.79,0.55,58.8
Federico Valverde,1998-07-22,LaLiga,Real Madrid,Right,Uruguay,Midfielders,3032,0.18,0.12,0.3,0.18,0.0,0.0,0.12,0.0,0.08,0.08,0.09,0.17,1.96,6.71,2.26,1.69,0.65,38.6,0.11,0.27,26.8,0.15,0.05,0.1,0.1,59.66,66.4,89.9,1038.15,303.63,28.88,30.78,93.8,23.42,24.96,93.8,5.88,7.78,75.6,0.1,1.16,6.89,0.92,0.06,63.67,2.4,1.1,0.09,1.48,0.77,1.13,0.09,0.09,0.0,0.0,0.33,0.68,2.58,2.4,0.03,0.03,0.12,0.0,0.0,0.39,0.36,0.0,0.0,0.03,0.0,0.0,1.48,0.89,0.65,0.68,0.15,0.86,1.28,67.4,0.42,1.13,0.24,1.63,3.12,1.54,0.03,75.48,2.91,15.67,43.37,16.98,1.28,75.48,0.83,0.47,57.1,0.3,35.7,45.27,237.73,121.23,1.69,0.15,1.04,0.03,56.55,0.0,0.36,0.45,0.03,0.0,0.0,0.0,5.16,0.8,0.45,64.3
Kylian Mbappé,1998-12-20,LaLiga,Real Madrid,Right,France,Forwards,2907,0.96,0.09,1.05,0.74,0.22,0.28,0.09,0.03,0.8,0.58,0.24,0.81,4.64,4.33,11.95,4.71,2.32,49.3,0.16,0.32,17.3,0.09,0.12,0.16,0.17,29.38,35.45,82.9,421.73,73.75,17.8,20.19,88.2,7.74,9.04,85.6,1.92,2.41,79.5,0.2,1.58,2.32,1.61,0.09,33.25,2.04,0.09,0.19,0.59,1.08,0.34,0.19,0.0,0.0,0.0,0.15,1.02,4.12,2.57,0.06,0.71,0.53,0.25,0.0,0.46,0.25,0.03,0.06,0.09,0.03,0.0,0.25,0.15,0.03,0.09,0.12,0.03,0.15,20.0,0.12,0.09,0.0,0.03,0.28,0.03,0.03,48.67,0.03,1.08,13.59,34.49,9.91,48.39,5.79,2.57,44.4,2.82,48.7,32.97,216.32,117.89,2.94,2.97,2.6,1.52,41.95,0.0,0.77,1.24,1.36,0.09,0.0,0.0,1.11,0.12,0.19,40.0
Aurélien Tchouaméni,2000-01-27,LaLiga,Real Madrid,Right,France,Center Backs,2689,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.06,0.06,0.02,0.07,0.64,5.15,0.44,0.64,0.1,15.8,0.0,0.0,17.1,0.0,0.09,-0.06,-0.06,62.55,67.78,92.3,1091.05,357.92,26.34,27.68,95.2,30.96,32.77,94.5,4.48,5.92,75.7,0.03,0.17,5.89,0.3,0.03,64.8,2.88,1.91,0.0,0.3,0.4,0.2,0.0,0.0,0.0,0.0,0.1,0.33,1.14,1.1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,0.77,0.84,0.64,0.1,0.7,1.37,51.2,0.67,1.14,0.84,1.54,3.11,3.08,0.03,77.78,7.23,26.71,44.58,6.93,0.84,77.78,0.54,0.33,62.5,0.1,18.8,48.2,238.0,127.89,0.54,0.03,0.77,0.27,56.53,0.0,0.87,0.8,0.0,0.0,0.03,0.0,4.79,2.48,0.9,73.3
