Player,Birthdate,League,Club,Footed,Nationality,Position,Minutes,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shots Total,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),xA: Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Offside,Passes Blocked,Shot-Creating Actions,SCA (Live-ball Pass),SCA (Dead-ball Pass),SCA (Take-On),SCA (Shot),SCA (Fouls Drawn),SCA (Defensive Action),Goal-Creating Actions,GCA (Live-ball Pass),GCA (Dead-ball Pass),GCA (Take-On),GCA (Shot),GCA (Fouls Drawn),GCA (Defensive Action),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Interceptions,Tkl+Int,Clearances,Errors,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Take-Ons Attempted,Successful Take-Ons,Successful Take-On %,Times Tackled During Take-On,Tackled During Take-On Percentage,Carries,Total Carrying Distance,Progressive Carrying Distance,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won
Francisco Trincão,1999-12-29,PrimeiraLiga,Sporting CP,Left,Portugal,Att Mid / Wingers,2936,0.28,0.43,0.71,0.28,0.0,0.0,0.03,0.0,0.28,0.28,0.25,0.54,2.85,4.72,6.62,3.25,1.01,31.1,0.08,0.27,19.4,0.09,0.09,-0.01,-0.01,25.96,33.08,78.5,413.03,121.45,13.67,15.97,85.6,8.89,11.19,79.5,2.15,3.43,62.5,0.23,2.3,2.94,1.32,0.18,31.24,1.75,0.43,0.46,0.28,2.39,0.18,1.13,0.74,0.18,0.0,0.09,0.92,4.94,3.03,0.34,0.71,0.49,0.28,0.09,0.89,0.55,0.03,0.15,0.12,0.03,0.0,1.56,0.89,0.4,0.8,0.37,0.49,1.01,48.5,0.52,0.86,0.06,0.4,1.96,0.95,0.03,46.72,0.86,4.05,17.32,25.93,4.14,46.72,4.35,2.15,49.3,2.02,46.5,30.78,189.9,85.56,2.02,1.13,2.21,1.32,35.28,0.0,0.74,1.75,0.0,0.03,0.0,0.0,3.07,0.12,0.21,36.4
Viktor Gyökeres,1998-06-04,PrimeiraLiga,Sporting CP,Right,Sweden,Forwards,2804,1.25,0.22,1.48,0.87,0.39,0.39,0.13,0.0,0.99,0.69,0.23,0.91,4.27,2.18,10.75,4.08,2.12,52.0,0.21,0.41,15.6,0.22,0.17,0.26,0.18,16.24,22.76,71.4,196.21,36.21,10.66,13.77,77.4,3.85,5.3,72.7,0.45,0.67,66.7,0.22,1.96,0.58,1.0,0.1,20.7,2.02,0.0,0.13,0.03,0.8,0.19,0.0,0.0,0.0,0.0,0.03,1.06,4.94,2.99,0.03,0.8,0.55,0.55,0.03,1.0,0.45,0.0,0.29,0.06,0.19,0.0,0.29,0.16,0.0,0.1,0.19,0.13,0.26,50.0,0.13,0.42,0.1,0.19,0.48,0.64,0.0,36.62,0.61,1.06,10.78,25.32,9.12,36.24,4.24,1.93,45.5,2.09,49.2,24.01,172.17,91.77,1.32,3.11,3.02,1.77,29.02,0.0,0.77,2.47,0.29,0.13,0.0,0.0,2.41,1.16,1.12,50.7
Geovany Quenda,2007-04-30,PrimeiraLiga,Sporting CP,Left,Portugal,Midfielders,2253,0.08,0.16,0.24,0.08,0.0,0.0,0.08,0.0,0.14,0.14,0.19,0.33,3.87,4.91,8.87,1.76,0.52,29.5,0.05,0.15,18.5,0.12,0.08,-0.06,-0.06,36.11,47.82,75.5,631.24,199.01,17.34,20.33,85.3,13.94,17.86,78.1,4.19,7.63,55.0,0.18,2.12,2.64,1.96,0.32,38.03,9.63,1.52,0.36,0.36,5.35,5.47,2.64,1.04,0.8,0.04,0.16,1.0,4.47,2.76,1.04,0.44,0.04,0.12,0.08,0.64,0.4,0.08,0.08,0.0,0.04,0.04,0.88,0.56,0.4,0.32,0.16,0.52,1.2,43.3,0.68,0.88,0.04,0.44,1.32,0.84,0.0,57.4,0.84,7.83,20.37,29.96,3.44,57.4,3.32,1.52,45.8,1.56,47.0,32.76,191.58,107.1,1.76,1.6,1.64,0.6,35.63,0.0,0.4,1.28,0.12,0.04,0.0,0.0,4.11,0.6,0.72,45.5
Morten Hjulmand,1999-06-25,PrimeiraLiga,Sporting CP,Right,Denmark,Midfielders,2214,0.08,0.08,0.16,0.04,0.04,0.04,0.45,0.04,0.08,0.05,0.07,0.12,0.53,6.38,1.3,0.65,0.24,37.5,0.06,0.17,16.3,0.0,0.08,0.0,-0.01,56.18,62.44,90.0,890.41,225.77,29.43,31.46,93.5,22.4,24.39,91.8,3.29,4.43,74.3,0.08,1.06,6.67,0.94,0.0,58.7,3.62,3.46,0.0,0.53,0.41,0.12,0.04,0.0,0.0,0.0,0.12,0.65,2.6,2.28,0.08,0.0,0.04,0.16,0.04,0.16,0.16,0.0,0.0,0.0,0.0,0.0,2.2,1.5,0.94,1.06,0.2,0.98,1.75,55.8,0.77,0.81,0.33,1.1,3.29,1.3,0.08,70.24,2.28,11.99,44.35,14.76,0.81,70.2,1.06,0.65,61.5,0.37,34.6,41.59,160.37,79.27,1.1,0.0,0.77,0.57,50.77,0.04,1.26,2.03,0.04,0.0,0.04,0.0,6.46,0.73,0.57,56.3
Gonçalo Inácio,2001-08-25,PrimeiraLiga,Sporting CP,Left,Portugal,Center Backs,2255,0.12,0.08,0.2,0.12,0.0,0.0,0.24,0.0,0.1,0.1,0.03,0.14,1.28,7.34,0.56,0.68,0.2,29.4,0.18,0.6,11.3,0.0,0.15,0.02,0.02,74.99,83.61,89.7,1383.88,551.57,28.02,29.69,94.4,40.11,42.63,94.1,6.27,9.74,64.3,0.05,0.56,9.22,0.48,0.0,79.58,3.91,3.11,0.08,0.4,0.08,0.56,0.0,0.0,0.0,0.0,0.12,0.48,1.72,1.6,0.04,0.0,0.08,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.6,0.92,0.52,0.76,0.32,0.8,1.4,57.1,0.6,1.08,0.64,1.16,2.75,2.91,0.04,91.48,5.39,28.34,55.92,7.62,0.76,91.48,0.16,0.12,75.0,0.04,25.0,62.78,274.91,183.43,1.2,0.0,0.28,0.32,69.21,0.0,1.08,0.36,0.08,0.0,0.0,0.0,4.67,2.04,1.72,54.3
Geny Catamo,2001-01-26,PrimeiraLiga,Sporting CP,Left,Mozambique,Fullbacks,1911,0.24,0.09,0.33,0.24,0.0,0.0,0.14,0.0,0.25,0.25,0.23,0.48,5.09,4.9,11.3,2.92,0.89,30.6,0.08,0.26,17.2,0.05,0.09,-0.02,-0.02,36.41,46.25,78.7,553.23,159.0,20.86,23.41,89.1,12.67,15.64,81.0,2.07,4.1,50.6,0.23,1.32,2.59,1.93,0.38,39.56,6.36,0.61,0.14,0.14,3.2,5.13,0.61,0.28,0.09,0.0,0.33,1.46,3.63,2.54,0.24,0.28,0.33,0.24,0.0,0.24,0.19,0.0,0.0,0.05,0.0,0.0,1.37,0.66,0.38,0.47,0.52,1.04,1.6,64.7,0.57,0.99,0.0,0.42,1.79,0.94,0.05,59.91,0.89,7.16,21.52,32.45,6.12,59.91,3.96,1.46,36.9,2.07,52.4,39.56,248.71,148.87,2.73,2.45,2.31,1.6,41.44,0.0,0.57,2.4,0.09,0.0,0.0,0.0,4.9,0.24,0.75,23.8
Maximiliano Araújo,2000-02-15,PrimeiraLiga,Sporting CP,Left,Uruguay,Fullbacks,1771,0.15,0.2,0.36,0.15,0.0,0.0,0.36,0.05,0.13,0.13,0.22,0.35,2.64,4.52,10.21,0.86,0.3,35.3,0.18,0.5,12.4,0.05,0.16,0.02,0.02,40.2,49.09,81.9,622.43,180.46,23.43,25.77,90.9,13.42,17.02,78.8,2.49,4.17,59.8,0.27,2.08,2.08,1.63,0.51,40.3,8.69,1.12,0.25,0.25,3.66,6.66,0.91,0.1,0.76,0.0,0.1,1.17,3.91,2.95,0.51,0.05,0.1,0.15,0.15,0.51,0.36,0.0,0.0,0.0,0.05,0.1,2.54,1.78,1.22,0.81,0.51,1.17,1.88,62.2,0.71,1.52,0.05,0.97,3.51,2.34,0.0,62.66,1.83,12.81,23.02,28.15,4.47,62.66,3.71,1.42,38.4,2.24,60.3,34.35,165.77,94.37,2.03,0.71,1.73,0.97,37.15,0.0,1.63,1.63,0.2,0.05,0.0,0.0,4.88,0.91,0.66,58.1
Eduardo Quaresma,2002-03-02,PrimeiraLiga,Sporting CP,Both,Portugal,Center Backs,1391,0.06,0.0,0.06,0.06,0.0,0.0,0.13,0.0,0.01,0.01,0.01,0.02,2.07,6.92,1.04,0.13,0.06,50.0,0.5,1.0,26.3,0.0,0.05,0.06,0.06,65.61,70.85,92.6,1092.23,337.94,30.8,32.29,95.4,30.93,32.29,95.8,3.17,4.92,64.5,0.04,0.32,7.63,0.19,0.0,66.51,4.34,2.2,0.19,0.45,0.06,2.07,0.0,0.0,0.0,0.0,0.0,0.39,1.62,1.49,0.0,0.06,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.98,1.49,1.42,1.36,0.19,2.14,2.65,80.5,0.52,1.1,0.26,0.78,3.75,2.46,0.19,80.17,3.75,23.42,50.27,7.96,0.58,80.17,2.52,1.75,69.2,0.71,28.2,56.29,254.34,153.34,1.49,0.13,1.1,0.58,58.68,0.0,1.29,0.97,0.0,0.0,0.0,0.0,5.11,1.16,0.91,56.3
Daniel Bragança,1999-05-27,PrimeiraLiga,Sporting CP,Left,Portugal,Midfielders,1077,0.25,0.33,0.59,0.25,0.0,0.0,0.25,0.0,0.23,0.23,0.14,0.37,1.34,7.27,3.84,2.59,0.75,29.0,0.1,0.33,20.0,0.0,0.09,0.03,0.03,51.23,57.24,89.5,828.72,209.75,26.74,28.66,93.3,19.97,21.81,91.6,3.51,4.43,79.2,0.14,1.75,6.43,1.25,0.08,55.99,1.09,0.75,0.17,0.33,1.0,0.08,0.08,0.0,0.08,0.0,0.17,0.5,4.6,3.34,0.0,0.5,0.42,0.17,0.17,0.59,0.42,0.0,0.08,0.08,0.0,0.0,2.17,1.25,0.42,1.0,0.75,1.17,1.84,63.6,0.67,1.17,0.08,0.33,2.51,0.59,0.08,66.77,0.84,7.1,37.77,22.4,3.18,66.77,1.34,0.84,62.5,0.42,31.3,43.96,192.79,97.27,2.59,0.08,1.5,0.92,53.98,0.0,1.25,1.92,0.0,0.0,0.0,0.0,4.51,0.67,0.84,44.4
Pedro Gonçalves,1998-06-28,PrimeiraLiga,Sporting CP,Right,Portugal,Att Mid / Wingers,870,0.52,0.41,0.93,0.52,0.0,0.0,0.31,0.0,0.43,0.43,0.42,0.87,2.17,5.28,7.24,3.93,0.93,23.7,0.13,0.56,17.6,0.1,0.11,0.08,0.08,29.07,38.48,75.5,449.17,176.59,16.66,19.24,86.6,8.07,10.97,73.6,2.69,4.97,54.2,0.38,4.34,3.1,2.38,0.21,32.9,5.48,2.69,1.03,0.31,3.93,0.62,2.17,1.55,0.31,0.0,0.1,1.34,6.72,3.62,1.86,0.21,0.41,0.52,0.1,0.62,0.41,0.0,0.0,0.1,0.0,0.1,1.34,0.41,0.1,0.72,0.52,0.41,1.24,33.3,0.83,0.62,0.1,0.52,1.86,0.0,0.0,53.9,0.0,3.52,19.14,31.55,5.59,53.9,3.83,1.14,29.7,2.48,64.9,30.41,129.0,59.9,1.55,1.03,3.0,1.55,36.21,0.0,1.14,1.03,0.21,0.0,0.0,0.0,3.31,0.21,0.93,18.2
Álvaro Carreras,2003-03-23,PrimeiraLiga,Benfica,Left,Spain,Fullbacks,2743,0.1,0.03,0.13,0.1,0.0,0.0,0.3,0.0,0.04,0.04,0.1,0.14,2.85,6.63,6.92,0.62,0.16,26.3,0.16,0.6,19.6,0.0,0.07,0.06,0.06,54.53,67.33,81.0,971.33,344.61,24.74,27.69,89.3,24.08,27.89,86.4,4.92,8.76,56.2,0.09,1.08,5.87,1.21,0.43,56.83,10.04,1.31,0.03,0.85,2.69,8.63,0.1,0.0,0.0,0.0,0.46,1.28,2.76,2.33,0.16,0.1,0.07,0.07,0.03,0.39,0.3,0.03,0.03,0.03,0.0,0.0,2.07,1.25,0.92,0.92,0.23,1.25,1.97,63.3,0.72,0.79,0.26,1.31,3.38,2.46,0.1,77.27,2.2,18.31,38.82,21.06,1.54,77.27,2.33,1.12,47.9,0.98,42.3,45.02,231.81,122.94,2.03,0.53,1.57,0.39,50.53,0.0,1.28,0.92,0.1,0.0,0.0,0.0,5.48,1.02,0.72,58.5
